,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BTN,207300,200000,193300,187100,180600,174400,168400,162400,156300,150000,144200,138400,132700,127000,121900,116300,111600,106600,102100,97300,93100,89100,85200,81300,77700,74200,70800,67300,64300,61700,59000,55900,53700,53700,53700,53700,53700,53700
BWA,82100,77800,73500,69400,66200,63500,60600,58700,56700,55100,53500,52800,53200,54800,57400,60800,64800,68800,72700,75900,78800,81100,80800,78400,72100,59100,46100,37900,34200,32600,30100,27500,25900,25900,25900,25900,25900,25900
CAF,177500,175200,173600,172000,170500,169300,168400,167700,167700,167600,168100,169100,170100,171100,171800,172300,172600,172800,172700,172500,172300,172000,171400,171100,170700,170300,169800,168700,167600,166700,165700,164600,163500,163500,163500,163500,163500,163500
CAN,13400,12600,11900,11200,10700,10200,9800,9500,9200,8900,8500,8300,8000,7700,7400,7200,7000,6800,6600,6400,6300,6200,6200,6200,6100,6100,6000,6000,5900,5800,5700,5600,5600,5600,5600,5600,5600,5600
CHE,11000,10500,10100,9800,9500,9200,9000,8900,8700,8600,8300,8100,7800,7400,7100,6700,6400,6200,6000,5900,5800,5700,5600,5500,5300,5200,5100,4900,4800,4700,4600,4500,4400,4400,4400,4400,4400,4400
CHL,38100,33900,30500,28000,26000,24500,23300,22300,21400,20600,19700,18700,17500,16300,15300,14400,13600,12900,12300,11800,11300,10800,10400,10000,9700,9500,9300,9200,9100,9000,8900,8800,8700,8700,8700,8700,8700,8700
CHN,65800,62400,59200,56000,53800,53100,51500,51100,50500,50000,49500,48900,48700,48500,48000,47100,45500,43900,41900,39500,37000,35000,32700,30300,28100,25900,23900,22000,20400,18800,17300,15900,14600,14600,14600,14600,14600,14600
CIV,175600,171300,168200,164800,161800,159700,157800,155900,154700,153600,152400,151400,150500,149500,148400,147300,146100,144700,143300,141800,140300,138600,136700,134700,132600,130500,128200,126100,123800,121100,118800,116700,114900,114900,114900,114900,114900,114900
CMR,168200,164800,161700,158900,156300,154100,152000,150500,149100,147500,146300,145200,144200,143400,142600,142000,141400,140900,140500,140200,139900,139500,138900,138300,137500,136500,135600,134500,133500,132200,130800,128900,127200,127200,127200,127200,127200,127200
COD,203500,199300,195500,191400,187500,183600,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,181400,179000,176700,174400,172100,169900,167700,167700,167700,167700,167700,167700
COG,133400,131400,129000,126700,125900,125200,124400,123000,121500,120600,119500,118800,117700,116500,115700,114800,113400,112700,111200,110500,109000,108800,108000,106700,106000,105000,103700,103300,102100,101200,100500,99600,98800,98800,98800,98800,98800,98800
COK,34100,32200,30400,28500,26900,25500,24300,23200,22200,21000,19800,19100,18400,18400,18200,18400,18600,18600,18300,18100,18000,17100,16200,15200,14600,13800,13100,12400,11800,11100,10400,9900,9500,9500,9500,9500,9500,9500
COL,60200,55800,51700,48100,45300,42800,40600,39300,37800,36900,35400,34300,33100,32000,31000,30100,29200,28300,27400,26700,25800,25000,24300,23500,22800,22100,21400,20700,20000,19500,18900,18300,17700,17700,17700,17700,17700,17700
COM,166800,162400,157300,152800,148200,143700,139100,134400,130000,126500,124300,121700,119400,117500,115100,112600,110400,109000,106300,104600,101500,99600,97700,96000,93800,91900,90800,88100,87000,84600,83400,81300,79300,79300,79300,79300,79300,79300
CPV,100700,95600,91100,86600,81500,77000,72600,67900,63800,61300,59600,58000,56800,55200,53600,51300,49300,47000,44800,43100,41100,38900,36900,34800,32800,31000,29300,27800,26300,25000,23700,22500,21300,21300,21300,21300,21300,21300
CRI,28200,25900,24300,23300,22500,21800,21000,20200,19400,18600,17900,17200,16700,16200,15800,15500,15200,14800,14400,13900,13400,12900,12300,11700,11300,10900,10700,10500,10400,10300,10300,10100,10100,10100,10100,10100,10100,10100
CUB,22100,21000,20300,19700,19100,18500,17800,17000,16100,15200,14200,13300,12700,12100,11500,11000,10600,10200,9800,9400,8900,8500,8100,7700,7400,7100,6900,6700,6500,6300,6100,5900,5800,5800,5800,5800,5800,5800
CYP,23400,21200,19300,17600,15900,14600,13300,12500,11900,11500,11100,11000,10800,10500,10100,9600,9000,8400,7900,7400,6900,6500,6200,5800,5500,5200,4900,4600,4200,3900,3600,3400,3100,3100,3100,3100,3100,3100
CZE,3090,19100,18600,18200,17700,17300,16800,16300,15900,15500,15000,14300,13500,12700,11900,11000,10100,9200,8400,7700,7200,6700,6300,6000,5700,5500,5200,5000,4700,4500,4300,4100,3900,3900,3900,3900,3900,3900
DEU,16000,15000,14100,13300,12500,11800,11200,10600,10100,9500,9000,8500,8100,7600,7200,6800,6500,6200,6000,5700,5600,5400,5200,5100,5000,4900,4700,4600,4500,4400,4200,4100,4000,4000,4000,4000,4000,4000
DJI,149600,146500,144200,141200,138700,135500,133400,131100,128500,126300,123500,121600,120000,118200,116600,114800,113200,111500,110000,108200,106800,105700,103900,102500,100700,99400,98000,96900,95500,94000,92900,91200,89500,89500,89500,89500,89500,89500
DMA,20600,19300,18100,17400,16800,16600,16400,16500,16700,17000,17200,17400,17500,17500,17400,17000,16700,16500,16100,15700,15300,14900,14500,14300,13900,13700,13500,13200,12900,12700,12300,12100,11800,11800,11800,11800,11800,11800
DNK,10400,10100,9900,9700,9600,9600,9600,9600,9500,9400,9100,8700,8200,7800,7400,7000,6600,6200,6000,5800,5700,5600,5500,5400,5200,5100,4900,4700,4500,4300,4100,3900,3700,3700,3700,3700,3700,3700
DOM,91600,88300,84800,81300,77900,75000,72100,69000,66300,63700,60900,58300,55600,53200,50900,48900,47000,45200,43500,41700,40100,38500,37000,35600,34100,32800,31500,30200,29000,27800,26700,25700,24700,24700,24700,24700,24700,24700
DZA,141800,129300,118200,107100,97500,89200,82500,77300,71800,69700,67500,65600,63400,61900,59600,57400,54800,52500,50900,49100,47500,45700,43600,42300,40700,39000,37700,36400,34900,33500,32100,31300,29800,29800,29800,29800,29800,29800
ECU,95100,90700,85500,80400,75800,71800,68100,64600,61500,58300,55200,52400,49700,47500,45200,43200,41500,39900,38400,36900,35500,34200,32900,31700,30500,29500,28400,27400,26300,25400,24500,23600,22800,22800,22800,22800,22800,22800
EGY,174500,164600,155300,145100,135000,125300,116400,108400,102100,95900,90700,85700,80800,76000,71200,66800,62400,58500,54600,51000,47600,44400,41500,38700,36300,33900,31600,29500,27600,25800,24100,22500,21100,21100,21100,21100,21100,21100
ERI,192100,186300,181300,176100,171300,166700,162000,157400,152300,147300,142200,137700,133000,128500,124400,120300,116400,112200,108700,105100,101700,98200,94800,91400,88700,85600,82800,80400,77400,75000,72200,69800,67800,67800,67800,67800,67800,67800
ESP,19300,18000,16800,15800,14900,14100,13500,12900,12400,11900,11400,10900,10400,9900,9300,8800,8300,7900,7400,7100,6800,6600,6400,6200,6000,5800,5700,5500,5200,4900,4700,4500,4200,4200,4200,4200,4200,4200
EST,27600,26800,26000,25200,24400,23800,23100,22400,21800,21300,20700,20100,19300,18500,17500,16400,15400,14500,13500,12600,11600,10800,10100,9300,8500,7800,7200,6600,5900,5200,4700,4100,3700,3700,3700,3700,3700,3700
