,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,171222,164440.8,157659.6,150878.4,144097.2,137316,134557.2,131798.4,129039.6,126280.8,123522,126143.8,128765.6,131387.4,134009.2,136631,138066.2,139501.4,140936.6,142371.8,143807,141611.2,139415.4,137219.6,135023.8,132828,128047,123266,118484,113703,108922,104559,100196,95834,91471,87108,82745,78382
AGO,108414,111582.6,114751.2,117919.8,121088.4,124257,127421.4,130585.8,133750.2,136914.6,140079,142296.4,144513.8,146731.2,148948.6,151166,151101.6,151037.2,150972.8,150908.4,150844,150353.4,149862.8,149372.2,148881.6,148391,148261,148131,148000,147870,147740,147109,146479,145848,145218,144587,143956,143326
ALB,4419,4365.6,4312.2,4258.8,4205.4,4152,4023.6,3895.2,3766.8,3638.4,3510,3325.2,3140.4,2955.6,2770.8,2586,2413.8,2241.6,2069.4,1897.2,1725,1575.6,1426.2,1276.8,1127.4,978,915,852,790,727,664,650,636,623,609,595,581,567
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,1300,1295,1290,1285,1280,1275,1230.4,1185.8,1141.2,1096.6,1052,1001.4,950.8,900.2,849.6,799,764.4,729.8,695.2,660.6,626,650,674,698,722,746,780,814,847,881,915,916,917,918,919,920,921,922
ARG,28949,27904.2,26859.4,25814.6,24769.8,23725,23241.2,22757.4,22273.6,21789.8,21306,20808.4,20310.8,19813.2,19315.6,18818,17962.4,17106.8,16251.2,15395.6,14540,13903.2,13266.4,12629.6,11992.8,11356,11103,10850,10598,10345,10092,9807,9521,9236,8950,8665,8380,8094
ARM,4197,4255.2,4313.4,4371.6,4429.8,4488,4401.4,4314.8,4228.2,4141.6,4055,3731.8,3408.6,3085.4,2762.2,2439,2237.4,2035.8,1834.2,1632.6,1431,1373.2,1315.4,1257.6,1199.8,1142,1104,1066,1028,990,952,926,900,873,847,821,795,769
ATG,49,46.8,44.6,42.4,40.2,38,36.4,34.8,33.2,31.6,30,29.6,29.2,28.8,28.4,28,27.6,27.2,26.8,26.4,26,25,24,23,22,21,20,19,19,18,17,16,16,15,15,14,13,13
AUS,3125,3045.6,2966.2,2886.8,2807.4,2728,2664.8,2601.6,2538.4,2475.2,2412,2316,2220,2124,2028,1932,1862.4,1792.8,1723.2,1653.6,1584,1570,1556,1542,1528,1514,1507,1499,1492,1484,1477,1459,1440,1422,1403,1385,1367,1348
AUT,1532,1456.8,1381.6,1306.4,1231.2,1156,1102.8,1049.6,996.4,943.2,890,840.4,790.8,741.2,691.6,642,604.6,567.2,529.8,492.4,455,441,427,413,399,385,374,362,351,339,328,320,313,305,298,290,282,275
