"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"BGD",3602081.00386821,5688571.23744568,3523994.59327538,4015505.9210709,3992548.78961182,4655535.93614129,4480480.52511391,3934299.14597358,2603902.38942592,1583067.21928599,3250247.8865242,2412293.51180568,2281889.59833808,3304375.64771909,2225230.78990542,2159427.00769162,3493606.97239705,2597093.30875048,2350455.41327426,2197023.23518353,2017560.30610272,1827301.57019056,1917343.23151187,3283301.71053298,2535418.46673519,2416664.53529701,795847.193175614,1409079.65796548,1059562.11138658,1045462.9149933,1478301.74467209,465347.879970086,853363.549238182,1413955.58810788,319664.430649355,591294.60518722,870007.419986505
"BGR",376304.248241909,366303.37825435,354849.811404283,360122.063711493,357468.128052657,358778.825067023,357938.650362419,357757.882479402,357145.347348652,356553.082371261,356200.247938754,339211.979952061,318334.124922858,360775.397438485,347912.48292255,353417.212919762,349930.481979568,350270.666391258,348285.198066878,350154.381975171,348002.724934716,348428.529457254,346032.855783857,346275.331502116,345087.068189196,344745.546726693,344010.36997766,343504.265205612,343384.186593686,337650.706022521,300180.403012377,345658.685144163,340249.86224465,341412.722291529,340351.200984694,340189.700848106,339402.865742108
"BHR",6580,22940,8760,22680,38200,1940,440,100,3620,1180,140,240,40,0,60,1480,80,80,760,120,100,160,240,220,80,60,140,40,60,0,0,0,0,15840,0,0,0
"BHS",900,1000,57360,720,520,1700,840,440,1180,1440,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904469.408859332,1462954.17052562,1884343.24834078,2186622.65586194,2394520.91064111,2515382.56766988,2597405.07899934,2645186.32341392,2680735.44355739,2732094.41318079,2793847.29973181,2864839.9822776,2941397.35148992,3016172.70655112,3087363.24693999,3158186.18872246,3221173.63964428,3285368.28518217,3347944.24604608,3409425.69504047,3469900.91232463,3527744.9027938,3585044.06088729,3737277.13106796,3786378.45466814,3817021.13811098,3847312.3901329
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,4480,27020,46480,77480,16400,30320,7900,2700,10340,3060,420,900,280,420,40,20,2980,20,0,0,20,1000,200,320,8400,40,200,20
"BLZ",3720,120,220,80,140,2480,4480,1480,40,500,140,220,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0
"BOL",153080,14400,40680,25400,4340,6920,19740,35860,13380,16400,42160,98740,67820,28820,1520,140,140,20080,28820,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,0,0,0
"BRA",1225620,787400,1165180,1617500,1519860,2582520,1321180,523580,457060,1228700,850740,158680,120740,700,15860,11600,1045680,55620,18160,720,20,20,40,0,120,1140,0,0,0,1360,860,40,4400,132500,4280,NA,0
"BRB",820,120,120,100,140,40,40,20,40,1020,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0
"BRN",15500,4860,11160,10820,12340,8800,1260,560,780,240,NA,1020,1000,NA,NA,NA,260,240,460,840,220,NA,480,320,180,NA,NA,60,40,0,80,20,0,320,80,20,0
"BTN",16017.8299050918,25951.9970678491,19324.9989806066,18887.1711525325,12324.7537409484,13990.5075469266,10442.3874872251,6891.42094282286,8828.3232750223,4097.48760815181,7366.77318267074,3427.97424433769,8246.28301609805,10575.3496624226,3897.98621402405,1772.54727648769,3789.83819221138,3038.14442224362,19973.1528554349,7061.05069645506,11617.9914575756,2887.89427482637,2048.7953513447,1932.73848488636,1905.51733462638,1634.49951061656,2433.12444177056,3362.60648761625,2485.79271188312,2374.74147271802,1925.10746582082,1764.54882995884,1792.39482652847,3111.49039149237,1768.39910607373,2302.94016751973,2550.9293845084
"BWA",47577.8812527632,46343.5632823385,112196.101920688,57191.0970486886,48008.3107208234,40116.740034956,31402.2326321083,36321.6509719097,72544.2421511078,42876.9899515634,35319.287202211,34556.7491857271,88971.5016864787,55441.6727111508,36033.5219707642,38256.9786000712,81713.5283719893,29134.7888139428,24800.9954195498,52925.9006990139,30359.4672720312,28688.4615822473,29115.2281518467,29019.1674593197,29385.9256403464,18695.1803184421,27379.5356039149,31495.2916757014,34476.7631650333,21118.8508566815,28219.8820425687,31246.6551974091,32039.4525966239,19166.408390312,26426.4817898634,29890.2847803926,16606.7821471787
"CAF",236279.951736276,142596.599245495,98916.0196583241,369500.711032177,136773.954999189,108352.480334522,124854.752137682,113952.640318827,48663.5316123928,97291.8779072085,219180.427396148,163121.115192824,104467.080439988,202094.047813716,71246.5131141506,45878.0118965245,42158.1311672111,40198.2922928907,58252.5099292773,193111.556304993,153812.952088434,75869.6834858944,61390.3309141685,85876.4559790398,54114.3087534325,40664.6733744769,41572.4429434049,34440.3208343414,43460.2810231217,35336.2673079412,66044.8953573025,43475.2305340356,58184.3530195287,80937.4169077836,41011.4669204468,48706.5346844597,83604.6697456798
"CAN",46140,21280,18680,81560,56320,298820,47700,12180,222900,20660,123560,54840,4060,10460,47220,6540,11580,240,580,4120,680,120,300,140,120,260,2020,1240,280,1980,15180,240,1640,10240,3900,220,900
"CHE",NA,NA,NA,NA,NA,NA,148000,152000,54000,39800,54000,86000,60000,28000,28000,40000,128000,40000,16000,NA,14000,NA,11480,780,1200,NA,20300,40440,19160,1540,12420,1220,3500,1380,700,NA,2100
