"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"BEN",10521.4131954499,8708.99718318899,8661.35723054844,10047.8284263257,9871.70510889151,5320.6989626312,10017.5504692299,3975.51588102081,2215.04437975934,137.194694740915,3370.92182560862,1932.31890310126,2071.39267707875,4469.07092542082,6550.10826268523,1514.17045968702,6192.52206069487,1236.40714553744,1202.24213140181,2126.17717088977,3246.26695911593,677.033246178825,308.649694004249,1.88048706905572e-08,13.5897356238695,1.76861692227891e-08,19.0018832250393,249.719886325251,73.4257273845332,239.880311824375,202.958166430229,1.48454207964905e-08,144.363822834035,390.534057632179,1.41171372559749e-08,1.3749602716425e-08,14.5246827137412
"BFA",9561.77841704701,12229.9100874822,12601.991675705,18953.444002472,9767.18369532299,6108.50675445277,18072.3294296848,4117.19357539275,3221.84023507593,4273.19683586562,2878.07693600561,11281.3928856807,6850.59536746192,1881.38884162144,2642.19563958198,10377.8612252079,2090.36530112843,2006.96584989548,3500.61176515198,674.497845241025,1836.13487917522,2.36481199211293e-08,153.524195269423,165.488464552155,1.87316707423509e-08,1.81790343391783e-08,1.76460558646668e-08,1.38612029995489e-08,3251.38375777353,843.192872857545,309.630611389659,236.680610696088,18.4589115652039,111.652760702272,1.12669939470475e-08,1.08616995487815e-08,1.05932557559765e-08
"BGD",1934.24641387536,14033.431975268,14849.5699781889,21802.7271048107,24679.1685413356,30392.6653657833,31014.9309817369,27047.1731330757,26826.4111038436,8813.79833845788,11094.9084727615,9267.61990364802,6811.78440828858,9873.34669089961,7386.86784427368,6223.31457830525,10444.0934930936,9456.86491028894,7967.75738894997,6689.31955836585,5380.52503264972,4346.91177097014,4035.93635708164,5954.14113523402,17844.3768201194,9801.86140153742,6.88919255005123e-11,5.67433853248052e-11,5.59436726195564e-11,5.56123499148835e-11,5.47006103384371e-11,5.40473100661989e-11,5.35107597097792e-11,5.25114943831229e-11,5.18629007428223e-11,5.13278509376288e-11,5.08441953327219e-11
"BGR",6.2873957248537e-09,6.24929969584256e-09,6.27008914640052e-09,6.22561792012088e-09,6.19839028686717e-09,6.22708617421479e-09,6.25163228452947e-09,6.26493080590954e-09,6.26061345611744e-09,6.31930742262214e-09,6.40805489819653e-09,6.41973908477642e-09,6.51333148443063e-09,6.55652672570943e-09,6.66734503438204e-09,6.70663927508304e-09,6.81977143507133e-09,6.85140828991449e-09,6.94222768928169e-09,7.00460066117832e-09,7.05401435500668e-09,7.05991168681795e-09,7.14257326442905e-09,7.1923249511966e-09,7.23373838360145e-09,7.33471512752311e-09,7.39847579445413e-09,7.43278418658813e-09,7.48928666213336e-09,7.57616742659853e-09,7.63055228740059e-09,7.64849148330593e-09,7.68444715426278e-09,7.74129795101622e-09,7.7632740714382e-09,7.82656704379331e-09,7.85244803640645e-09
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03471245639282e-11,9.60337642744786e-11,1.01968009858284e-10,1.08443690204683e-10,1.12943304500938e-10,1.13585787361981e-10,1.12406541402105e-10,8.40761811034525e-11,8.10746121964561e-11,7.92584117351208e-11,7.84768831035037e-11,7.82040470870431e-11,5.97518647549049e-11,5.98259591814911e-11,6.0001909102615e-11,6.00330923924941e-11,5.98888346942969e-11,6.03400444900505e-11,6.03067262865207e-11,6.06320385007980e-11,6.02437531973845e-11,6.04558588028525e-11,6.06789989084181e-11,6.54750729537672e-11,6.56651218967405e-11,6.61410758389741e-11,6.61690277644634e-11
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",97.2258223429064,170.722632061628,121.307783664997,117.680587826937,69.9152315873215,81.975331114805,56.5697359488851,32.4493352491857,43.9446470891681,11.8296780905962,28.3167636809888,8.93599712514526,27.5653207035481,40.2435113682817,9.26043956599737,0.294996476037497,7.93404183822109,7.13050149379474,127.316795060212,27.8513107433798,54.5815719409229,7.0500796234897,2.3784932570663,1.58310830072248,1.08644698627551,0.000441619659798045,2.75909084755838e-07,2.70536190136179e-07,2.66857044139395e-07,2.60782675367516e-07,2.56459519501827e-07,2.52201886365206e-07,2.47334363036343e-07,2.4126606464241e-07,0.00192686994147616,0.0147033460249714,0.387896519646945
"BWA",1.92579027192997,14.2772180259943,402.254109731955,431.266498273262,92.5013379291208,20.863474720967,1.95246509897149e-08,1.52581524606865e-08,61.9960675612526,35.5228285971092,4.79142088608372,0.0149790477444219,146.277125692931,114.577927747745,20.870076878513,6.95149686566522,149.447704832294,1.18030747872368e-08,1.15708449602996e-08,0.000283029835892835,1.11959557628095e-08,1.10298063091765e-08,1.08833563600465e-08,1.07230879915053e-08,1.06360745933467e-08,1.05276183368992e-08,1.03732259393334e-08,1.03383083021711e-08,1.02046722857366e-08,1.01669865251759e-08,1.00401179612498e-08,9.95795977255057e-09,9.85215804788561e-09,9.23461169764857e-09,9.02678371443022e-09,8.88362203954604e-09,8.7022928562275e-09
"CAF",4320.99511402813,2417.14087909609,1330.3247479145,8377.36004201448,2314.12571124911,1541.82290386044,1899.34028280979,1602.78389611464,244.03765828999,676.921242421801,3933.25827916583,2562.15936219451,1279.01148549297,70.8920727529211,674.30915241775,210.267288097599,103.58141219749,77.632981456795,268.562856004649,3229.90036561476,2773.9911941702,913.749665108117,476.357709826685,808.665100996682,332.593105872028,4.37438453014571e-08,4.28226435602368e-08,4.21533672150753e-08,3.5679981968102e-08,4.04758924056841e-08,163.332783435883,3.89761240656557e-08,257.278011119029,6.63961109277112,110.713290891499,154.220982077786,3.77704962253289e-08
"CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",27842.9258299367,24700.5205397745,21402.3678961157,16680.9573657365,20266.7829117988,10803.4553318915,6113.06714127835,4587.11203544708,3918.57546149058,3695.1706116002,5151.42121230955,6180.74637726711,5624.09319197721,4189.00546108916,3002.2366925429,3031.95413179584,3404.37861420348,2671.32239330959,2676.66890409464,2964.26128049836,3183.64213145506,2205.31915450827,2308.50201550692,2333.24273103723,2732.71292113633,2084.14961138274,2238.26872597891,2960.8749849264,1410.52697821186,419.939512823906,228.203368609349,95.4817239789025,211.465201523387,2744.49540018489,1765.53282790886,938.811262264509,350.126667520897
"CIV",7376.68377107716,7831.46588987688,3982.74765505051,2680.44866904825,3757.87126239005,13200.9605416218,19224.6798097074,9153.4173528693,9477.14192285575,8937.01983756705,4957.52624681981,7013.25463848535,3814.36290376937,1216.47228936611,18537.1911309067,11107.4869375453,5120.7730292462,4896.39773389137,2321.86993689078,1961.98588624561,1919.21100381104,1950.49106387673,1616.18074580922,897.698522947899,193.557197399308,3.17810866699084e-09,3.13207040821081e-09,3.07549850431071e-09,3.02139395184711e-09,2.95725755767431e-09,64.581764722179,2.83467076402338e-09,2.77465228008712e-09,4.32470992098129,2.43267317256523e-09,2.37405014363027e-09,1.14306078363319
"CMR",NA,10996.1559059082,17470.2213681667,10722.6112216563,13435.064449073,8764.2254019592,4620.07717641049,5937.65511779108,6308.2801532421,5467.74613915678,3860.81605919251,7207.21526156996,3509.08584845175,1218.44329017971,746.73880830865,2499.40064674363,2035.95696781048,2506.67535301135,2684.15908248502,3546.93839961563,6128.7243696062,3.86974674582116e-09,3.77233179697676e-09,0.116272720041592,45.6246170681914,43.2286319545127,2.9350256580408e-09,2.86068960715812e-09,2.79370401712128e-09,2.72184021391248e-09,2.65361841522293e-09,14.1428079276659,2.52103500485144e-09,30.1228620079518,160.339882500556,2.39520129938128e-09,2.48798533668408
"COD",6.5551811931348e-11,6.37215210472792e-11,6.21157202411128e-11,6.04731049499739e-11,5.88561503521152e-11,5.72366138198732e-11,5.58072934360406e-11,5.41469197047829e-11,5.2564872132312e-11,5.06426580473571e-11,4.88419566722126e-11,4.69346864365604e-11,4.52004736469482e-11,4.35366586857793e-11,4.22300489504204e-11,4.10373500763028e-11,4.02039617454602e-11,3.9366291739453e-11,3.85725543757817e-11,3.76940105608316e-11,3.67400433386422e-11,3.57556161716713e-11,3.47750385361044e-11,1.16830063054983,825.549628925298,394.298830448599,23.3565067503591,2.60094549610113e-11,2.53044508210813e-11,2.45644630856303e-11,2.39390924074578e-11,2.32787443504729e-11,2.26048299648219e-11,2.1520397093164e-11,2.05363358041035e-11,1.96801356581403e-11,1.88128224626909e-11
"COG",245.79575486617,2211.93558558296,3435.9714001428,4072.76702795389,1535.89548827829,908.052218118478,158.639098267988,2.53907485969635,1.12433962450213e-08,10.654113574601,153.004422587202,267.419172469324,57.5458932095296,0.707025358138941,24.778161879688,185.926399473218,125.740361119369,28.5628102143566,5.79359841776582,22.9842418665751,74.234428302788,157.780070945128,271.624427643534,290.900763826907,8.53181889198945e-09,8.27269265621373e-09,8.04161145148404e-09,6.73477998632991e-09,6.52194073848242e-09,6.34578958576444e-09,6.17887600937202e-09,6.01273673458074e-09,5.85719380969734e-09,5.61511027915884e-09,5.36933868981e-09,5.15834196021736e-09,4.96191536909681e-09
"COK",1.40616154681005e-07,1.40708659465057e-07,1.05347269334477e-07,1.39714655429072e-07,1.3868924040503e-07,1.38247989840827e-07,1.04978795047915e-07,1.05652988049186e-07,1.05744460805731e-07,7.86232170471019e-08,7.85221241039628e-08,7.81784191445575e-08,7.68983848514514e-08,7.62375481686295e-08,7.5805031316586e-08,7.63300595992827e-08,1.02132451449721e-07,1.03392799777556e-07,7.77299005659125e-08,7.81225825879731e-08,7.70959008816075e-08,7.61717049582947e-08,9.94252808711988e-08,7.26672870941889e-08,7.19852848186665e-08,7.02308571276605e-08,7.00041254893791e-08,6.96045656013157e-08,6.9027057040144e-08,6.86597062782055e-08,6.84149826567455e-08,6.83964667544008e-08,6.8229542264869e-08,6.81188459539729e-08,6.81291878831479e-08,6.77987176156598e-08,6.77947269382533e-08
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPV",46.5879259276259,375.965988021313,413.182909045889,25.5270464477097,83.2693373938714,4.47010652923411,114.812617149972,8.42848172526286,2.12460068027876,1.80163279038381,2.59207467837178,1.56036641834224,0.571789715899536,2.09722754529687,1.78903245209556,0.832427259314013,239.008898190139,56.682076969315,6.24769974815073,1.51684368953229,0.377562972270797,0.0653634934724022,0.00291280470970733,5.16478562371007e-07,5.0870913059842e-07,5.08743786823725e-07,5.04684621643032e-07,5.05227370174303e-07,5.00721668362621e-07,5.03097065378777e-07,4.99853251516566e-07,4.93451943921145e-07,4.89755930164577e-07,4.63402685969331e-07,4.58646292969046e-07,4.52900774477749e-07,4.46312522779634e-07
"CRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
