gbd,agedist_index,cutpt_mcv1x5_low,cutpt_mcv1x5_high,pr_0,pr_1to4,pr_5to9,pr_10plus,mcv1 group
SSAFR,SSAFR1,0,59,0.035820433,0.055071357,0.015660281,0.0368245,a:<60
SSAFR,SSAFR2,60,84,0.028005939,0.025480425,0.014537291,0.033119119,b:60-84
SSAFR,SSAFR3,85,100,0.061350586,0.031091125,0.030698697,0.068754704,c:85-100
NAfr/MEast,NAfr/MEast1,0,59,0.032557937,0.055767817,0.037702973,0.041155316,a:<60
NAfr/MEast,NAfr/MEast2,60,84,0.029198347,0.031659884,0.041482745,0.044519822,b:60-84
NAfr/MEast,NAfr/MEast3,85,100,0.041226621,0.029180652,0.043663742,0.054121083,c:85-100
WCEuro,WCEuro1,0,59,0.030187379,0.073145515,0.026576006,0.071176615,a:<60
WCEuro,WCEuro2,60,84,0.026571725,0.045850287,0.025181468,0.073299836,b:60-84
WCEuro,WCEuro3,85,100,0.02786026,0.044919519,0.010703813,0.077607792,c:85-100
EEuro/CAsia,EEuro/CAsia1,0,59,0.038887553,0.072124452,0.022393406,0.138857684,a:<60
EEuro/CAsia,EEuro/CAsia2,60,84,0.024835851,0.023488814,0.019798177,0.111156815,b:60-84
EEuro/CAsia,EEuro/CAsia3,85,100,0.011866663,0.005683812,0.00651054,0.040484377,c:85-100
SEAsia,SEAsia1,0,59,0.060636341,0.072242715,0.03539373,0.077748548,a:<60
SEAsia,SEAsia2,60,84,0.051559126,0.046331136,0.040569635,0.10925503,b:60-84
SEAsia,SEAsia3,85,100,0.09055364,0.032111322,0.050321309,0.153559079,c:85-100
SAsia,SAsia1,0,59,0.019051622,0.048223242,0.030678512,0.023632101,a:<60
SAsia,SAsia2,60,84,0.012539986,0.018149477,0.01449505,0.011998608,b:60-84
SAsia,SAsia3,85,100,0.039496015,0.036355724,0.048899922,0.05637892,c:85-100
AsiaPac/AUS,AsiaPac/AUS1,0,59,0.023967601,0.108253262,0.025228246,0.13050063,a:<60
AsiaPac/AUS,AsiaPac/AUS2,60,84,0.018198704,0.063025722,0.023893242,0.116024737,b:60-84
AsiaPac/AUS,AsiaPac/AUS3,85,100,0.008865629,0.034449311,0.002972712,0.041691586,c:85-100
EAsia,EAsia1,0,59,0,0,0,0,a:<60
EAsia,EAsia2,60,84,0,0,0,0,b:60-84
EAsia,EAsia3,85,100,0,0,0,0,c:85-100
Americas,Amr1,0,59,0,0,0,0,a:<60
Americas,Amr2,60,84,0,0,0,0,b:60-84
Americas,Amr3,85,100,0,0,0,0,c:85-100
