"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281345.689686815,39165.4167713337,67197.1781383231,311471.803347262,32780.6731750238,22345.9936508724,36563.980786141,135056.824071022,55245.3391080754,24780.4619822023,26972.175249234,257402.522693587,92465.6692626981,40177.9584251776,56278.6738211238,18750.2938884192,259.848604565884,946.291672308224,3139.38016108218,2652.7082827732,2874.61207769641,3032.66460728589,6936.26374984362,6793.31740906594,30.3356406153649,140.174844648797,354.759867739791
"12",292831.678694445,182602.239860832,220343.107266409,127839.971119787,159435.766672729,173435.565712433,104370.806254468,144408.060780301,121529.289221684,63605.8613582355,49159.4318622929,97616.4741474503,103611.158415613,50317.2911636721,64189.6398776534,70146.2512907188,23106.0547267124,16719.5298588314,18688.6215085609,83270.8203510263,95179.0802095574,7728.04660187725,690.242954699161,3651.88434050391,4980.0032000701,6939.2074411411,2043.16670166627,5194.1695773267,6452.23443081771,3452.52341005853,3413.77968710949,4528.04385185957,1831.94843894337,1932.81608953972,1857.7244993575,1427.11270884047,1728.26267028581
"13",NA,NA,NA,NA,NA,NA,NA,238080,405220,NA,36080,47825,36865,56730,53250,36105,19345,0,NA,NA,415,NA,220,305,130,75,320,490,165,200,2880,0,195,975,235,NA,1835
"14",268784.852917774,215598.712547583,214533.59006679,246587.618997105,242896.723548758,137482.56438754,248870.540043933,105800.91866066,66528.4288165825,68345.7013864105,98114.8769302228,60562.9256335393,74618.3649734624,142790.707493791,193848.132339502,52403.2382103288,191507.812249986,44229.5106715562,49213.9521101839,76827.0783248111,106175.551712179,33402.1722656523,19203.0529114477,3553.78129626132,9298.81190026244,4401.28544961823,10364.6954505078,20593.1551083806,21853.4818099453,17792.1256138457,16959.2059589921,6116.48474103349,16264.1348425382,23757.4229470605,2519.06982640024,6495.66781492748,8915.33084225585
"15",330112.967926361,397158.427746796,405521.283966231,581578.836966932,330334.290148533,225251.3501948,566295.444219264,163797.161069747,145027.911399969,183789.582010182,132284.861215366,437591.193562001,275520.068744874,100698.895495309,121973.126564829,353133.466285531,94707.4027497124,238489.438470427,140803.444471916,98461.3324660878,96672.2333323931,4970.82526610446,53162.2245622272,34238.1460038761,10252.547264305,16644.0637433681,17204.0038913798,7440.60548856947,136593.652689226,74244.8390625252,46219.1995978279,14093.9887679667,26759.9363189832,35792.9225110008,1050.2041919864,11539.1416976894,18806.2822380516
"16",2711256.42123397,4747261.65106443,2774275.06602569,3193679.84610313,3186511.85054555,3801278.60394966,3650981.45322404,3135620.16554235,2337524.97611271,967152.542395009,2259612.12830492,1651606.93368572,1497693.41197689,2354941.79371682,1487378.49470202,1396480.82905233,2528966.72999117,1831419.21877755,1584506.06415037,1436094.16178253,1267197.55866814,1116697.81425144,1168369.31971415,2298948.37774504,2228221.47438786,1633712.14254343,155584.908791979,459716.084912943,358523.130821524,346597.59024552,552009.256827096,259306.228664267,250610.370620015,538262.126052782,3463.53238166479,54416.6931245838,350738.308733136
"17",93070.6372262575,79151.0098925865,66798.1022417023,73174.2683728748,69891.6514871316,71507.6146709688,70526.2838307674,70434.4347272035,69856.5433120404,69365.4681614646,69175.9510976605,141237.615618634,31105.1576454725,76854.1797114497,60696.3422806404,67744.3503092285,63662.2101560757,64428.6475520164,62356.2834096075,64701.7269870423,62347.6792296458,63113.5554620631,60581.2239435033,61156.7063799527,59961.6771823242,59808.6585384523,59155.3210331032,58784.8018074023,58821.2593802094,141241.214261657,16679.6588669697,60102.782515109,55718.4162822713,57409.0254302446,56237.3550953437,56261.6801118079,55521.2267681271
"18",1645,5735,2190,5670,9550,485,110,25,905,295,35,60,10,0,15,370,20,20,190,30,25,40,60,55,20,15,35,10,15,0,0,0,0,3960,0,0,0
"19",225,250,14340,180,130,425,210,110,295,360,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15803.7310494815,16884.1419169989,18179.5710955733,18593.872612556,18758.567836193,17535.8749707882,16813.2973073082,15720.8816999431,14044.9271713369,12792.2371682012,11632.0356861982,10701.4699266234,9994.58731871852,9344.57015775668,8744.56695636411,8392.8606260745,7860.38485597651,7438.12282616916,7040.01259728275,6678.50572273348,6372.46126010482,6052.08040091506,5761.06587066228,5885.35011562868,5980.27137088254,5742.58284178188,5514.84276051954
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,6755,11620,19370,4100,7580,1975,675,2585,765,105,225,70,105,10,5,745,5,0,0,5,250,50,80,2100,10,50,5
"22",930,30,55,20,35,620,1120,370,10,125,35,55,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0
"23",38270,3600,10170,6350,1085,1730,4935,8965,3345,4100,10540,24685,16955,7205,380,35,35,5020,7205,610,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0
"24",306405,196850,291295,404375,379965,645630,330295,130895,114265,307175,212685,39670,30185,175,3965,2900,261420,13905,4540,180,5,5,10,0,30,285,0,0,0,340,215,10,1100,33125,1070,NA,0
"25",205,30,30,25,35,10,10,5,10,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0
"26",3875,1215,2790,2705,3085,2200,315,140,195,60,NA,255,250,NA,NA,NA,65,60,115,210,55,NA,120,80,45,NA,NA,15,10,0,20,5,0,80,20,5,0
"27",14505.3487461496,24418.9718955731,17770.9237347512,17322.4831836254,10828.0328246833,12461.337425477,8978.6327326155,5573.77938710095,7316.96335309103,2866.3431884517,5785.36333366777,2305.42622113351,6617.41789649359,8960.1377859356,2714.54710547558,630.045582585696,2363.41007304301,1966.46630094525,19705.4422469942,5601.30666782374,9948.88871021839,1893.3146045262,1057.36994596062,909.970484020732,825.735544795454,446.237748382332,11,84.8548553120827,143.398622370745,307.557239878916,288.862097738987,237.878470697335,210.864583205186,811.284857443246,487.29424377159,663.420716040371,915.2617376506
"28",14137.5529109714,16135.7314681297,66179.4727189245,44240.1052513438,23426.0500959622,14925.39329862,8101.69996159318,8560.52141854159,30899.7609316782,17984.98305412,11379.3967338873,9225.80770940543,44149.3222925586,29180.0065277476,14054.6940264613,12678.4694913982,41690.6395590427,6543.27704209429,3012.12562624045,14085.151174791,7182.26679888489,5168.9149493633,4337.86017799925,3644.60011116799,3250.17439906438,896.731318013448,1311.25008123938,1621.09969621834,2284.59463305588,1179.23804719728,1571.71371166346,1838.22396436428,2025.78510271382,1030.03608948943,1436.07271126892,1768.22617215179,565.568339748085
"29",187437.558091059,109332.635001653,69120.932419898,321623.420435101,104748.726662912,77393.8044723103,91582.3798232856,81054.9228171433,24556.3569441223,54342.6075705948,172202.430820643,128843.369319603,74450.1426189218,69840.7047951128,43734.818417412,22556.2338324299,17877.1475180427,16234.8342103627,28735.7999442787,147225.708529575,120927.098505981,50693.5070356509,35211.0862141715,52638.6409099994,28868.2912260286,2781.42106480463,4597.73639562959,6896.0081397076,1627.53220423944,5238.39999784548,28123.4608763265,7111.34704284303,28318.9990095618,24060.4145497111,17664.6910683751,21777.6087303594,21784.1387129101
"30",11535,5320,4670,20390,14080,74705,11925,3045,55725,5165,30890,13710,1015,2615,11805,1635,2895,60,145,1030,170,30,75,35,30,65,505,310,70,495,3795,60,410,2560,975,55,225
"31",NA,NA,NA,NA,NA,NA,37000,38000,13500,9950,13500,21500,15000,7000,7000,10000,32000,10000,4000,NA,3500,NA,2870,195,300,NA,5075,10110,4790,385,3105,305,875,345,175,NA,525
"32",32635,47190,33760,23925,85505,62815,13115,225395,65040,9790,10490,5,5,0,0,0,290,30,155,0,0,0,5,0,0,0,0,0,5,0,30,0,0,1015,45,0,0
"33",24283439.8465954,21876301.3981624,18647061.6523963,19614114.365393,10613590.9175153,8270900.00827132,5537241.78941454,4324535.58993352,3785066.70086466,3549438.58528702,4349770.58062514,5009340.83526331,4819011.00702562,4051424.59466489,3287574.00409333,3205252.25086036,3361549.20729281,2918313.89424581,2893702.96613596,3033353.33320498,2990558.32536717,2349076.26861576,2330384.11513481,2302075.39751995,2805684.52664965,2404139.66174,2530570.9370803,3174793.51951757,1873118.45612855,821524.735525995,715435.023391198,609384.966764688,745149.694303277,2083031.76516343,1401137.1059512,1017839.08099652,674487.04627244
