"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG",1671764.78304121,807548.44856592,737958.33173954,615950.825877136,536634.192392104,278325.99270199,351761.300616127,145879.574695897,50518.9326936666,44439.0887515174,31545.765408649,3.47619302343283e-07,1100.82799140167,10729.3798097143,24844.2344511222,11475.9606771817,2588.13826291724,110588.42688474,125540.600724602,220821.678861185,305406.392525641,135479.00149647,2.07702264276577e-07,1.99897523645021e-07,10282.9887191308,34262.5280694356,1.82216813415792e-07,313.411043373837,41719.3231094015,17679.9909758479,48309.6655577864,39178.7821066748,1.57152605040345e-07,1.46567930014996e-07,1.42316957774113e-07,1.38540823146904e-07,1.35132684042638e-07
"AGO",434280.948187997,588831.875072025,418394.265623165,417646.77521663,420646.141371424,270776.995228063,216458.096106088,381696.063329001,354738.139890702,571601.032483267,338069.537685708,292051.596567132,156411.179297474,83433.267512366,20062.9090230911,1968.97107241459,73984.8919911124,41939.0177232524,11301.8183013226,15002.6071192657,100889.450383909,177517.33081592,46812.6716423329,1.11156452820005e-07,1.07342517541298e-07,43.6766799439714,1.00261538071855e-07,9.69680145068708e-08,2642.36144909748,9.0843711775257e-08,8.80015791349109e-08,8.52963597530731e-08,83620.0382531673,176684.646081555,102.720905344418,10111.9956350105,28394.5296332598
"ALB",NA,NA,2.55644797930721e-05,2.49599498789443e-05,2.43387422192987e-05,2.36899553766046e-05,2.30394331952599e-05,2.24530188437377e-05,309423.13771133,2.17335674449481e-05,2.16526523499905e-05,2.1733718771122e-05,2.19218312136338e-05,2.21350188630565e-05,2.23097643911041e-05,2.24220450419921e-05,2.24875069473329e-05,0.164500210386265,2.25781624162424e-05,2.26669247022082e-05,2.27970443198444e-05,2.2954126890351e-05,2.3125682892533e-05,2.32924115132205e-05,2.34386519177843e-05,2.35607026422002e-05,2.36600498199069e-05,2.37321097715792e-05,2.37729508206774e-05,2.37808143114249e-05,2.37526144101219e-05,2.36910192114026e-05,2.70090512819454e-05,2.59294526107068e-05,2.60050697427072e-05,2.60466794679282e-05,2.60706459037641e-05
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,5,5,12.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"ARE",7050,4227.5,5262.5,4372.5,6000,5395,7282.5,2967.5,2670,2967.5,2870,2657.5,1862.5,1295,1677.5,1062.5,607.5,740,292.5,172.5,75,132.5,105,55,72.5,NA,NA,137.5,NA,217.5,NA,330,0,1247.5,867.5,557.5,302.5
"ARG",43955,11080,17765,79377.5,23100,16120,20060,11877.5,10022.5,4917.5,105232.5,51377.5,12717.5,335,1637.5,147.5,312.5,25572.5,782.5,15,0,0,0,0,0,0,0,0,7.5,42.5,7.5,5,0,795,0,0,7.5
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27994149834443e-07,1.30310068513495e-07,1.3339697635395e-07,1.36629780156383e-07,1.39460149428672e-07,1.41646387619154e-07,1.43261326468469e-07,1.44397767964932e-07,1.45290995234859e-07,1.46128044886673e-07,1.46898713193622e-07,1.47523430027441e-07,1.48056471860336e-07,1.48564404001128e-07,1.49093386636601e-07,1.49689479922444e-07,1.5034178124651e-07,1.5096758931854e-07,1.51442339446639e-07,1.51680375259922e-07,1.51648443913466e-07,1.51395056380288e-07,1.5101435202336e-07,1.54669703156252e-07,1.54100750715536e-07,1.53686312232004e-07,1.5339083936361e-07
"ATG",617.5,0,25,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"AUS",NA,NA,NA,NA,NA,NA,NA,620,422.5,2200,3450,3562.5,11340,12237.5,2995,1245,2132.5,817.5,587.5,270,352.5,80,227.5,175,25,NA,27.5,162.5,260,175,475,497.5,395,837.5,185,247.5,202.5
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,0,0,2.5,NA,0,NA,225,37.5,22.5,57.5,50,1120,122.5,130,170,0,0,270,772.5,67.5,237.5
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238198.596605011,13397.7373431392,34127.5971122425,261513.796895305,8217.03083155446,2879.25115765215,9130.07666257702,87620.1915192284,23662.8692821129,4136.9407530271,1241.12684644397,185530.054847817,45302.5756425669,10032.4170069431,17240.9473877134,596.223708500159,4.46905539275289e-06,4.41491590641441e-06,4.36156275873678e-06,4.30955243968523e-06,4.25910945422991e-06,4.2103704709362e-06,4.16224277932642e-06,4.11052368265441e-06,4.06184930135112e-06,4.0148606686996e-06,3.97408901187113e-06
"BDI",271772.951443693,167755.782933572,203305.801231698,115234.494349454,144808.332386939,157652.350428355,91910.8922712246,129577.457616674,107185.370572991,52468.7871806662,38035.9747182513,81994.7526886871,89598.6080000197,41196.020137765,50609.8174791128,56804.1791957361,15559.9754464129,9177.77195450379,10122.9935041543,65359.1649008023,30037.3515478422,1137.33212701063,8.18862959550692e-07,7.91995792726041e-07,202.461642749839,779.26895664986,7.14250290245744e-07,225.020452370434,793.079900256967,6.44282314388178e-07,6.23508786490312e-07,48.4712070880498,5.85336375480416e-07,6.01357246665657e-07,5.83227981243439e-07,5.6522553926186e-07,5.47529971806071e-07
"BEL",NA,NA,NA,NA,NA,NA,NA,119040,202610,NA,18040,23912.5,18432.5,28365,26625,18052.5,9672.5,0,NA,NA,207.5,NA,110,152.5,65,37.5,160,245,82.5,100,1440,0,97.5,487.5,117.5,NA,917.5
"BEN",230333.824862366,190629.191811506,189149.282737331,220000.011020817,216053.373820427,116401.247837451,219467.963129037,87030.3778051698,48495.143096548,3002.79848454711,73738.2041760185,42309.4698620265,52495.6056299336,113209.63311338,166058.612100183,38383.2573110544,157079.318228884,31271.3493055062,30482.2694189276,53903.7076042937,82289.8551600789,17133.0154872272,7820.92902643584,4.77393027664696e-07,343.767320187099,4.47943510062387e-07,480.915594885201,6330.19311000363,1860.90731731224,6069.77552217145,5141.39062458087,3.76320754558179e-07,3649.61493584416,9898.81179447866,3.57630953295995e-07,3.47883015616723e-07,368.018994271235
"BFA",251204.234787575,321129.519873677,330136.896529066,498174.682950352,256578.769957983,160202.236766125,474054.96388645,108048.206711105,84598.2293529865,112409.825119734,75487.8995577598,342565.730985773,208177.440443794,57289.6569515571,69306.396918976,272111.391353723,54933.8706313674,52692.838371217,91941.5872416115,17695.5522555603,48214.7721282469,6.21082302920684e-07,4024.14540807369,5034.87328765699,5.68999881211951e-07,5.52520190488792e-07,5.36497077208153e-07,5.20959113958774e-07,122398.656458524,31826.4048463819,11650.1643237326,8894.87767416007,696.089108280158,4199.50926819481,4.21690416030351e-07,4.09573059689805e-07,3.97901561144387e-07
"BGD",1918462.72382834,3863202.11694852,2093932.87212597,2443037.07503352,2449572.67321264,3010654.58250432,2884799.81299228,2407057.74169599,2082672.71813904,488207.535710504,1419090.39501267,1015378.29275632,858075.622375188,1539557.25516327,879971.56738177,780772.32223038,1693890.42824225,1181176.04887551,951197.020711762,818792.536048061,673637.583641786,564897.987779785,587510.754025909,1464362.77088309,1937688.91293472,986135.13367545,3.99458660593766e-08,19704.7951024219,21938.737841889,18153.7158878753,60417.1581517986,111026.101680625,3445.7712252589,65673.2567301118,3.62923215924127e-08,3.59024141527442e-08,57566.3015625276
"BGR",1.66919166493251e-05,1.66442414358814e-05,1.66027308253769e-05,1.65739718431812e-05,1.6563116080448e-05,1.65698583343143e-05,1.65939800355064e-05,1.66406079227244e-05,1.67161637107949e-05,1.68246279409479e-05,1.69702640315794e-05,1.71504405858114e-05,1.73531654225068e-05,1.75601376042334e-05,1.77566142227636e-05,1.79358484552194e-05,1.80996310221726e-05,1.82516376844299e-05,1.83997977809547e-05,1.85502902371182e-05,1.87035004625136e-05,1.88567417679364e-05,1.90100990744568e-05,1.91633158764803e-05,1.93162340518249e-05,1.9469315991727e-05,1.96230247380136e-05,1.97771345168407e-05,1.99312051603062e-05,2.00850120152252e-05,2.02385365012381e-05,2.03922907601184e-05,2.04279826550025e-05,2.05444225249707e-05,2.06759279591795e-05,2.08214534549445e-05,2.09739671362952e-05
"BHR",822.5,2867.5,1095,2835,4775,242.5,55,12.5,452.5,147.5,17.5,30,5,0,7.5,185,10,10,95,15,12.5,20,30,27.5,10,7.5,17.5,5,7.5,0,0,0,0,1980,0,0,0
"BHS",112.5,125,7170,90,65,212.5,105,55,147.5,180,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32285885415351e-07,2.45217373961992e-07,2.6167152256118e-07,2.77627408840075e-07,2.88541149418009e-07,2.91473352675986e-07,2.87316970659646e-07,2.7904481925134e-07,2.70775895261366e-07,2.64959780782448e-07,2.61887032837471e-07,2.60662387341348e-07,2.60782823446881e-07,2.61390442957143e-07,2.61854970484698e-07,2.62170602671752e-07,2.62610550638698e-07,2.63118197119105e-07,2.63647718323767e-07,2.64163026786335e-07,2.64617618705998e-07,2.6499074179398e-07,2.65309687774717e-07,2.84899513425252e-07,2.87319977143596e-07,2.88884102195297e-07,2.89691276744719e-07
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,560,3377.5,5810,9685,2050,3790,987.5,337.5,1292.5,382.5,52.5,112.5,35,52.5,5,2.5,372.5,2.5,0,0,2.5,125,25,40,1050,5,25,2.5
"BLZ",465,15,27.5,10,17.5,310,560,185,5,62.5,17.5,27.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0
"BOL",19135,1800,5085,3175,542.5,865,2467.5,4482.5,1672.5,2050,5270,12342.5,8477.5,3602.5,190,17.5,17.5,2510,3602.5,305,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0
