,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
NOR,50376,50262,50500,51033,51813,52790,53907,55092,56267,57360,58307,59064,59635,60024,60223,60211,59970,59536,58973,58348,57767,57340,57134,57184,57495,58028,58704,59417,60086,60678,61190,61648,62109
NPL,589726,601297,612986,624629,636045,646920,656928,665967,674067,681356,688313,695579,703556,712351,721757,731393,740707,748894,755172,758978,759672,756780,750453,741017,728774,713941,696773,677975,658465,639172,621273,605849,593329
NRU,245,242,238,258,254,252,250,272,272,272,272,273,275,299,301,304,306,309,312,315,317,320,297,298,300,301,303,330,332,334,336,209,209
NZL,50926,50674,50797,51209,51861,52701,53679,54726,55763,56713,57482,57992,58236,58235,58014,57615,57099,56562,56102,55797,55754,56070,56738,57703,58896,60177,61372,62336,62975,63259,63221,62954,62611
OMN,57929,60543,63024,65313,67328,68952,70070,70651,70697,70233,69311,68013,66469,64808,63124,61466,59837,58228,56668,55232,54000,53039,52409,52169,52383,53193,54746,57014,59868,63126,66503,69670,72349
PAK,3406051,3524153,3649255,3779270,3910819,4038556,4156558,4260511,4347576,4416612,4469317,4509686,4542694,4571567,4596529,4613283,4615218,4598626,4563722,4514759,4461464,4416160,4388553,4384295,4404002,4443051,4492449,4540353,4577702,4601148,4610564,4609230,4603805
PAN,61531,61830,62161,62521,62910,63319,63734,64145,64553,64969,65422,65949,66574,67300,68117,69001,69917,70817,71661,72420,73071,73605,74036,74379,74642,74829,74949,75014,75044,75053,75060,75078,75113
PER,620507,622041,623882,626480,629941,634147,638758,643176,646890,649651,651240,651552,650760,649074,646630,643601,640176,636554,632920,629422,626152,623126,620268,617524,614913,612463,610199,608123,606227,604500,602940,601546,600283
PHL,1737335,1769858,1802600,1835844,1869399,1902652,1934764,1965041,1993101,2018956,2042912,2065550,2087727,2110180,2133306,2157951,2184918,2213865,2243857,2273700,2300807,2322140,2336084,2342262,2341453,2335968,2329146,2324585,2324990,2331495,2344244,2362196,2382822
PLW,398,391,388,425,423,421,417,450,446,442,440,439,440,479,481,484,487,491,494,498,501,503,466,468,469,471,472,514,516,518,520,417,417
PNG,127338,128633,129955,131262,132603,134060,135733,137718,140088,142885,146179,150024,154344,159014,163897,168799,173512,177886,181812,185233,188161,190681,192955,195114,197206,199236,201163,202939,204543,206005,207376,208719,210095
POL,695281,698080,695529,687667,674822,657828,637910,616581,595125,574267,554148,534365,514244,493497,472472,451638,431556,412927,396441,382639,372213,365710,362957,363516,366922,372512,379509,387025,394227,400497,405422,408894,411226
PRK,349390,361123,374457,386056,394623,399981,403103,405945,409861,414921,420778,426722,431766,435133,436507,435716,432827,428336,422739,416316,409218,401501,393304,384902,376691,369206,362964,358204,355028,353443,353307,354322,355980
PRT,159892,154005,147710,141431,135439,130004,125316,121387,118203,115785,114121,113149,112697,112586,112688,112902,113169,113456,113704,113819,113693,113238,112441,111312,109861,108122,106154,104051,101906,99782,97719,95734,93814
PRY,118853,122762,126388,129640,132455,134811,136743,138371,139799,141078,142245,143320,144301,145193,146019,146797,147537,148237,148899,149528,150106,150604,151019,151373,151706,152103,152664,153447,154471,155721,157144,158657,160147
QAT,8515,9073,9561,9960,10260,10456,10556,10587,10576,10543,10506,10476,10462,10472,10518,10606,10736,10904,11112,11366,11671,12027,12442,12925,13489,14176,15035,16071,17260,18553,19878,21147,22278
ROU,389375,379747,372592,368803,368091,368773,368293,364268,355282,341288,323249,303010,283117,265629,251472,241061,234129,229484,226102,223628,221833,220641,220092,220142,220599,221299,222128,223004,223817,224423,224702,224582,224066
RUS,2279678,2322621,2364458,2400558,2425835,2431007,2406218,2348271,2258238,2140276,2002412,1855455,1712334,1584368,1478655,1400236,1350261,1323105,1313265,1318426,1336506,1365600,1403040,1445554,1489764,1532657,1572160,1607597,1638121,1662291,1679030,1687986,1690069
RWA,277048,286954,297228,307550,317366,325458,330412,331543,328769,322552,314002,304678,296335,290386,287561,288220,292179,298402,305934,314326,323197,332289,341486,350622,359448,367754,375428,382529,389109,395151,400642,405595,410101
SAU,434521,457031,478877,499281,517668,533559,546728,557439,565980,572463,577040,579904,581352,581690,581165,579830,577596,574469,570636,566471,562605,559726,558195,558138,559477,561878,564794,567483,569310,569928,569238,567384,564655
SDN,880869,902907,924795,946652,968618,990974,1014054,1038069,1063111,1089153,1116030,1143470,1171121,1198693,1226048,1253246,1280485,1307928,1335584,1363264,1390560,1416978,1442178,1466003,1488485,1509858,1530515,1550979,1571678,1592820,1614504,1636683,1659109
SEN,270886,275672,280589,285726,291133,296827,302785,308923,315165,321474,327788,334044,340246,346429,352646,358986,365552,372444,379747,387507,395736,404400,413435,422794,432479,442626,453420,464886,476914,489284,501604,513419,524382
SGP,40400,41313,42553,43968,45475,47035,48646,50305,51968,53548,54920,55956,56592,56799,56575,55937,54933,53690,52345,51004,49773,48735,47917,47345,47049,47055,47359,47907,48636,49504,50467,51488,52539
SLB,10196,10378,10575,10792,11027,11279,11540,11800,12050,12288,12511,12716,12911,13100,13288,13483,13690,13915,14159,14423,14709,15018,15344,15675,16002,16310,16583,16812,16994,17127,17214,17261,17282
SLE,153807,156639,159463,162252,164947,167440,169611,171388,172746,173697,174233,174361,174220,173999,173888,174178,175164,176974,179636,183110,187264,191880,196633,201224,205462,209189,212330,214963,217171,218977,220421,221558,222476
SLV,176416,175854,175074,174198,173311,172510,171868,171374,170991,170684,170433,170211,169916,169413,168562,167083,164673,161266,156946,151902,146496,141188,136416,132511,129634,127830,126987,126764,126845,127067,127305,127488,127614
SMR,249,243,237,232,229,227,226,225,224,225,227,229,232,234,235,235,235,236,237,238,240,242,243,242,239,235,231,228,225,222,219,292,292
SOM,256995,266785,274931,281475,286470,290105,292704,294782,296827,299157,302033,305583,309717,314348,319488,325096,331090,337360,343824,350457,357303,364447,371953,379829,388014,396370,404718,412929,420938,428757,436476,444250,452264
SRB,170401,169759,168587,167014,165100,162855,160254,157305,154065,150636,147169,143820,140689,137840,135298,133035,130971,128971,126919,124761,122449,119961,117341,114642,111904,109179,106523,103985,101606,99412,97421,95631,94005
STP,3854,3930,3997,4056,4108,4153,4194,4234,4274,4317,4363,4411,4462,4514,4570,4632,4704,4787,4882,4989,5112,5250,5402,5562,5727,5888,6038,6173,6287,6378,6447,6492,6521
SUR,11023,11016,10985,10903,10761,10563,10321,10069,9838,9647,9521,9482,9530,9652,9833,10047,10256,10429,10542,10585,10558,10472,10355,10232,10114,10010,9924,9852,9789,9736,9690,9649,9610
SVK,96634,95357,93819,92175,90500,88841,87198,85505,83703,81776,79661,77281,74632,71752,68719,65636,62620,59804,57313,55243,53698,52752,52355,52422,52881,53627,54543,55503,56393,57131,57668,58000,58183
SVN,29321,28761,28137,27495,26856,26215,25554,24847,24087,23288,22473,21672,20917,20234,19640,19137,18713,18350,18042,17798,17651,17642,17790,18089,18515,19021,19549,20038,20437,20719,20871,20900,20843
SWE,93308,93376,94306,96006,98360,101279,104655,108234,111688,114696,116730,117266,116180,113575,109688,105032,100285,96142,93139,91537,91440,92718,94881,97466,100232,102930,105374,107526,109370,110872,112071,113070,114023
SWZ,29064,29952,30914,31931,32967,33971,34882,35649,36235,36623,36799,36769,36580,36285,35924,35539,35165,34825,34543,34344,34249,34271,34391,34591,34855,35167,35506,35852,36185,36487,36747,36961,37134
SYC,1773,1767,1760,1750,1737,1721,1705,1688,1672,1657,1641,1622,1600,1573,1544,1517,1495,1481,1479,1487,1507,1537,1572,1609,1644,1672,1690,1696,1691,1673,1645,1611,1573
SYR,399769,408580,416628,423852,430179,435379,439207,441744,443265,444147,445134,447090,450523,455627,462287,469928,477659,484543,489934,493654,495836,496926,497694,498776,500445,502908,506216,510105,514293,518617,522763,526380,529315
TCD,225273,230932,236928,243354,250285,257795,265925,274644,283909,293693,303949,314613,325626,336947,348554,360488,372826,385611,398836,412437,426349,440502,454766,468992,483038,496735,509942,522627,534794,546455,557668,568534,579201
TGO,129818,133000,136332,139763,143244,146686,149992,153096,155968,158608,161029,163272,165436,167633,169946,172475,175301,178448,181918,185715,189822,194201,198772,203455,208194,212975,217818,222717,227623,232449,237052,241281,245054
THA,1257181,1237090,1216771,1196488,1176591,1157567,1139855,1123489,1108321,1094133,1080402,1066445,1051675,1035719,1018490,1000192,981272,962349,943889,926044,908788,891923,875105,858079,840790,823179,805239,787142,769110,751341,734043,717403,701575
TJK,154647,161491,168998,176809,184590,191921,198392,203757,207840,210529,211770,211630,210431,208518,206135,203403,200361,197126,193946,191172,189279,188723,189731,192418,196815,202972,210841,219979,229828,239873,249488,258087,265346
TKM,99193,102473,106092,109900,113750,117512,121072,124300,127039,129119,130250,130150,128812,126376,123056,119242,115411,112000,109335,107572,106712,106584,106826,107147,107442,107686,107931,108278,108780,109401,110085,110761,111345
TLS,23374,24618,25853,26925,27786,28466,29063,29719,30528,31502,32633,33881,35150,36346,37402,38216,38698,38839,38675,38263,37716,37184,36797,36647,36765,37123,37638,38186,38678,39092,39441,39774,40159
TON,3196,3223,3228,3213,3180,3134,3083,3036,2999,2974,2959,2947,2932,2909,2878,2843,2810,2785,2771,2770,2781,2802,2829,2856,2879,2896,2901,2897,2881,2856,2822,2780,2735
TTO,31217,31826,32163,32177,31850,31186,30226,29071,27820,26542,25289,24098,22975,21937,21015,20243,19640,19199,18905,18748,18719,18805,18978,19203,19448,19682,19880,20031,20123,20140,20070,19906,19662
TUN,228610,230369,231394,231776,231511,230644,229253,227406,225137,222431,219091,214849,209626,203520,196778,189784,182990,176852,171758,167960,165670,164958,165553,167139,169495,172390,175603,178905,182054,184819,187000,188483,189313
TUR,1551351,1552988,1549302,1539959,1525395,1506593,1485011,1462660,1441382,1422376,1406750,1395111,1386862,1381240,1377777,1375640,1373818,1371403,1367717,1362429,1355531,1347375,1338722,1330203,1322056,1314466,1307492,1300936,1294584,1288321,1281956,1275284,1268171
TUV,235,253,254,255,255,271,271,272,273,274,259,260,261,245,246,247,248,249,250,250,250,251,250,250,250,250,250,249,249,249,249,207,207
TZA,875447,898045,921178,945025,969630,994974,1020964,1047410,1074145,1101084,1128032,1154793,1181413,1208067,1235002,1262576,1291193,1321231,1353005,1386722,1422767,1461469,1502555,1545484,1589631,1634014,1677549,1719462,1759249,1796719,1831986,1865518,1898253
UGA,616679,636938,658341,680924,704720,729856,756454,784435,813601,843700,874312,904972,935373,965343,994851,1024064,1053313,1083036,1113564,1145015,1177431,1210742,1244695,1279044,1313652,1348377,1383117,1417842,1452536,1487165,1521736,1556293,1590913
UKR,758085,761340,764603,767021,767686,765093,757646,744593,725744,701361,671895,638163,601980,565350,529924,497275,468561,444190,424565,410295,402270,401146,406218,416258,429983,445636,461337,475495,486804,494384,497866,497553,494656
URY,56002,55352,54870,54591,54529,54685,55036,55505,56015,56508,56921,57199,57328,57302,57117,56785,56336,55819,55278,54737,54209,53692,53175,52652,52136,51640,51182,50770,50410,50104,49850,49640,49461
USA,3483743,3550466,3619712,3688063,3752726,3812176,3866318,3916213,3962124,4002856,4035543,4056951,4066289,4064489,4053746,4038350,4023654,4014485,4014310,4024593,4045670,4076183,4111813,4148296,4182985,4212276,4232923,4244488,4247738,4243930,4236185,4228733,4225661
UZB,576466,588010,601069,615727,631601,648038,664158,678780,690789,699387,703583,702618,696812,686854,673447,657427,639739,621665,604563,589605,578176,571378,569118,570926,576319,584351,593770,603143,611252,617366,621125,622647,622647
VCT,3098,3052,3006,2959,2910,2861,2814,2770,2731,2696,2663,2630,2594,2554,2509,2458,2401,2339,2276,2212,2152,2098,2052,2014,1985,1963,1945,1929,1912,1892,1868,1841,1812
VEN,499100,508246,517146,526047,534839,543150,550473,556405,560734,563493,564865,565189,565003,564797,564876,565493,566769,568585,570816,573428,576371,579571,582888,586173,589303,592171,594705,596888,598699,600090,601014,601446,601420
VNM,1771088,1796303,1823206,1850387,1876702,1902052,1926833,1950236,1970284,1984158,1985817,1968492,1929845,1870719,1794445,1707881,1620013,1540038,1475141,1428940,1403055,1396071,1401611,1413569,1428666,1443657,1456067,1465053,1469906,1469617,1463903,1453354,1439603
VUT,4509,4590,4667,4741,4813,4885,4962,5044,5133,5228,5328,5431,5534,5633,5726,5810,5881,5939,5986,6022,6050,6071,6090,6110,6134,6166,6211,6267,6334,6410,6492,6577,6659
WSM,5765,5748,5726,5700,5670,5634,5594,5551,5506,5463,5425,5397,5382,5379,5386,5397,5407,5408,5398,5377,5348,5322,5303,5297,5302,5312,5320,5316,5295,5256,5200,5132,5058
YEM,446586,465157,483161,500432,516905,532960,549236,566195,583935,602139,620006,636486,650704,662135,670706,676750,680959,684335,687687,691370,695402,699501,703230,706373,709076,711720,714804,718732,723734,729818,736859,744575,752467
ZAF,1019330,1033296,1046301,1057895,1067789,1075612,1081078,1084303,1085541,1085058,1083115,1080000,1076200,1072290,1068815,1066508,1066029,1067486,1070750,1075600,1081465,1087558,1093070,1097398,1100290,1101879,1102623,1103116,1103706,1104328,1104648,1104149,1102317
ZMB,271316,277189,283246,289637,296439,303640,311159,318907,326862,335088,343786,353209,363483,374616,386504,398918,411551,424074,436222,447859,458833,469070,478785,488276,497807,507799,518705,530781,544152,558814,574590,591151,608048
ZWE,344007,352043,359171,365354,370571,374844,378255,380994,383253,385167,386844,388349,389700,390930,392105,393240,394310,395306,396266,397277,398474,400004,401956,404379,407281,410584,414147,417836,421575,425380,429461,434117,439491
