,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CAN,362042,364069,365936,367782,369629,371706,374309,377466,380987,384519,387300,388424,387348,383874,378153,370584,361823,352895,344781,338149,333691,331881,332542,335355,340086,346305,353457,360912,368130,374774,380697,385971,390900
CHE,72567,72752,73298,74041,74885,75778,76712,77705,78741,79753,80665,81402,81918,82180,82161,81811,81094,80066,78822,77466,76144,75011,74178,73726,73699,74093,74856,75865,77014,78255,79566,80951,82430
CHL,256657,261994,268323,274961,281454,287462,292806,297454,301302,304105,305492,305119,302983,299241,294123,287988,281278,274506,268140,262505,257848,254251,251513,249437,247954,246977,246406,246117,245985,245907,245812,245672,245510
CHN,21017524,21636775,22600232,23776994,25046187,26229225,27139180,27660456,27725435,27312320,26446885,25212480,23779466,22308974,20900054,19637213,18569204,17683691,16970154,16442798,16110752,15969883,15984439,16114365,16329953,16607119,16928358,17275772,17624664,17944782,18203620,18375458,18454740
CIV,399937,411032,421795,432323,442669,452856,462892,472825,482743,492756,503123,514131,525847,538183,550939,563720,576031,587441,597649,606542,613956,619833,624601,628846,633129,638405,645697,655449,667723,682278,698375,714928,730750
CMR,411756,425796,439963,453997,467714,480947,493605,505755,517478,528811,539755,550316,560611,570822,581146,591881,603332,615636,628832,642886,657685,673031,688595,704054,719189,733799,747764,761120,773913,786140,797838,809079,819976
COD,1227670,1264795,1302984,1342404,1383459,1427234,1475043,1527488,1584540,1645609,1709602,1775060,1840220,1903512,1963920,2020509,2072816,2121569,2167690,2211823,2255004,2298405,2342922,2389168,2437406,2487464,2538747,2590290,2641343,2691652,2741240,2790382,2839496
COG,75641,77163,78637,80094,81557,83039,84541,86082,87693,89419,91326,93484,95922,98644,101637,104861,108250,111729,115233,118727,122209,125702,129243,132852,136517,140238,144014,147810,151571,155232,158683,161804,164551
COK,561,587,576,567,560,588,583,578,575,572,536,535,534,499,497,492,485,477,467,458,450,443,438,434,430,425,421,416,411,406,401,430,430
COL,853137,858520,863249,867913,872695,877830,883493,889573,895866,902161,908062,913107,916977,919502,920673,920600,919529,917919,916213,914700,913731,913587,914221,915482,917210,919081,920686,921637,921644,920580,918426,915309,911543
COM,14427,14892,15265,15532,15693,15756,15740,15687,15639,15628,15685,15837,16086,16429,16865,17390,17992,18646,19325,20010,20682,21331,21954,22545,23094,23593,24035,24425,24767,25065,25323,25542,25732
CPV,12941,13021,13127,13257,13408,13565,13711,13826,13897,13920,13899,13846,13777,13702,13625,13540,13441,13318,13163,12975,12752,12493,12204,11899,11586,11284,11006,10763,10560,10400,10281,10196,10132
CRI,70933,72944,74970,76972,78868,80534,81841,82730,83184,83222,82911,82361,81713,81087,80546,80128,79834,79600,79366,79110,78780,78322,77724,76999,76180,75346,74595,74005,73619,73441,73437,73538,73648
CUB,159443,159955,162651,166523,170912,175043,178238,180203,180768,179808,177400,173844,169715,165516,161504,157907,154841,152184,149788,147579,145363,142900,140029,136685,132906,128837,124704,120776,117267,114276,111845,109938,108398
CYP,13539,13843,14097,14285,14403,14465,14497,14527,14571,14628,14678,14690,14638,14507,14297,14021,13696,13355,13030,12742,12511,12352,12260,12228,12251,12321,12423,12542,12662,12773,12870,12953,13029
CZE,161801,155216,149027,143743,139607,136683,134789,133387,131974,130292,127960,124639,120338,115225,109525,103653,98123,93437,89988,87987,87583,88771,91186,94416,98170,102116,105948,109466,112494,114883,116564,117579,118114
DEU,827425,834047,842068,850871,859252,865578,868333,867098,861945,853193,842036,830216,819443,810856,804725,800523,797058,792787,786630,778370,768119,756390,744247,732668,722204,713376,706513,701488,698116,696314,696002,697040,699047
DJI,13878,14591,15355,16182,17070,18027,19057,20131,21202,22220,23101,23756,24143,24256,24112,23763,23287,22788,22354,22034,21862,21844,21937,22099,22314,22562,22826,23088,23333,23546,23719,23849,23943
DMA,2002,2005,2003,1993,1980,1962,1945,1917,1872,1816,1755,1703,1664,1637,1623,1613,1601,1589,1579,1568,1557,1546,1535,1526,1518,1509,1502,1495,1484,1473,1462,1206,1206
DNK,56725,55085,53945,53377,53404,54035,55231,56835,58666,60583,62426,64057,65411,66443,67113,67408,67359,67072,66654,66170,65691,65274,64935,64682,64523,64438,64381,64306,64185,64025,63852,63706,63639
DOM,200102,202412,204675,206780,208666,210330,211817,213198,214505,215714,216723,217403,217688,217582,217152,216553,215991,215644,215630,215981,216669,217595,218580,219462,220161,220611,220788,220730,220476,220030,219403,218607,217671
DZA,863495,875903,885368,891519,894111,893137,888846,881752,872257,860484,845882,827625,805585,780301,752867,724418,696148,669747,647128,630077,621083,622367,634020,655215,684779,721042,761857,804129,844713,881118,910887,932360,945852
ECU,274864,277461,280427,283753,287367,291073,294604,297722,300273,302221,303611,304577,305360,306171,307122,308321,309833,311600,313542,315602,317678,319650,321416,322903,324080,324956,325584,326060,326462,326818,327135,327397,327571
EGY,1696830,1721844,1746095,1768819,1788676,1802976,1808732,1804777,1791249,1769331,1741534,1711270,1682396,1658111,1640213,1629331,1624762,1624430,1626828,1631849,1640339,1653621,1672352,1696338,1724539,1755310,1786655,1816449,1842843,1864617,1880980,1891861,1898349
ERI,111961,115603,119352,123130,126847,130395,133666,136598,139142,141265,142856,143808,144207,144248,144167,144343,145187,146979,149892,153981,159208,165416,172232,179286,186338,193184,199700,205871,211660,216974,221732,225897,229517
ESP,574577,547890,521203,495913,472990,453167,436709,423069,411722,402513,395048,388830,383524,378990,375297,372901,372474,374554,379382,386839,396738,408742,422064,435822,449275,461719,472632,481801,489006,493938,496273,495832,492900
EST,22347,22646,23034,23464,23876,24156,24174,23855,23174,22151,20849,19370,17860,16450,15219,14228,13499,12986,12648,12474,12460,12604,12877,13239,13645,14036,14355,14572,14673,14654,14534,14354,14165
ETH,1751038,1797400,1846113,1896614,1948722,2002291,2057246,2113612,2171404,2230585,2291910,2356397,2424029,2493951,2564687,2633972,2699267,2758453,2809924,2852793,2886305,2910406,2927014,2938438,2946525,2953588,2961851,2972688,2987091,3005730,3028722,3055460,3084242
FIN,64870,64851,64583,64173,63676,63209,62908,62838,63009,63385,63837,64184,64266,63988,63341,62378,61207,60005,58927,58055,57460,57173,57144,57311,57642,58089,58596,59112,59589,59995,60317,60560,60755
FJI,21603,21902,22083,22147,22103,21977,21806,21631,21483,21376,21308,21262,21210,21132,21021,20880,20714,20536,20358,20184,20016,19856,19699,19543,19389,19236,19088,18944,18803,18661,18513,18352,18174
FRA,756665,764116,772153,778721,782826,783734,781281,776419,770151,763036,755797,749167,743684,739771,737718,737670,739533,742795,746949,751702,756824,762168,767618,772996,778055,782481,786003,788582,790271,791151,791441,791452,791508
FSM,2858,2954,3041,3112,3166,3203,3227,3244,3260,3277,3298,3322,3347,3370,3388,3398,3394,3376,3341,3290,3223,3142,3051,2956,2860,2769,2686,2612,2551,2503,2470,2452,2447
GAB,27631,28377,29140,29912,30686,31455,32216,32966,33703,34422,35113,35767,36386,36976,37546,38109,38683,39282,39922,40611,41359,42168,43031,43935,44875,45849,46861,47900,48949,49984,50970,51869,52664
GBR,691540,702641,716190,730735,745002,757635,767566,774546,778498,779291,777143,772623,766669,760075,753222,745845,737306,727340,716265,704982,695396,689748,689324,694539,704964,719072,734565,748899,760157,767563,771117,771660,770931
GEO,94741,95201,95791,96428,97007,97352,97267,96616,95317,93344,90686,87378,83601,79568,75452,71426,67627,64150,61094,58570,56730,55692,55399,55729,56550,57662,58833,59850,60540,60795,60569,59899,58935
GHA,474097,482975,492420,502294,512474,522813,533160,543364,553279,562780,571637,579638,586849,593477,599786,606247,613404,621659,631261,642275,654670,668256,682533,696985,711244,724982,737970,750129,761364,771520,780430,787992,794313
GIN,215232,219252,223762,228807,234470,240929,248381,256842,266224,276364,287067,298103,309156,319889,330017,339208,347199,354010,359752,364532,368558,372105,375511,379079,383005,387439,392432,397852,403563,409503,415595,421752,427885
GMB,31082,32000,32979,34034,35168,36380,37664,38999,40362,41738,43103,44438,45739,47006,48244,49465,50688,51934,53224,54568,55969,57420,58911,60439,62009,63642,65362,67180,69092,71084,73129,75189,77229
GNB,38195,39073,40036,40914,41668,42306,42882,43484,44171,44948,45795,46669,47517,48304,49021,49677,50297,50918,51571,52268,53014,53806,54628,55466,56314,57167,58021,58876,59731,60582,61430,62276,63121
GNQ,8786,9593,10564,11625,12721,13791,14782,15670,16440,17078,17584,17974,18291,18572,18840,19108,19384,19664,19953,20259,20598,20983,21414,21890,22403,22945,23501,24054,24589,25096,25569,26009,26422
GRC,142932,139425,135076,130250,125216,120304,115830,111976,108865,106578,105114,104368,104090,104049,104122,104175,104114,103959,103756,103540,103460,103713,104413,105573,107112,108836,110484,111797,112581,112753,112298,111287,109922
GRD,2889,2963,3035,3096,3141,3160,3146,3098,3020,2917,2794,2664,2534,2416,2313,2228,2160,2103,2053,2009,1973,1947,1931,1927,1931,1944,1963,1984,2005,2024,2038,2046,2049
GTM,301907,307129,311795,315969,319774,323480,327421,331864,336972,342773,349154,355882,362644,369201,375471,381487,387381,393326,399422,405644,411869,417915,423630,428938,433858,438495,443022,447635,452478,457603,463018,468674,474434
GUY,22667,21288,19967,18824,17923,17298,16938,16758,16682,16674,16697,16721,16735,16728,16692,16623,16531,16435,16357,16306,16300,16357,16476,16645,16844,17041,17192,17267,17249,17136,16941,16690,16425
HND,158401,161663,164806,167844,170781,173672,176594,179581,182618,185648,188557,191200,193459,195256,196569,197397,197783,197855,197750,197569,197409,197347,197414,197641,198067,198734,199659,200800,202095,203497,204948,206389,207767
HRV,68272,68121,67828,67434,66920,66184,65098,63598,61699,59477,57111,54827,52814,51190,49980,49093,48347,47538,46534,45326,43997,42700,41611,40848,40435,40342,40490,40738,40969,41125,41170,41098,40951
HTI,239421,247100,253606,258683,262227,264300,265159,265306,265188,265038,265042,265283,265667,266107,266595,267065,267424,267590,267526,267243,266800,266290,265818,265461,265247,265176,265212,265284,265328,265316,265236,265088,264887
HUN,153494,146955,140862,135811,132065,129695,128516,127963,127516,126908,125818,123984,121413,118203,114459,110418,106395,102723,99664,97348,95830,95060,94814,94883,95161,95559,96022,96528,97041,97499,97850,98061,98138
IDN,4867074,4877203,4876067,4863075,4838960,4806003,4767625,4727867,4689973,4655540,4623693,4591845,4557841,4521479,4484953,4453015,4431502,4424645,4434692,4461603,4504569,4561282,4625756,4691465,4753262,4804951,4841184,4860577,4863104,4849130,4820608,4781068,4736042
IND,24511057,24814153,25109301,25397542,25674475,25931372,26157828,26346533,26493577,26598857,26664786,26696820,26705387,26700635,26689372,26680511,26681537,26691707,26707134,26723196,26726045,26698003,26628749,26515894,26365039,26193490,26025286,25882048,25777314,25713327,25681769,25665532,25642210
IRL,68880,67869,66523,64835,62861,60683,58405,56168,54113,52350,50986,50093,49647,49609,49960,50661,51655,52858,54192,55600,57062,58588,60190,61855,63534,65167,66698,68077,69258,70202,70872,71248,71359
IRN,1747796,1822320,1889223,1944624,1985248,2007427,2008584,1990032,1954154,1903080,1839247,1765455,1685841,1604927,1526702,1454571,1390648,1335145,1288507,1252079,1227500,1215894,1216207,1226691,1245666,1271483,1302482,1336275,1370084,1401221,1426785,1444505,1454039
IRQ,544797,554677,565058,576075,587774,600047,612687,625526,638514,651752,665547,680304,696301,713648,732271,751997,772548,793456,814254,834606,854177,872738,890323,907009,922825,937841,952187,966106,979852,993617,1007623,1022050,1036907
ISL,4234,4228,4225,4225,4228,4236,4254,4282,4320,4364,4408,4441,4458,4456,4434,4394,4340,4281,4224,4177,4149,4146,4169,4216,4285,4367,4456,4541,4614,4673,4715,4742,4761
ISR,93201,93195,93240,93433,93847,94506,95385,96423,97588,98902,100435,102276,104469,107009,109851,112901,116030,119117,122073,124859,127499,130065,132655,135328,138075,140890,143747,146563,149235,151675,153742,155298,156303
ITA,672961,647999,625926,606885,591094,578740,569814,563710,559696,557166,555304,553312,550771,547454,543282,538443,533386,528840,525429,523463,523345,525366,529281,534655,541051,547825,554263,559761,563842,566217,566737,565480,562948
JAM,62496,63157,63695,64022,64093,63902,63491,62958,62390,61823,61287,60793,60326,59871,59428,58994,58562,58120,57660,57174,56651,56079,55461,54808,54132,53456,52805,52200,51658,51191,50808,50514,50291
JOR,95325,97005,98681,100270,101814,103472,105463,107960,111045,114691,118816,123274,127821,132222,136313,139865,142682,144797,146340,147466,148496,149820,151743,154450,157980,162291,167231,172431,177518,182232,186307,189544,191909
JPN,1605487,1563539,1526873,1492707,1460452,1429290,1398475,1367894,1337713,1308222,1280371,1255435,1234338,1217481,1204664,1195078,1187477,1180433,1172862,1164317,1154886,1145152,1136034,1128141,1121493,1115895,1110947,1106053,1100706,1094646,1087668,1079706,1070977
KAZ,355911,363938,372905,382090,390680,397432,401041,400772,396272,387522,374636,358056,339087,319195,299567,281343,265399,252172,242120,235824,234180,237928,246613,259277,274839,291643,307837,321903,332705,339627,342612,342253,339935
KEN,807109,832671,858013,882671,906140,927421,945455,960021,971427,980336,987882,995490,1004709,1016872,1032816,1053279,1078555,1107820,1140079,1174625,1210710,1247611,1284527,1320589,1354982,1386873,1415684,1441528,1464649,1485188,1503425,1519783,1534929
KGZ,107848,112967,118189,123135,127537,131151,133823,135600,136543,136659,135971,134536,132506,130052,127313,124318,121032,117509,113917,110521,107711,105892,105297,106045,108160,111638,116382,121995,128017,134059,139666,144431,148171
KHM,314923,329136,343706,357093,368421,377061,382820,386226,387763,387556,385634,382019,376973,370907,364282,357597,351299,345716,341165,337945,336331,336456,338100,340987,344925,349752,355309,361322,367448,373334,378621,383030,386451
KIR,2021,2088,2152,2212,2269,2322,2372,2418,2461,2499,2531,2556,2571,2577,2573,2559,2536,2504,2467,2427,2385,2346,2310,2279,2256,2241,2236,2240,2251,2269,2293,2321,2352
KNA,1190,1183,1175,1163,1151,1136,1120,1097,1066,1030,996,970,955,946,942,935,921,902,882,861,845,830,819,810,803,794,787,779,768,757,746,945,945
KOR,812517,800124,784747,764516,739882,713659,690098,672978,664383,664109,670177,679154,686598,688961,684640,672511,652558,627119,598732,569065,540217,514198,492181,474964,463053,456460,454555,455723,458451,461879,465257,468118,470490
KWT,54354,55511,56151,56139,55422,53884,51443,48265,44626,40822,37344,34726,33261,33067,34110,36084,38494,40789,42578,43750,44399,44812,45404,46476,48098,50255,52834,55594,58313,60881,63213,65272,67093
LAO,140378,143439,146897,150724,154873,159341,164122,169073,173978,178599,182616,185712,187720,188548,188167,186490,183486,179457,174836,170057,165787,162716,161185,161317,163061,166080,169806,173519,176645,178922,180275,180846,181015
LBN,78167,77482,76560,75456,74227,72949,71704,70553,69542,68696,68031,67537,67151,66809,66464,66060,65545,64897,64107,63169,62043,60687,59154,57546,55988,54705,53943,53833,54415,55650,57423,59547,61744
LBR,93437,95863,97955,99613,100768,101279,101020,100074,98628,96903,95250,94055,93605,94096,95612,98155,101609,105649,109953,114316,118529,122432,125998,129220,132072,134592,136869,139038,141204,143404,145635,147855,150000
LBY,128797,130492,131461,131707,131269,130253,128815,127163,125478,123865,122337,120823,119249,117615,116018,114642,113702,113341,113632,114575,116135,118217,120604,123067,125435,127537,129245,130529,131365,131714,131561,130928,129910
LCA,4194,4161,4125,4092,4065,4043,4023,4001,3972,3934,3887,3828,3760,3685,3604,3518,3426,3331,3236,3144,3061,2994,2945,2914,2900,2900,2905,2911,2910,2901,2883,2859,2833
LKA,405212,404708,402271,398095,392430,385752,378679,371853,365798,360801,356907,353918,351436,349196,347209,345634,344715,344672,345617,347520,350318,353886,357946,362200,366412,370424,374161,377568,380519,382805,384105,384106,382726
LSO,53649,54330,54894,55343,55682,55925,56086,56200,56299,56410,56581,56860,57247,57719,58240,58727,59078,59221,59121,58783,58250,57597,56930,56342,55884,55597,55497,55544,55697,55929,56209,56505,56783
