,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.11,0,0.08,0.09,0.14,0.14,0.14,0.31,0.34,0.22,0.2,0.19,0.22,0.25,0.4,0.41,0.42,0.38,0.31,0.31,0.27,0.37,0.35,0.39,0.48,0.5,0.53,0.55,0.59,0.6,0.62,0.65,0.68,0.75,0.75,0.62,0.62,0.62
AGO,0,0,0,0.26,0.35,0.44,0.44,0.55,0.56,0.48,0.38,0.39,0.39,0.47,0.44,0.46,0.62,0.78,0.62,0.46,0.41,0.72,0.74,0.62,0.64,0.45,0.48,0.88,0.79,0.77,0.93,0.88,0.97,0.91,0.91,0.55,0.49,0.42
ALB,0.9,0.9,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.88,0.8,0.87,0.76,0.9,0.91,0.92,0.95,0.89,0.85,0.95,0.95,0.96,0.93,0.96,0.97,0.95,0.97,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.97,0.96,0.96
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.97,0.97,0.97,0.98,0.96,0.98,0.94,0.91,0.94,0.98,0.98,0.99,0.99,0.98,0.95,0.95,0.96,0.97,0.99
ARE,0.34,0.42,0.41,0.51,0.53,0.6,0.67,0.71,0.74,0.78,0.8,0.82,0.85,0.9,0.9,0.9,0.9,0.95,0.95,0.96,0.94,0.94,0.94,0.94,0.94,0.92,0.92,0.92,0.92,0.93,0.94,0.94,0.94,0.94,0.94,0.99,0.99,0.99
ARG,0.61,0.77,0.67,0.67,0.79,0.54,0.87,0.8,0.87,0.89,0.93,0.99,0.92,0.95,0.96,0.99,0.99,0.93,0.95,0.97,0.91,0.89,0.95,0.97,0.99,0.99,0.97,0.94,0.96,0.99,0.98,0.95,0.94,0.91,0.91,0.89,0.9,0.89
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.95,0.95,0.96,0.89,0.92,0.94,0.92,0.92,0.93,0.91,0.94,0.92,0.94,0.92,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96
ATG,0,0,0,0.48,0.73,0.69,0.8,0.89,0.95,0.95,0.89,0.87,0.99,0.99,0.91,0.93,0.99,0.93,0.99,0.99,0.95,0.97,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.88
AUS,0,0,0,0.68,0.68,0.68,0.68,0.68,0.77,0.85,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.85,0.82,0.88,0.91,0.92,0.93,0.94,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.95,0.95
AUT,0,0.25,0.25,0.25,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.87,0.9,0.78,0.65,0.75,0.79,0.78,0.79,0.74,0.75,0.8,0.79,0.83,0.76,0.76,0.76,0.76,0.76,0.76,0.96,0.95,0.96
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.49,0.6,0.64,0.65,0.66,0.67,0.68,0.67,0.68,0.66,0.67,0.67,0.67,0.65,0.66,0.66,0.67,0.67,0.67,0.66,0.98,0.98,0.98,0.98,0.98
BDI,0,0.28,0.4,0.54,0.27,0.32,0.59,0.54,0.46,0.73,0.74,0.74,0.69,0.69,0.42,0.8,0.79,0.77,0.68,0.7,0.72,0.73,0.75,0.76,0.78,0.87,0.92,0.88,0.84,0.91,0.92,0.93,0.93,0.98,0.98,0.93,0.93,0.9
BEL,0,0.5,0.58,0.66,0.74,0.82,0.9,0.5,0.75,0.75,0.85,0.67,0.87,0.7,0.78,0.85,0.73,0.76,0.8,0.82,0.82,0.82,0.82,0.82,0.82,0.88,0.92,0.92,0.93,0.95,0.95,0.95,0.96,0.92,0.92,0.96,0.96,0.96
