,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8918,0.9009,0.936,0.9009,0.9009,0.8918,0.8918,0.966,0.974,0.8918,0.9009,0.89,0.9929,0.93,0.93,0.96,0.96,0.96,0.96,0.96,0.96
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.8645,0.72,0.9,0.85,0.95,0.9,0.9,0.9,0.9,0.9,0.9
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8736,0.8736,0.8736,0.8736,0.8645,0.8645,0.8645,0.8554,0.8554,0.8554,0.8554,0.8463,0.8463,0.8463,0.8463,0.8463,0.8463,0.8463,0.8463,0.8463,0.8463
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7553,0.7553,0.7371,0.7371,0.7371,0.7462,0.7462,0.7462,0.7462,0.7917,0.7,0.7,0.71,0.71,0.81,0.82,0.83,0.83,0.83,0.83,0.83,0.83
CHL,0,0,0,0,0,0,0,0,0,0,0,0,0.8099,0.8554,0.8736,0.8827,0.8463,0.8736,0.8918,0.8554,0.8827,0.8736,0.8645,0.8736,0.8554,0.959,0.947,0.954,0.889542227,0.889587585,0.83670265,0.768,0.738,0.738,0.738,0.738,0.738,0.738
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7681,0.969,0.964,0.9618,0.8409,0.94,0.92,0,0.9776,0.992021524,0.9947,0.9959,0.9959,0.9959,0.9959,0.9959,0.9959
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,0,0,0,0.6188,0.5915,0.6916,0.637,0.7644,0.8372,0.9009,0.6097,0.8554,0.7917,0.9009,0.6552,0.8736,0.6552,0.8008,0.8827,0.7644,0.7,0.499,0.61,0.88,0.86,0.9009,1.07,0.98,0.95,0.61,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.98
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8008,0.7098,0.7007,0.728,0.8008,0.8463,0.8463,0.8372,0.8554,0.8645,0.932180601,0.689,0.70904441,0.734,0.758,0.794,0.794,0.794,0.794,0.794,0.794
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99
CRI,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0.8099,0.7917,0.8281,0.7644,0.9009,0.7553,0.8008,0.7462,0.7462,0.8554,0.8099,0.8008,0.8099,0.819,0.819,0.889585549,0.835,0.79,0.797,0.98028173,0.98028173,0.98028173,0.98028173,0.98028173,0.98028173
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9009,0.53216967,0.973,1,1.126,0.952,0.982,0.952,1.023,1.023,1.023,1.023,1.023,1.023
CYP,0,0,0,0,0,0,0,0,0,0.6916,0.7007,0.7098,0.728,0.7371,0.7462,0.7553,0.819,0.819,0.8099,0.7917,0.7826,0.7826,0.7826,0.7826,0.7826,0.7826,0.7917,0.93,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8918,0.8827,0.8736,0.8827,0.8736,0.8645,0.8827,0.971,0.974,0.98,0.967,0.969,0.967,0.966,0.9776,0.97,0.9791,0.9826,0.9802,0.9833,0.9833,0.9833,0.9833,0.9833,0.9833
DEU,0,0,0,0,0,0,0,0,0,0,0,0.6825,0.6825,0.8099,0.819,0.8372,0.8281,0.8281,0.8372,0.8372,0.8463,0.8554,0.273,0.529,0.509,0.657,0.766,0.832,0.886,0.914,0.9,0.915,0.921,0.921,0.921,0.921,0.921,0.921
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0.82,0.82
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.99,0.9009,0.9009,0.8918,0.987,0.95,1.016,0.953,1.14,1.048,0.939,0.939,0.939,0.939,0.939,0.939
DNK,0,0,0,0,0,0,0,0.7462,0.6552,0.728,0.7644,0.7826,0.7735,0.7371,0.8008,0.8008,0.7735,0.7644,0.8281,0.8372,0.9009,0.87,0.916,0.88,0.88,0.91,0.91,0.88,0.7917,0.85,0.85,0.86,0.87,0.87,0.87,0.87,0.87,0.87
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3316,0,0,0,0,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0.8008,0.83,0.728,0.73,0.93,0.96,0.94,0.94,0.98,0.95,0.96,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.909034036,0.92,0.92,0.92,0.92,0.92,0.92,0.92
EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951,0.967,0.986,0.961,0.968,0.964,0.971,0.97,0.97,0.963,0.96,0.969,0.97,0.92,0.92,0.92,0.92,0.92,0.92
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.8463,0.8463,0.8645,0.8554,0.8736,0.8827,0.8918,0.912,0.916,0.941,0.949,0.944,0.901,0.918,0.912,0.903,0.903,0.903,0.903,0.903,0.903
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6916,0.7371,0.7826,0.8008,0.8099,0.8372,0.893,0.842,0.94,0.959,0.972,0.976,0.975,0.965,0.97,0.96,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.94
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,0,0,0.6825,0.7371,0.7553,0.7735,0.7917,0.8372,0.8918,0.8645,0.8827,0.8827,0.9009,0.9009,0.9009,0.8918,0.8918,0.8736,0.8736,0.8736,0.8736,0.8736,0.8736,0.8827,0.8827,0.8827,0.8827,0.8918,0.8827,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918
FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7826,0.8008,0.8,1,0.8554,0.8554,0.567686576,0.846,0.57,0.57,0.57,0.57,0.57,0.57,0.57
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7644,0.7553,0.7462,0.7553,0.7644,0.7735,0.7826,0.86,0.86,0.7917,0.7917,0.7917,0.7917,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.7462,0.6734,0.7462,0.15,0.5,0.64,0.8008,0.66,0.74,0.84,0.7553,0.86,0.7826,0.82,0.75,0.75,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975
