"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"AFG",52313.0515261083,26113.5699276034,24174.1148383657,20644.5191265644,18340.0114105132,10498.8309419055,13118.5969213825,6422.44802583897,3120.18537071347,3056.75599666878,2468.07009269452,7088.484735921,10938.9124872175,12200.1979113709,13251.5448726556,10739.6793686132,8874.17652632939,4953.14783928508,5643.67189818703,8706.10217895774,11282.7609766078,5669.70509904749,403.014966618234,579.618347270951,1984.92409291136,2932.89339562461,1398.43717289095,1843.27851126223,3610.64519586546,2572.93771213273,3808.08862367369,2531.94387506448,216.982792663472,542.010637379528,746.600899399346,165.80712223671,766.262010057582
"AGO",8516.78439834502,9446.91357458284,6959.53362645065,7045.07218115045,7095.5341238759,4827.83189508346,4116.89837677765,6720.87576508475,6103.6528321053,9319.76371831751,5727.87132132547,5165.68677215726,3087.79853596731,1987.49912574535,846.471287215521,477.923599265414,2635.29154511535,1273.68298056165,485.043173712621,629.235719795298,2789.00145422356,3647.75020642631,1269.5561060053,12.9288223106723,146.47114174731,305.712277810647,175.321696441321,170.767265794351,560.262010235982,172.02988863864,323.996618293375,508.231503461833,1877.15286127314,2617.1313332583,268.358785002364,460.670686922818,675.810730878147
"ALB",NA,NA,0.398575477741057,0.587012123909134,0.684268665304534,0.730689980079178,32.720858882178,0.768976768326286,79.7565215146128,1.08548959401708,1.29256680762568,1.17241591686017,1.40498846109616,1.69614590619264,1.51483213429721,1.24798292583433,1.61150268238626,1.65008586534045,1.38990832384429,1.06974270818014,0.0139601451120332,0.0469297821283051,0.090692038848337,0.129369729940721,0.158869608450585,0.200731981176797,0.213045460178802,0.724244411537723,0.433434026239433,0.330724813194633,1.00259450048475,0.516906675031544,0.368538864930078,0.279863577819114,0.871955984060868,0.467062296997763,0.337152220272199
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84908465483048,1.81828712841251,1.79069895219775,1.76197583587507,0.854113280319228,0.430999400897877,0.420045141379128,0.405993167304558,0.39124508081572,0.377007298906917,0.362961867421371,0.356906840181313,0.343985928713648,0.335190526705606,0.355455189194242,0.345027817407724,0.333518649973008,0.00210978936914167,0.00233065393894054,0.00212139076074644,0.00229812440406208,0.00248338840035346,0.00268129684233591,0.00295428857442262,0.00314860293957207,0.00334103924582271,0.00354241612152026
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.646505541384,10.2511879142894,17.5899282987769,81.5304531927706,8.57992343263155,5.84932169563746,9.57134816192662,17.5096313500899,7.16227094794446,3.21267111479417,3.49691324525852,33.3696919048905,11.9882371055635,5.20891805518089,7.29640905876576,2.43090282271488,0.0336918510028195,0.12270178563884,0.407118847973023,0.344003316785898,0.372772738331324,0.393262737981122,0.899367763729661,0.880825262162192,0.00393396901032386,0.0181839825106616,0.0460523488241202
