"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1417212944715,0.216487646673,0,0,0,0,0,0.9006,0.611106090816,0,0,0.5557246013358,0.3908532705844,0,0.25462753784,0,0.1442448822425,0.786398446746,0.49075201935,0.49075201935,0.786398446746,0.49075201935,0.49075201935
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9025000009025,0,0,0.587864300859,0,0,0.587864300859,0,0.502925391294158,0,0,0.641029935892479,0,0,0.641029935892479
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931000000931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35042416017945,0.2641,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9215,0,0,0,0,0,0,0,0,0.2453416432844,0,0,0.282668363016,0,0,0,0.355147430456,0,0,0,0,0.3623953372,0,0,0.3623953372
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9196000009196,0,0.084944558142,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1987690281126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9025,0,0,0,0,0,0,0,0.95,0,0,0.95
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61085,0.855,0,0,0,0.587864300859,0,0,0.5006704063325,0.2717,0.07315,0.5217512655465,0.42926942345,0.42926942345,0.5217512655465,0.42926942345,0.42926942345
"BEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33345,0,0.76095,0,0.587864300859,0,0,0.587864300859,0,0,0.587864300859,0,0,0.747228524990022,0,0,0.747228524990022
"BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715364022285,0,0.912000000912,0,0,0.587864300859,0,0,0.587864300859,0,0,0,0.5217512655465,0.0158106444105,0,0.889336798955,0.0158106444105,0,0.889336798955
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341567002122,0.786398446746,0,0,0,0.427521514365,0,0,0,0.934072891755,0,0,0.934072891755
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07315000007315,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84075,0.40626864785745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282668363016,0,0,0,0,0,0.0399,0,0,0.01805,0.0266,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95000000095,0,0,0.95000000095
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01640208302535,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0,0.34427557034,0,0.051939929580275,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0.912,0,0,0.2109869360352,0,0.3016031201016,0,0,0.358771383828,0,0,0,0.337027663596,0,0,0,0,0,0,0.309848013306,0,0,0.3623953372,0,0,0.3623953372
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623953372,0,0,0.3623953372
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427521514365,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5719,0.4047,0,0,0,0,0,0,0.5217512655465,0,0,0,0.5217512655465,0,0,0,0.52702148035,0,0,0.52702148035,0
