"","transmission","initial susceptibles","reporting","outbreak reporting","transmission variance","reporting variance"
"AFG",4.82393382000905,0.0474258731775668,0.0214741177875812,0.140677039809699,291994265405.622,1950511.4762013
"AGO",2.91977151439021,0.0474258731775668,0.0537579413644746,0.172960863386592,79577720706.6434,1732505.26935965
"ALB",79.8411523370008,0.0474258731775668,0.5,0.619202922022118,3243763283.57766,13499423.5762697
"AND",NA,NA,NA,NA,NA,NA
"ARE",NA,NA,NA,NA,NA,NA
"ARG",NA,NA,NA,NA,NA,NA
"ARM",0.472350124806405,0.0474258731775668,0.00130761051480932,0.0100198563154017,65152727202.3795,83427143.8615481
"ATG",NA,NA,NA,NA,NA,NA
"AUS",NA,NA,NA,NA,NA,NA
"AUT",NA,NA,NA,NA,NA,NA
"AZE",46.6185068691284,0.0217958712450776,0.0211667867361077,0.140369708758225,7219127949.94318,164280.55985529
"BDI",6.2079119018091,0.0474258731775668,0.22515862888449,0.344361550906608,7219127949.94318,3237880.88843983
"BEL",NA,NA,NA,NA,NA,NA
"BEN",5.01108717692097,0.0474258731775668,0.054954346303166,0.174157268325284,13154108760.0161,365976.552329911
"BFA",10.5370256830501,0.0474258731775668,0.0542653144570154,0.554265314457015,26489122129.8435,2185533.68907566
"BGD",5.34848793860849,0.0474258731775668,0.00368444938387903,0.0117184411508757,2157562007648.19,2956762.38738781
"BGR",148.413159102577,0.00671555808257087,0.00205951108166099,0.110690311867572,16066464720.6225,105636466.035843
"BHR",NA,NA,NA,NA,NA,NA
"BHS",NA,NA,NA,NA,NA,NA
"BIH",6.82400010283082,0.00815977276522647,0.00904153023937947,0.129166693463252,2655768755.97024,7837.41734080211
"BLR",NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA
"BOL",NA,NA,NA,NA,NA,NA
"BRA",NA,NA,NA,NA,NA,NA
"BRB",NA,NA,NA,NA,NA,NA
"BRN",NA,NA,NA,NA,NA,NA
"BTN",36.2962637456051,0.036190531148219,0.0756032834364819,0.575603283436482,14650719.4289535,1912.46633291393
"BWA",3.60926668072326,0.0474258731775668,0.084705984193509,0.200272123288894,2174359553.57649,1283286.83669525
"CAF",7.69911485240768,0.0474258731775668,0.0259445751064174,0.145147497128535,4839126179.74309,55416.7931378062
"CAN",NA,NA,NA,NA,NA,NA
"CHE",NA,NA,NA,NA,NA,NA
"CHL",NA,NA,NA,NA,NA,NA
"CHN",9.61826524962527,0.0474258731775668,0.0315080181268366,0.0426043497606904,10686474581524.5,539684504.557016
"CIV",2.45227140176607,0.0474258731775668,0.0489597440334572,0.168162666055575,107418687182.686,2408952.72651483
