"","transmission","initial susceptibles","reporting","outbreak reporting","transmission variance","reporting variance"
"CMR",2.56092066781746,0.0474258731775668,0.0851198058226535,0.204322727844771,79577720706.6434,3965325.80985831
"COD",0.658001274543781,0.0474258731775668,0.00812039574059849,0.156744552629936,10686474581524.5,430344397.581582
"COG",1.03911032665056,0.0474258731775668,0.0922423245925178,0.211445246614635,19623624323.6513,7972283.22451446
"COK",0.705078283067517,0.0474258731775668,0.0109872653063541,0.510987265306354,8040485.29975852,405028.27008386
"COL",NA,NA,NA,NA,NA,NA
"COM",NA,NA,NA,NA,NA,NA
"CPV",22.8495721368123,0.0474258731775668,0.0480677526971825,0.548067752697182,32605775.7209959,1865.97599579661
"CRI",NA,NA,NA,NA,NA,NA
"CUB",NA,NA,NA,NA,NA,NA
"CYP",NA,NA,NA,NA,NA,NA
"CZE",NA,NA,NA,NA,NA,NA
"DEU",NA,NA,NA,NA,NA,NA
"DJI",7.21048934944749,0.00669285092428486,0.0166659792369259,0.135868901259043,592582107.836837,33334.4716975728
"DMA",NA,NA,NA,NA,NA,NA
"DNK",NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,NA,NA
"DZA",3.18402404892315,0.0474258731775668,0.0188549056140843,0.0422332231987126,588004242526.424,161202582.353932
"ECU",NA,NA,NA,NA,NA,NA
"EGY",1.42407974627206,0.0474258731775668,0.00301253942333553,0.00805998801335334,4344796334436.97,425905.683524461
"ERI",3.48090753491119,0.0474258731775668,0.00753026143574817,0.0245551167989956,6532137094.69783,1728.98197134255
"ESP",NA,NA,NA,NA,NA,NA
"EST",NA,NA,NA,NA,NA,NA
"ETH",0.111080459128162,0.0474258731775668,0.00217697428055059,0.086163752509484,10686474581524.5,592734494.904339
"FIN",NA,NA,NA,NA,NA,NA
"FJI",44.9648180030013,0.0227895611571556,0.0427678134908205,0.161970735512938,53757835.9788837,1053.45601337135
"FRA",NA,NA,NA,NA,NA,NA
"FSM",2.37805348302661,0.0474258731775668,0.0174269758925124,0.13662989791463,24154952.7535753,193541.76511375
"GAB",1.52117635745519,0.0474258731775668,0.133491798747766,0.633491798747766,884028623.851315,140630.636565453
"GBR",NA,NA,NA,NA,NA,NA
"GEO",0.115121962089245,0.00669285092428486,0.0420245912380939,0.542024591238094,13154108760.0161,300873.978469694
"GHA",4.86900049125044,0.0474258731775668,0.110473282267797,0.229676204289915,48266327438.6281,6728178.92612814
"GIN",4.31652797564193,0.0474258731775668,0.0419602000419475,0.0754063707445648,29275007423.2571,747078.570669173
"GMB",2.59805138765547,0.0474258731775668,0.0540204650243444,0.176678538775908,485165195.40979,22557.7978259776
"GNB",7.81295833488569,0.0474258731775668,0.0377121156810487,0.124600224249083,977002725.826911,42118.4820473739
"GNQ",4.14362264262984,0.00669285092428486,0.212068512066569,0.712068512066569,359419216.80018,2461206.44755728
"GRC",NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA
"GTM",NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA
"HND",NA,NA,NA,NA,NA,NA
"HRV",NA,NA,NA,NA,NA,NA
"HTI",NA,NA,NA,NA,NA,NA
"HUN",NA,NA,NA,NA,NA,NA
"IDN",16.0813597389542,0.00669285092428486,0.0161510255523811,0.0309852073505273,718190003631.655,211847.308758596
"IND",15.3680923769232,0.0474258731775668,0.00332887348791839,0.00665774697583678,10686474581524.5,16800840.0989282
"IRL",NA,NA,NA,NA,NA,NA
"IRN",12.089763208392,0.0474258731775668,0.0444302913200352,0.163633213342153,48266327438.6281,540784.905019784
"IRQ",18.9489030609535,0.0474258731775668,0.0744568454055897,0.557125396170726,13154108760.0161,2585681.63109604
"ISL",NA,NA,NA,NA,NA,NA
"ISR",NA,NA,NA,NA,NA,NA
"ITA",NA,NA,NA,NA,NA,NA
"JAM",NA,NA,NA,NA,NA,NA
"JOR",0.0497870683678639,0.0474258731775668,0.0199406536023012,0.14208335118284,131201480802.877,2229819.76322646
"JPN",NA,NA,NA,NA,NA,NA
"KAZ",NA,NA,NA,NA,NA,NA
"KEN",3.41508495014921,0.0474258731775668,0.255012873966715,0.374215795988832,177103474428.778,62977402.9894454
"KGZ",NA,NA,NA,NA,NA,NA
"KHM",3.10641041190691,0.0474258731775668,0.0956530573711973,0.155006371418178,65152727202.3795,4234183.54950684
"KIR",34.4879968029558,0.0474258731775668,0.363103838230705,0.863103838230705,1794074.77260621,1849.96226997433
"KNA",NA,NA,NA,NA,NA,NA
"KOR",NA,NA,NA,NA,NA,NA
"KWT",6.08208435914016,0.0474258731775668,0.0521058028241339,0.122936109342727,536190464.42939,22797.396884093
"LAO",0.3298027193027,0.0474258731775668,0.0115760277130225,0.13077894973514,107418687182.686,1136021.36459228
"LBN",25.5200379010921,0.00669285092428486,0.0117733323349462,0.0456375206491653,1193313824.05499,3307.64126696113
"LBR",7.08900975342154,0.0474258731775668,0.0371692923256716,0.0704748916252192,5348061522.75058,81093.8189753699
"LBY",NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA
"LKA",NA,NA,NA,NA,NA,NA
"LSO",5.03515518469204,0.0474258731775668,0.275301774355761,0.775301774355761,197253448.41574,771856.127698341
"LTU",NA,NA,NA,NA,NA,NA
"LUX",NA,NA,NA,NA,NA,NA
"LVA",NA,NA,NA,NA,NA,NA
"MAR",8.62341007205477,0.0474258731775668,0.0858803476361781,0.205083269658296,87946982651.7287,3196930.63892596
"MCO",NA,NA,NA,NA,NA,NA
"MDA",3.18502288162909,0.0136974925707427,0.0450539412850042,0.245346837076688,1193313824.05499,6897.77774820979
"MDG",5.25803525583007,0.0474258731775668,0.139130576552764,0.258333498574882,131201480802.877,30000817.3692231
"MDV",111.42086301115,0.0474258731775668,0.0255166490216265,0.287128952647588,53757835.9788837,7537.951922442
"MEX",NA,NA,NA,NA,NA,NA
"MHL",0.0497870683678639,0.00669285092428486,0.000925154228517031,0.120128076250635,877199251318.765,139964841560.216
"MKD",7.99853903443629,0.00669285092428486,0.00869837463111564,0.0776596689554367,4839126179.74309,53468.4735344091
"MLI",4.05821354532203,0.0474258731775668,0.0234235497031207,0.100114657976409,97196447559.1939,1963171.09013495
"MLT",NA,NA,NA,NA,NA,NA
"MMR",6.27487203365588,0.0474258731775668,0.0100561380074936,0.0223845984149694,216314672147.058,178199.618208497
"MNE",NA,NA,NA,NA,NA,NA
"MNG",4.67478017861997,0.0100203856859375,0.0288277570558738,0.49445001039212,2174359553.57649,252929.759910527
"MOZ",5.55186870789392,0.0474258731775668,0.0382343184537997,0.119423031430784,39517126612.1365,334647.284109217
"MRT",2.81024123030279,0.0474258731775668,0.131312320893206,0.250515242915324,3961941421.38044,826886.518294584
"MUS",0.342936102915399,0.00766281641526241,0.00302444230424971,0.222485455186208,148.413159102577,254.937847903349
"MWI",2.01782018799178,0.0474258731775668,0.327749131152822,0.827749131152822,72004899337.3859,2920946158.33785
"MYS",NA,NA,NA,NA,NA,NA
"NAM",1.39250284458538,0.0474258731775668,0.117379923059261,0.358954034799296,3584912846.13159,1825237.41202287
"NER",3.26422086651667,0.0474258731775668,0.133244506134346,0.252447428156464,87946982651.7287,27585576.7178682
"NGA",4.39407582917065,0.0474258731775668,0.0168766291432419,0.0485515975704225,2384474784797.68,5740104.58307704
"NIC",NA,NA,NA,NA,NA,NA
"NIU",0.462106654570146,0.0474258731775668,0.00805782924523531,0.00810322711393774,362217.449611248,37844.6817406298
"NLD",NA,NA,NA,NA,NA,NA
"NOR",NA,NA,NA,NA,NA,NA
"NPL",0.0497870683678639,0.0173747773125594,0.0551821676896337,0.174385089711751,2157562007648.19,760154.58168379
"NRU",0.246515106829336,0.0474258731775668,0.0202953954984587,0.0203407933671611,5956538.01318462,78767.6597155827
"NZL",NA,NA,NA,NA,NA,NA
"OMN",NA,NA,NA,NA,NA,NA
"PAK",5.27580907003672,0.0474258731775668,0.00506056450377734,0.0119870417186042,6481674477934.32,965267.817816964
"PAN",NA,NA,NA,NA,NA,NA
"PER",NA,NA,NA,NA,NA,NA
"PHL",1.10401018178905,0.0474258731775668,0.0473522374556214,0.166555159477739,1446257064291.48,20221452.3996474
"PLW",21.7281713987604,0.00669285092428486,0.036440807409338,0.0364862052780405,198789.151142954,148.70435155404
"PNG",11.1868164713628,0.0474258731775668,0.081518327339358,0.248739188313178,2174359553.57649,126020.261100627
"POL",NA,NA,NA,NA,NA,NA
"PRK",0.0497870683678639,0.00669285092428486,0.0102949547056525,0.010340352574355,10686474581524.5,201533044991.202
"PRT",NA,NA,NA,NA,NA,NA
"PRY",NA,NA,NA,NA,NA,NA
"QAT",20.8626890282507,0.0474258731775668,0.116722366115891,0.287030744462431,14650719.4289535,5507.42390245529
"ROU",46.304834900584,0.0474258731775668,0.0755677526848768,0.194770674706994,29275007423.2571,25221223.2267827
"RUS",NA,NA,NA,NA,NA,NA
"RWA",7.80092296544811,0.0474258731775668,0.163400079230039,0.282603001252156,21687458909.7414,10673653.6846922
"SAU",6.19894915145551,0.0474258731775668,0.105904297033424,0.225107219055542,17756189565.5204,2108644.51947219
"SDN",2.39132160423898,0.0474258731775668,0.0149031046151903,0.0750550310878413,793722705666.35,3098127.57627936
"SEN",6.3793426394487,0.0474258731775668,0.0736492479097708,0.192852169931888,26489122129.8435,1388567.26812661
"SGP",NA,NA,NA,NA,NA,NA
"SLB",7.75373221901138,0.0474258731775668,0.0152568505927181,0.134459772614836,359419216.80018,4423.96964042027
"SLE",4.21256775477747,0.0474258731775668,0.0145032995623504,0.0310160188085406,19623624323.6513,156506.39435055
"SLV",NA,NA,NA,NA,NA,NA
"SMR",NA,NA,NA,NA,NA,NA
"SOM",2.56878495791748,0.00669285092428486,0.0228671908123379,0.522867190812338,43673179097.6464,421046.054699669
"SRB",NA,NA,NA,NA,NA,NA
"STP",5.63028509766396,0.0474258731775668,0.0308056500958337,0.111335702696592,21856305.0823256,732.279114614549
"SUR",NA,NA,NA,NA,NA,NA
"SVK",NA,NA,NA,NA,NA,NA
"SVN",NA,NA,NA,NA,NA,NA
"SWE",NA,NA,NA,NA,NA,NA
"SWZ",19.2223528329942,0.0474258731775668,0.222503848908111,0.614911121869214,44013193.5348341,39581.9191477835
"SYC",NA,NA,NA,NA,NA,NA
"SYR",0.0497870683678639,0.0474258731775668,0.0224992189902634,0.107370099121885,145000060991.8,2101053.76634128
"TCD",0.0497870683678639,0.0474258731775668,0.0494425174590372,0.168645439481155,969455101915.232,70565967.5000472
"TGO",2.84050745610525,0.0474258731775668,0.138268554750097,0.257471476772215,7219127949.94318,738514.180749327
"THA",4.22765535017892,0.0467672219851563,0.0306799463157053,0.149882868337823,649845188545.304,2752282.96227061
"TJK",1.8270773765577,0.0474258731775668,0.00553503091821247,0.12473795294033,131201480802.877,18183340.7865858
"TKM",NA,NA,NA,NA,NA,NA
"TLS",NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA
"TTO",NA,NA,NA,NA,NA,NA
"TUN",NA,NA,NA,NA,NA,NA
"TUR",2.99026761352284,0.0474258731775668,0.0394839296381041,0.0586958600065288,264207337190.929,55144480.9493679
"TUV",0.817398777468447,0.0474258731775668,0.0116476704620743,0.130850592484192,2191287.87560681,80726.8254709272
"TZA",3.72149281777798,0.0474258731775668,0.0940085626265555,0.213211484648673,216314672147.058,17108401.8364288
"UGA",0.144098529943915,0.0474258731775668,0.0731925731367291,0.195419311758024,3557218374864.04,113530548.593752
"UKR",0.247645099732126,0.0474258731775668,0.0347963080669401,0.320774688735283,718190003631.655,167824306.078102
"URY",NA,NA,NA,NA,NA,NA
"USA",NA,NA,NA,NA,NA,NA
"UZB",6.46881190978463,0.0474258731775668,0.00638404331753854,0.125586965339656,65152727202.3795,61602.785268986
"VCT",NA,NA,NA,NA,NA,NA
"VEN",NA,NA,NA,NA,NA,NA
"VNM",15.5753325079617,0.0474258731775668,0.0219344365772405,0.0478679460168585,177103474428.778,603043.907059055
"VUT",3.1002996724783,0.0381072210372965,0.149975127409831,0.269178049431949,24154952.7535753,11399.8781752713
"WSM",1.10978004882417,0.00669285092428486,0.00222342764529599,0.502223427645296,26695351.3107427,39336.5592871831
"YEM",3.29222276931051,0.0474258731775668,0.0476204221156786,0.122653181866606,107418687182.686,2106200.48676464
"ZAF",4.5430064859582,0.0474258731775668,0.0256106497351935,0.104655855061072,160249850527.333,1112234.50079093
"ZMB",7.74169534272794,0.0474258731775668,0.296960693911498,0.416163615933615,19623624323.6513,15480452.7791435
"ZWE",0.936962044470541,0.0374990234457982,0.137636427681264,0.256839349703381,160249850527.333,34826225.0592504
