"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CIV",295640,312100,142780,118920,177840,476780,683400,337280,373200,355980,198040,295300,149300,NA,600780,417160,193300,245780,96480,114580,115800,117640,95400,69320,2300,220,100,240,3660,8820,12560,2740
"CMR",210920,677520,1178080,771600,943560,638720,333080,464140,486280,423000,292440,548840,217840,30960,49260,235400,150080,214620,217880,292580,478680,28960,17980,7160,12100,3920,2000,9900,5020,4800,10080,12180
"COD",762840,615500,421140,227700,390160,388600,297320,264280,223560,91280,NA,1260,54980,251460,108860,190920,115320,305420,242700,165640,161440,609320,439120,898680,3649700,1602460,1111540,249220,1140,108140,2676040,1440580
"COG",193360,258620,332840,372300,152000,128480,28400,9080,9960,72160,80840,86040,13860,4520,47620,77940,25340,3480,6260,33560,43040,55760,74240,70480,2920,2520,1680,40,20,80,6300,5200
"COK",1140,280,80,20,1000,100,320,300,13820,720,1220,180,60,0,140,0,3880,180,0,40,0,0,340,0,0,120,20,0,0,0,0,0
"COL",392240,185460,261980,236980,111440,103600,412400,296020,251960,250400,207820,159520,182100,10500,8200,3200,1340,1220,880,20,60,2780,0,0,0,0,0,0,0,0,120,20
"COM",0,0,0,0,0,0,0,0,3400,46560,0,0,0,40,0,0,0,0,0,NA,NA,0,0,0,18240,1700,0,0,20,0,60,20
"CPV",3000,25640,27700,980,60960,NA,9000,140,20,0,140,20,0,600,200,0,171680,5780,20,40,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",3400,3340,780,220,20,90680,80080,7160,660,1520,125920,47220,5460,0,700,480,520,540,460,0,0,0,20,0,20,NA,0,0,0,0,0,0
"CUB",367740,468160,65740,66300,57480,66240,17160,2420,240,240,340,240,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",60,540,3660,60,20,20,0,0,0,80,20,400,0,0,0,1100,20,20,0,0,NA,0,0,0,20,0,0,20,0,360,0,20
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,48400,16780,8320,280,180,100,200,280,380,40,180,120,80,600,340,0,140,40,40,100,0,340,440
"DEU",105800,40580,195960,235180,11360,3980,3780,340,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120480,93140,15580,2420,15560,46140,11340,18340,11480,15600,32140,3320
"DJI",90660,620,NA,25900,2160,NA,1040,9460,9800,2080,260,2580,740,NA,160,8200,NA,3960,6820,3660,1580,1000,740,1420,5960,980,480,2860,960,140,980,14180
"DMA",540,40,20,3760,1280,900,1640,200,180,260,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",713020,313120,664840,423760,263740,469800,125360,12360,8100,3600,3240,2580,2300,720,400,2380,1220,NA,NA,280,220,640,0,0,40,540,40,280,120,100,1680,40
"DOM",68200,73420,59200,88580,88340,10020,9980,13840,30100,69540,150240,153000,92740,60,0,0,20,280,5480,5080,2260,0,0,0,0,0,0,0,0,0,40,0
"DZA",416980,591680,442520,451060,402280,79500,50000,52680,83380,35920,119380,176460,62820,118260,164080,420060,391460,66020,50060,NA,53720,117240,307480,65780,46040,18880,0,4340,2140,2060,2240,0
"ECU",93560,32940,51120,139580,23660,16780,30740,160080,72980,32920,31700,87120,72540,73360,18380,840,0,0,0,0,40,0,0,0,0,0,0,20,0,0,5260,1440
"EGY",35540,147300,16260,97960,111080,23520,36100,73440,81140,17740,24620,88060,57480,28880,36660,88060,92120,97360,30940,52660,43000,13060,3280,1600,1540,19060,33680,13360,12160,320,520,4900
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5340,10820,3700,35660,15540,6320,6400,15780,4080,9200,7520,480,380,2560,1100,0,1640,1020,960,3880
"ESP",2933780,3191240,6087000,778280,1613260,4402180,702920,454020,658160,433000,488900,489200,239700,135920,176980,99280,36840,8920,4920,3040,NA,1340,5120,520,440,7240,5340,5940,820,6040,76040,24080
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,660,2580,1420,6240,4600,340,380,360,340,240,180,0,0,0,0,40,540,20,0,0,0,140,80
"ETH",195680,210540,117320,196860,1330880,75200,96640,151500,83380,36720,9940,96300,23040,22660,11240,31720,22260,32060,106580,33200,47320,66640,4560,1460,7140,29020,28920,70220,23520,84700,65100,86940
"FIN",76260,108040,95020,14580,12280,14820,12700,2580,20640,60,160,100,0,20,120,0,0,20,NA,NA,20,0,0,0,20,0,0,100,40,100,540,0
"FJI",20060,18040,6260,16540,3040,7700,21500,12200,1060,640,NA,19380,8500,780,8280,780,16560,NA,NA,NA,340,6080,6100,740,NA,2720,0,0,20,0,NA,0
"FRA",22640,16240,17400,19560,7980,18620,NA,NA,NA,NA,3136980,2190960,1544640,880100,1084780,1320000,1600000,NA,NA,2e+05,NA,103700,NA,88960,720,800,780,12080,30820,100960,298980,0
"FSM",NA,NA,NA,NA,NA,NA,20,0,0,20,0,820,0,18600,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0
"GAB",46120,34940,86480,144680,104440,136520,41480,13100,35600,14760,NA,24900,19160,NA,NA,1400,NA,NA,NA,300,102580,2200,NA,1260,0,1800,0,60,0,20,40,40
"GBR",1235580,2112840,2298960,1352640,2095480,1804280,897000,1765180,603200,564560,234540,246340,240360,470500,180340,137320,96880,1480,NA,2080,1460,6280,9200,3780,1580,15280,20440,28900,24240,8860,22240,41840
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7040,2300,8180,14460,3620,6080,6840,4360,2880,1000,700,3980,4320,136940,27120,6680,880,1120,460,440,1280,620
"GHA",769520,1592720,731220,803580,1290340,221980,495620,809120,399940,644920,342700,798660,692820,696420,805520,685460,745220,466700,319740,461360,269520,245780,38780,1200,8700,8400,120,1640,2020,12820,2400,32260
"GIN",227940,300760,177120,87920,59380,51840,147140,67060,83040,255120,134160,32340,104560,47440,21700,205840,203400,183400,360080,225880,148160,43020,49940,200,1980,80,60,1780,5280,900,220,120
"GMB",5240,31320,27440,NA,32560,79940,NA,NA,NA,NA,3280,7280,18240,5600,2600,300,30000,NA,17120,6720,1980,640,2380,0,0,0,0,0,0,40,0,0
"GNB",41920,32260,64360,7100,26560,44820,3480,22060,2120,5180,47920,16840,34140,7560,10560,1460,9960,NA,9440,NA,2520,5960,23160,70520,0,0,20,240,0,520,0,0
"GNQ",NA,NA,NA,3960,9280,15760,237300,297500,11640,640,640,5940,3140,5400,880,20,0,NA,NA,NA,26780,480,360,760,NA,0,100,8720,1560,0,0,23800
"GRC",27780,68340,474460,24000,29680,21000,37820,102000,10680,4900,27420,68960,10060,3260,2240,121640,2720,1320,1380,1120,240,100,NA,20,2440,NA,40,20,40,2980,800,60
