"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"RWA",1587680,735840,400020,345380,335200,854980,247740,87280,108580,179400,116400,348580,197220,119980,577480,79760,15740,NA,87180,41900,17920,54760,21280,7720,2580,9880,520,120,100,2420,620,1500
"SAU",715800,665880,892660,609140,367860,456600,584400,164500,71760,108780,127360,225980,63640,25060,51480,48140,79560,110380,56300,NA,3100,6220,24160,37600,7460,16140,92960,3160,1640,6680,7240,5880
"SDN",1296080,1363420,56120,47800,1351780,542720,32700,149320,302280,281500,600280,340340,13660,19260,16820,51180,7000,11000,66940,57500,87240,90580,87620,191240,27480,4560,6540,2580,1360,13600,137440,209500
"SEN",690320,647600,529620,NA,NA,136620,69060,31920,218800,100080,228540,307340,293860,118880,NA,161380,131880,131880,73360,116780,495780,363680,30380,620,0,60,220,120,19980,8560,360,920
"SGP",15420,39300,13540,48340,2720,4360,2460,3840,2920,2860,4320,12120,0,3180,3700,NA,28260,2280,1300,2820,8160,4220,660,1920,660,460,300,360,320,1000,2960,0
"SLB",42080,66620,18460,4760,40,0,8680,11860,275580,6860,900,1720,30540,12800,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",68160,82040,86540,80320,67020,3280,20000,4140,12500,16600,5680,18280,45760,2280,6880,NA,7220,NA,NA,71500,12980,11360,11720,140,580,660,0,880,620,21780,37300,13560
"SLV",251080,73280,48140,95500,28260,5560,8100,15740,0,0,0,10180,760,0,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"SMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,140,120,NA,NA,NA,440,NA,0,20,NA,NA,60,0,0,0,0,NA,0,0,0,20
"SOM",NA,NA,12440,9740,2560,1400,4440,5920,19760,NA,NA,NA,NA,NA,NA,36600,NA,61500,110460,79300,71420,191180,165140,240160,NA,140,22980,21620,260,2300,345960,199660
"SRB",417560,276520,259340,404660,506500,282960,172780,132580,322980,99560,19820,42160,335540,16000,10480,9160,93840,18440,5760,760,700,1260,300,220,40,40,4020,40,20,400,7400,0
"STP",3880,60,4320,11520,1240,1380,0,2360,NA,200,0,0,1760,6380,460,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",14320,12940,340,800,2200,740,100,1360,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",NA,NA,NA,NA,NA,NA,NA,NA,NA,940,4220,8300,11020,580,40,0,12400,10600,0,0,0,0,20,40,0,0,0,0,0,0,0,0
"SVN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,200,140,2680,7960,160,180,260,20,NA,0,0,0,0,0,0,0,0,0,40,440,40
"SWE",70800,124460,92520,20060,6520,3460,NA,760,1240,580,500,1140,500,420,460,880,1240,NA,NA,1180,100,180,60,100,260,380,20,500,60,120,520,600
"SWZ",51840,183700,65340,95880,65060,45060,85220,31620,29220,29300,29340,40840,142960,12200,3420,44020,12180,3600,0,200,980,740,7000,0,0,0,0,20,520,6260,0,0
"SYC",80,6940,5340,380,200,80,40,0,100,260,120,0,0,0,0,40,60,12520,40,NA,0,0,0,0,0,200,20,0,0,0,0,0
"SYR",34580,16000,17580,28100,8500,43080,5840,1160,14580,10700,7180,7480,46000,26680,27240,41200,137000,108000,60,2920,5800,10760,16020,3780,7500,10340,8060,380,440,520,260,260
"TCD",720,24460,103200,138420,128600,70000,72460,72900,148980,144520,423640,380700,417880,193920,439040,483240,208920,247420,137360,70920,498160,145540,316020,206480,40,31880,8820,1260,3300,3880,173000,2400
"TGO",380860,438500,388060,517380,514580,262380,202220,351540,69980,90960,198680,139180,80340,145960,122880,4460,9000,75420,50800,71560,36660,7260,5900,1220,760,520,160,3740,8500,2400,3740,4760
"THA",485960,553820,694260,944100,643120,390900,843440,721840,297240,584880,534180,157840,357020,773180,222240,115140,302440,274680,63340,81480,146380,NA,91300,78000,70520,71760,77860,149300,121420,50680,61320,103940
"TJK",NA,NA,NA,NA,NA,NA,NA,NA,NA,137940,24820,48780,100900,10620,1120,840,77640,61400,3540,3840,760,18540,42880,80,NA,60,40,0,0,0,20,320
"TKM",NA,NA,NA,NA,NA,NA,NA,NA,NA,56120,26920,13840,49720,52260,7860,1920,7540,20700,9040,2260,180,220,20,20,0,960,1180,0,0,0,0,0
"TLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1880,820,4060,1800,0,0,200,1000,15260,320
"TON",3740,380,720,100,8240,4660,0,0,500,1300,360,200,0,NA,0,0,21620,720,120,0,80,0,0,0,0,0,0,0,0,0,0,0
"TTO",72020,25680,47840,71120,70980,53200,8820,7760,43400,10220,2820,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",60140,36560,29280,49620,95320,74800,11460,5760,22940,10940,25000,237440,28260,11940,13520,10660,7420,2460,2020,940,4620,1960,440,20,300,60,80,40,20,20,220,960
"TUR",530940,175560,630300,613320,293900,45340,43880,185580,385460,227440,450420,492520,685700,474660,270880,543420,455900,542400,326580,324880,610180,156460,116880,178540,124000,680,60,0,80,140,2220,0
"TUV",60,400,0,40,0,0,5680,0,0,NA,0,20,0,0,20,1020,280,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",1595280,2042540,1376080,786220,920640,764580,842180,291360,140660,298400,543760,260800,329420,71160,63200,213520,145740,200460,117740,292980,236940,102620,33460,28380,460,47240,154520,68260,31480,3340,32440,33360
"UGA",372600,228160,860320,401440,NA,NA,NA,33320,13200,52740,NA,730220,NA,996300,853180,523960,251240,850560,854740,851080,970860,997420,588580,2820,440,114720,75520,26380,32020,26260,66240,40540
"UKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,136820,106420,265780,469040,196740,38460,173560,140000,102140,27780,16340,339400,151740,8220,2920,47840,854480,20100,960,NA,780,26660,254920
"URY",309300,2700,360,7040,3200,3960,23800,1520,400,2200,40800,3740,320,0,100,40,40,120,680,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",62480,34280,29940,51740,56440,125640,73100,67920,363860,555720,192860,44620,6240,19160,6180,9780,2760,2000,2000,1700,2320,820,1120,740,1320,1100,860,2800,1420,1260,4440,0
"UZB",NA,NA,NA,NA,NA,NA,NA,NA,NA,78860,77560,40400,47080,33220,5880,4560,5220,17500,23860,1600,440,500,1700,1500,14740,16460,17260,40,0,2340,9520,0
"VCT",380,15140,1260,300,100,40,20,200,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",625100,284000,225260,236660,439480,280520,385220,246780,203200,197620,305460,238980,404880,307280,3440,1780,540,80,0,440,2300,47840,0,0,0,1560,640,0,0,0,0,20
"VNM",1248000,1449320,2503520,1755920,1644620,1369260,609200,466160,446640,163500,197480,236600,240300,237060,123420,103120,130140,233800,282680,330240,241160,135100,45940,4340,8200,39560,340,7040,131640,56180,15000,11560
"VUT",900,16640,8020,32680,18800,21280,5060,2800,3380,1340,10820,3080,1340,540,540,80,2260,NA,240,180,140,2020,3300,NA,60,0,0,0,0,0,0,0
"WSM",1440,560,140,0,21900,20,0,0,20,0,0,80,140,0,0,1740,0,160,NA,NA,NA,NA,0,0,0,0,NA,NA,0,160,0,20
"YEM",427100,489640,666960,794260,559940,311920,348160,208480,533620,NA,1500,48400,12020,700,4500,NA,1020,175700,522520,NA,9700,17800,170720,254160,125700,161580,260,140,2600,10200,53520,43540
"ZAF",316180,258120,334700,323200,357680,269180,451180,305160,365360,212480,95540,454900,257400,136900,176900,130020,26740,19540,7700,29180,23320,20860,5020,14420,12300,1720,420,780,117140,487860,1840,640
"ZMB",3684200,1469980,1022800,737620,1020000,477320,295860,249740,114940,134960,56440,220120,236580,285100,170660,189180,142800,NA,470360,618600,339940,500720,17620,700,900,9180,10700,2800,520,315080,264680,17920
"ZWE",99900,98820,725060,433240,445800,407760,353500,996240,950180,274560,481800,346920,681420,755700,170580,748140,259420,40980,15440,29660,10580,6080,19960,620,8400,4240,4840,0,17060,193920,0,0
