"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"ATG",0.27414347392086,0.386368378484648,0.433466689491955,0.328571843765686,0.23980544131247,0.213342707418332,0.140291921088457,0.115043476422486,0.0942895179011733,0.0675944330506478,0.0669506443293584,0.0680166527243981,0.0576943396459669,0.0521042951108079,0.0563503346400823,0.0580388848178407,0.0541169739666192,0.0392598398428726,0.0290272521693845,0.0228244003199295,0.0198465932769128,0.0173744691944079,0.015218457343761,0.0136270662326167,0.0127826232582032,0.0164411586762277,0.0169924600778505,0.0161604233588064,0.0149571014589843,0.0129304525085333,0.0114503630372077,0.0106927371126283
"AUS",61.1138952709664,76.6040225042247,53.454818276036,50.6168761717284,46.1909276678054,43.4912864270372,24.8320826091995,23.396689075676,23.500292586052,18.8574225911272,18.7769909982074,17.3897114960727,10.3888937289349,10.57282791512,7.27976451237481,5.84634064173349,4.6160889803663,4.01638912106651,1.7644522761682,1.76072495226949,1.7304089358473,1.74396265031894,1.62702537923641,1.53729208374612,1.48150320191242,1.45891105339462,1.42459246366537,1.32551329057772,1.42444722865503,1.39810964858157,1.33712283395179,1.33233164161534
"AUT",33.7986898198918,27.5144248599105,25.8274015929885,25.2856884558891,22.5298050485034,19.8680396008935,15.5445223281971,12.7433621533955,11.4844798327103,8.48219761108556,7.93474741510841,7.52945771238289,7.56032850372633,7.3011789026936,7.25252206962845,7.29948257952742,5.58001692622435,4.50064456258916,4.23851109769134,4.66556911742488,5.00592915092271,5.24959180922128,5.29810321749883,5.21069696620916,5.28208571437325,4.2148101645249,3.99723808699836,4.03351022974296,3.82537556232753,3.86055216884323,3.78704313120435,3.88927724983197
"AZE",32.79578950192,92.1248300690969,84.2668277088328,84.7267036494408,93.9760176090352,88.4848424457407,95.8939068865273,93.3698760759132,106.417929115591,103.135665992723,100.009313047898,100.899126155243,50.7037980705394,58.6045976065232,43.9310660772058,42.92466447645,37.8992404956023,21.1864570024408,21.6534167465785,18.5352284287641,18.1214620628872,4.66281874262952,2.77318827516792,2.06804244510147,1.85929047870882,1.56203804664516,-0.931885417970586,-1.72903417549758,-2.2655418897294,-1.90674193153906,-1.30278929329469,-0.438693052478076
"BDI",1398.28324391329,3020.50070424915,3631.46664653304,3536.94889279939,4599.07490373129,4953.20178041679,3997.30962775505,3951.07704978734,4366.71680289871,3490.52548478402,2654.94088246659,2550.38512667986,2693.74602649595,2737.45162679912,3621.72852940275,2833.39373908516,2540.60195096053,2512.50026618395,2641.75559792485,2782.07563903778,2699.6591181237,292.31668417964,-30.4111650099293,173.697601349767,706.391658929557,1147.37493785237,118.786155451367,475.322939725718,1041.09063483545,222.99643270251,247.209672116851,529.544909832178
"BEL",46.5131667296948,36.2216824656567,30.9093033937324,27.0421413439458,18.3014643989879,15.6454387650114,13.3754127609887,17.3929621545683,15.8604115142576,15.4984757757832,13.7057191044124,15.225771392728,13.5868500620311,14.7187063133529,10.6715500817218,8.12255257200132,7.65503053557818,6.55167899214533,5.89748448962144,5.61187120989433,5.07970355078035,4.6134131425866,4.30973116299157,4.13661148923948,4.03867139512438,3.50940763981537,2.62841377630981,2.4210931770787,2.23315207938354,2.11207958038008,1.95569181155201,1.85549098940778
"BEN",1578.83303024221,4249.92391859815,6174.23028304168,7328.28357767497,7804.74882904592,7027.89039431366,7010.47933239658,7019.67154645612,6849.17043189814,6166.97847383591,4553.14871593731,4749.35804062696,3755.83980389885,3918.65131058376,3523.6139897701,3906.0225877022,4382.7581552627,4455.98996886467,4518.40470224002,4418.84621924761,4480.43908775917,1982.63208586925,3117.14773685026,75.2147214926747,976.406207010789,245.454933812886,1246.02176472647,2449.77043870156,426.338024255635,1405.76976110937,2739.48883776274,410.142071094357
"BFA",4583.59943735427,9840.6469358406,11415.8661951713,12036.6713639811,12461.0369946959,9203.60412758844,8620.58638363065,9085.47387713013,7872.02177738297,6670.87356760223,5343.38878296254,4950.01057634064,5876.90436020004,7115.08422616295,9640.93183517417,10402.2908395425,11219.4932283076,11271.0605683658,13844.0807477984,663.494917006219,5046.17626884358,-121.750305472842,1292.87041948067,3120.62114733512,414.496125665754,1882.18606779919,3051.46724650051,203.984441072954,1033.56652707704,2061.96043478593,2990.59404488413,481.930056169143
"BGD",9864.01287530252,24557.2981190151,33847.6418915447,38888.7699108175,40761.5914338147,42709.4873587937,42366.7385397308,41708.1124962227,39975.536917608,30778.6942846197,24855.4110578671,21583.7381950138,16890.1500764264,15485.913283896,14238.4485173956,13455.4733979993,14318.5960344012,14355.745193541,14403.8302647955,14748.5601550605,14704.4313342562,13947.324714018,15042.8908527048,15121.012828322,13702.7764858196,10530.3226547065,-122.903044020276,295.27742096401,928.598993311567,1619.28442689941,316.152406435266,938.902464422878
"BGR",-14.5270385114626,26.326438287723,11.2261815506334,-2.00821864057564,4.42897302794607,0.509451906599608,2.49224958026938,1.53153871445729,1.95157979907252,1.80625911120564,1.99620114219477,2.14769810056293,3.51273271295224,3.75032093463922,1.96033517922263,2.3988781660758,1.78733189892444,2.37017146975765,1.51811943369496,0.760805039038182,3.20418509996943,1.62884873556005,2.86836811086018,0.799910392236121,1.84033250803602,1.09058810597854,1.41124039556188,1.15388551395382,1.18020039678887,-2.15797131902567,3.02763390048148,0.328935957021971
"BHR",3.25400794870838,4.86116270086024,5.3150236488896,5.47767138067377,5.17927872284402,3.7115577684256,3.50846277007664,3.36600129937118,3.42161175502483,3.09223785202576,2.90446081054773,2.69319442264747,2.358745612208,2.20612970932709,2.08260323909459,1.96066595360789,1.76993446533121,1.7841992423146,-0.0871054928136472,-0.0729213572029764,-0.0873508015216376,-0.0948055785815263,-0.105359023263247,-0.111412355822932,-0.12226269206812,-0.126409702383346,-0.144414099304125,-0.152617718648267,-0.164991004616974,-0.171026103627084,-0.184021115631093,-0.178309360291763
