"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"AFG",4173.90725105163,11373.0129099086,15445.5305975595,17152.5329343702,17020.9496952892,16859.0190417093,16511.3312375284,14626.2272743846,13511.8408422483,14513.780799076,15087.4500132009,15876.51213196,16295.7942647606,17031.8724555421,16504.9500046403,12501.2203854256,9700.33869585724,15227.9564530405,20213.9378336632,22943.3806682384,25109.7963912691,24260.8548505745,-51.9849896045859,231.230561514993,4145.31509987725,8969.56050768492,1801.12013166423,1678.04242808486,3866.26519751509,3021.48361700079,4746.3897271994,3532.73813801992
"AGO",893.551917670157,2812.45723754913,4739.40482154789,5296.63414877851,5457.29178459679,5331.87114450523,5383.39698527407,5072.28015696557,4932.03238724315,5165.41804425044,5780.46645976904,6104.73890943511,6424.43977442582,6358.18015530428,6502.17384488888,6620.57459834483,6093.99979801154,5187.76555779705,4692.13976947753,5513.37363345169,7310.68575683523,6422.03519380989,5863.5794576016,-15.5302485510244,411.735127024392,1858.82723986108,561.015188325367,936.862999505606,1682.09268217013,291.127875778084,640.34865703558,175.833495238015
"ALB",57.0411107559015,-0.984500014207957,7.1858168385231,6.53459835875914,6.81209107428772,6.9207928647405,6.77271577049859,6.90594154990472,7.09760372747347,7.25260132150734,10.0474518840202,12.7829383789879,9.68020442995793,17.341511948426,9.71593328089563,8.36727456325184,7.42952389532474,6.38513748602723,7.99735165316937,8.34395817007762,-1.51432482748296,-3.09904287320574,-3.71274631425047,-2.04435800519081,-0.282321089823829,0.302949361613794,0.512086503066438,0.437979159962597,0.322876631235019,0.284719533563336,0.229168553007729,0.193202210931785
"AND",0.139658917769554,0.15889709063775,0.164263171075278,0.168260985342411,0.172309364402358,0.18029492840007,0.184313460493055,0.188514891230426,0.187727695136514,0.186559211892373,0.183926699943116,0.183357390808208,0.188548419712584,0.193405799593372,0.203963463477602,0.213390161427276,0.223526590851653,0.114811649560727,0.0764183059748547,0.0416270774956762,0.0233272667245273,0.0171352423376051,0.0130402018283488,0.00997075620256645,0.00761301397911669,0.00698443079596917,0.0064829599103691,0.0063420391822406,0.00581603804483522,0.00558889021833522,0.00509935477516382,0.00559012154743656
"ARE",8.04427544509342,12.2389704960775,15.1210372724274,15.1660493410321,15.6822183593387,10.2883405297091,7.65002506352043,5.2353602085654,4.46790116005525,3.76592102013816,3.33990340912673,2.92549876561006,2.54388985510209,2.0886036245046,1.60742150783011,1.38111966449844,1.23488557371003,1.00123990383311,-0.183212927385444,-0.430998895614315,-0.414069096060856,-0.1557516585387,-0.251361736711234,-0.357340093892293,-0.46998916958891,-0.592293702538769,-0.794456693008547,-1.00729570429687,-1.1628600076658,-1.33317617440653,-1.4075331025782,-1.47129843807263
"ARG",83.409502289448,72.4184920962423,75.7761392410983,77.2314665207407,68.1573051466446,84.6840712119701,65.485490864277,62.6710706156985,56.2839549215726,42.4813656390154,38.4100778308695,33.0547007198055,33.7698319164015,-1.41697499754212,-2.04456973918552,-0.344344073344544,3.01166983191882,8.93922412622008,8.08540466633816,7.23375561161941,6.68398892020901,9.36099604541758,2.18752975727164,2.47885415559972,2.78167881491842,-1.23704128903538,-0.864481432684722,-0.40287600253181,0.150754006368699,-2.20613588117014,-2.03934797695362,-1.72037679698605
"ARM",1.02125996634426,2.3362462163644,4.01896876370883,6.17682115247853,8.44801756145461,10.9162769120848,12.7294563608996,14.8622757348448,17.7036501608508,19.4993626279111,19.846368374663,22.4064271941547,19.6130771728812,17.9091427477111,9.19388151173523,5.16444860356896,4.564523997196,4.06098348857709,3.68735555479122,3.25618617713343,3.0308303295558,2.6867900791723,2.54273429646041,2.27903554081547,2.0930154795895,1.95461708515313,1.85076405187423,-0.00428328718339047,-0.00376568775767647,-0.00422701896854721,-0.00400850388066705,-0.003747428600594
"ATG",0.27414347392086,0.386368378484648,0.433466689491955,0.328571843765686,0.23980544131247,0.213342707418332,0.140291921088457,0.115043476422486,0.0942895179011733,0.0675944330506478,0.0669506443293584,0.0680166527243981,0.0576943396459669,0.0521042951108079,0.0563503346400823,0.0580388848178407,0.0541169739666192,0.0392598398428726,0.0290272521693845,0.0228244003199295,0.0198465932769128,0.0173744691944079,0.015218457343761,0.0136270662326167,0.0127826232582032,0.0164411586762277,0.0169924600778505,0.0161604233588064,0.0149571014589843,0.0129304525085333,0.0114503630372077,0.0106927371126283
"AUS",44.5908729005545,55.0907336247338,37.1561092888243,40.4895673813017,33.2639542177631,29.6526754345347,18.8080373700248,18.522261206481,17.070034695749,14.717624008561,13.8950351807289,13.3653977915735,8.33804103720268,8.53055954099121,6.08538914306,4.75777349635939,3.98115035617499,3.34328230102911,1.46442352570932,1.48247523101081,1.42929365745042,1.41616565007985,1.33893203626945,1.28940604661576,1.26571416836863,1.1955151276042,1.15864923882752,1.11389718228881,1.11674947488965,1.13887795175369,1.13986732686653,1.06451243881896
"AUT",29.4417449728911,24.3755249003205,22.3492078072119,21.9569718879526,19.8236250003898,17.2629817889001,13.3841256352502,11.0137687962329,9.88550901593455,7.12331287093073,6.88314625700133,6.52201865043639,6.49026785731836,6.30918331519596,6.18051806950294,6.14132418324937,4.87345079363794,3.91190620402595,3.57046325075962,3.90623543578549,4.42882933599039,4.57603674552575,4.67039666942916,4.51764202049348,4.51451022201029,3.68755590987914,3.48954844445948,3.50012351646344,3.31895367821622,3.32438353418236,3.25668368653055,3.27061559805998
