"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"AFG",4163.96794200629,11306.9928671162,16300.0066866295,18549.9329333568,18913.4629937749,18851.0195720431,18644.0520792965,18352.1134162155,18440.6234429604,18317.0493162211,18719.4408250841,19377.1208615572,20303.8522030688,21795.8711827563,23755.2251923941,25973.2272479363,28158.8629761058,30156.1123330544,31795.0094914449,33115.3347667784,33604.2972881147,34703.0032742193,35294.4286245338,36110.0446632187,36621.7765519021,36960.4772497596,37880.5104071963,37705.1346204532,37518.3216098807,37490.7741699078,37205.8975645646,36957.8909924722
"AGO",888.438119428415,2811.76342644828,4762.37641322666,6155.3201105393,7124.89507615794,7709.11075695012,8224.87698671485,8556.64024621201,8921.84792156557,9185.23564310831,9477.29624773743,9682.94966384513,9919.67654609116,10190.9117212438,10591.7847341055,10870.9822020455,11306.0852793816,11671.316824131,12088.5792901166,12247.1958480286,12811.824946603,13225.1946186926,13756.5092121405,14232.3984117416,14820.2716015413,15214.6832534384,15643.0757120361,16026.4367256903,16726.9101477668,17189.1950207021,17351.9157615636,17949.5816369161
"ALB",90.6537568639417,48.8945088749162,59.4014409022584,57.3954883162455,57.9747543380632,59.393424292734,60.5168471980929,60.1538481983319,61.1799462144678,60.0444383553607,60.9155105389208,60.9774946768266,58.3465654085515,58.0439713389889,56.6848109547058,54.465092593229,52.2968777188229,51.2480332198144,49.2046468898503,47.2861818032283,44.8872080969748,41.9657223360116,40.5901053337315,37.4178132354662,35.6343391242128,33.8260323846347,31.8793266085883,30.5851311360897,29.8504775224911,29.2892419769553,28.7640645518913,29.7442917893119
"AND",0.1409838147499,0.157667029429945,0.163166488429372,0.168279271901481,0.170821279061071,0.179112156416003,0.183533521675388,0.188755695770041,0.186401084617982,0.185729263196967,0.184957607069893,0.183329057208705,0.187712448524955,0.192947407110169,0.201568131216362,0.21177966898716,0.22885678665627,0.0659270898335103,0.130770114945577,0.174646039663514,0.198784256568435,0.208475957910985,0.210875504730355,0.219418393009116,0.226359407984563,0.230230088627618,0.238736629747714,0.246544526875672,0.253560515052773,0.259333953262694,0.261683169338289,0.302766743700106
"ARE",8.12103015976986,17.8669070723731,23.7943658021577,26.5389521967885,28.706648745384,30.0668132851091,31.5813317520875,32.3063067726109,33.3778689516522,33.8670381990851,34.707655260271,35.0288186630806,35.2827385539543,35.4228632480417,35.3352111746581,35.5106260492382,34.9490068645668,35.1333844371891,35.2772798135337,35.536696497472,37.5140528831584,39.3104928124172,41.7644494652462,44.2352217702301,46.1059046334123,48.9173472157365,52.5522046966928,58.7747105571684,65.9889424272999,74.742533317978,83.7236053517144,93.801360880566
"ARG",106.814461288369,188.228895585126,220.801128568141,229.784072570413,232.284310016478,233.753753379114,235.402930936179,237.401276811018,239.527303965823,241.607499676755,243.486673356752,245.045671921585,246.233197330345,247.027321852846,247.403564559892,247.308406621738,246.799645952197,245.877919200568,244.649672772462,243.236230876317,241.820779185683,240.54798154324,239.604537438053,239.093082319829,239.069519584448,239.53848835175,240.327891637133,241.312046738741,242.314628651628,243.205079342432,243.882370231016,244.311010380588
"ARM",1.04583458908716,2.39559148343425,4.01587237690198,6.23138212373373,8.16614351715815,10.7113951497334,12.6801404861848,15.0068850532105,17.4336038403995,18.5764356696512,21.0207484720829,22.5961452994187,24.1038196803045,24.2074069101382,24.5431658336195,24.4511538247454,24.3443939846248,23.0145588367167,22.3920521353883,21.0945181740469,21.1255596145883,20.4275835065429,19.8239853336605,18.8638535706451,19.4558870852251,19.0406063579295,18.4284196387396,18.4419828252085,18.2270393044292,18.704763762198,18.0743714874615,17.8580159292189
"ATG",0.27414347392086,0.386368378484648,0.433466689491955,0.448338732467726,0.450351152962859,0.447563298988564,0.442163428867324,0.435456824201176,0.428316626285134,0.421713489361887,0.417489418611956,0.41681976874888,0.420665051896937,0.429424171240013,0.442512864451616,0.458309471946118,0.474970027804807,0.492061264079852,0.508328537951316,0.522898758484937,0.53477622627753,0.542828858058128,0.547168105599448,0.548072513519762,0.545850188705969,0.541835449857845,0.536932431418115,0.532060881078196,0.527590156556609,0.524323656626353,0.522131728317895,0.520881752879178
"AUS",43.9421408896592,54.6657380496217,58.9808139154061,60.8234246586515,63.7345438391843,64.929919241024,65.6695639156799,66.5371551363878,65.2563428232851,66.6402229711917,70.1821465928731,69.8311212076142,70.6434547691399,72.0457751929309,72.4937952704875,71.40628632381,69.1514306107102,69.6957032714478,68.9164727421946,70.4785641745751,68.2138639662079,68.4545987761277,69.0706956140351,68.4469525780223,71.9442792112073,73.161844131355,75.8461725295456,75.1652447332551,77.9514751793374,78.5583237442518,83.3577116256246,84.6093466815389
"AUT",30.5938845321707,32.2105720957013,32.5917897539424,32.4412483424889,32.2950792663485,32.6730996034679,32.4266374238653,33.2003644025198,32.3711943332901,32.8267965900598,32.8815541460395,32.8566875892918,32.8086137829229,32.7394756465978,32.8803559555902,32.5575048559495,32.5443452865107,32.2543830770588,31.1089818078975,30.2293382795645,29.8236112394012,29.3707941548386,28.9839693735477,28.7687107140883,28.3545753131905,28.2159923648609,28.1102160641769,28.3081352580879,28.7257602090719,27.7248558527386,28.5465150997876,28.7356374818087
