,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,1876651.676,937801.2063,868118.6069,741390.5599,658643.95,377130.8898,471111.9191,230752.8337,112202.1305,109940.1126,88818.7154,254835.8142,393046.2965,438218.4247,475904.256,385669.805,318694.8258,178060.7385,202915.094,312850.9715,405334.8183,203884.2924,14253.70917,20776.27423,71373.34921,105496.5278,50212.30779,66035.07845,129660.1076,92447.29237,136782.3531,125855.0706,10719.25044,26499.75453,36675.63906,8098.006495,37379.21367
AGO,626186.2718,694572.8945,511691.2923,517980.4111,521690.5644,354960.5008,302689.9737,494144.2617,448763.6921,685224.3551,421134.811,379800.872,227026.6526,146128.4693,62235.77758,35138.75458,193756.6234,93646.00062,50361.88487,65333.35298,205057.9586,268196.4219,93342.57716,1342.39568,15208.054,31742.01262,12890.31568,17730.71315,58171.83374,17861.8109,33640.47012,52769.52208,194904.2094,271735.9486,27863.61085,47831.297,70169.22219
ALB,NA,NA,1657.042239,2440.446319,2844.779297,3037.770753,136034,3196.943919,331580.897,4512.820164,5373.723201,4874.206064,5841.105136,4582.462721,4092.607965,5188.368761,6699.669858,6860.075973,5778.411462,4447.352059,58.03790101,195.1054838,377.0419547,537.8396732,660.4816771,834.5198731,885.7116161,3010.961612,1801.952993,1374.951029,4168.173473,2148.98301,1532.160078,1163.501651,3625.059574,1941.67899,1401.640429
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
ARE,14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660,0,2495,1735,1115,605
ARG,87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10,0,1590,0,0,15
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6810.472003,6709.99402,6620.623133,6526.317927,6398.795338,6597.720553,6441.011251,6235.639165,6018.422442,5807.907783,5599.370215,5512.231099,5319.355289,5189.998799,5499.977789,5344.763927,5172.290058,32.74333833,36.12623795,32.84862947,35.55050591,38.38085415,41.40279783,45.58200077,48.60623032,51.54447258,54.61637798
ATG,1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
AUS,NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995,790,1675,370,495,405
AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,0,0,540,1545,135,475
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281345.6897,39165.41677,67197.17814,311471.8033,32780.67318,22345.99365,36563.98079,135056.8241,55245.33911,24780.46198,26972.17525,257402.5227,92465.66926,40177.95843,56278.67382,18750.29389,259.8486046,946.2916723,3139.380161,2652.708283,2874.612078,3032.664607,6936.26375,6793.317409,30.33564062,140.1748446,354.7598677
BDI,292831.6787,182602.2399,220343.1073,127839.9711,159435.7667,173435.5657,104370.8063,144408.0608,121529.2892,63605.86136,49159.43186,97616.47415,103611.1584,50317.29116,64189.63988,70146.25129,23106.05473,16719.52986,18688.62151,83270.82035,95179.08021,7728.046602,690.2429547,3651.884341,4980.0032,6939.207441,2043.166702,5194.169577,6452.234431,3452.52341,3413.779687,4528.043852,1831.948439,1932.81609,1857.724499,1427.112709,1728.26267
BEL,NA,NA,NA,NA,NA,NA,NA,238080,405220,NA,36080,47825,36865,56730,53250,36105,19345,0,NA,NA,415,NA,220,305,130,75,320,490,165,200,2880,0,195,975,235,NA,1835
BEN,268784.8529,215598.7125,214533.5901,246587.619,242896.7235,137482.5644,248870.54,105800.9187,66528.42882,68345.70139,98114.87693,60562.92563,74618.36497,142790.7075,193848.1323,52403.23821,191507.8122,44229.51067,49213.95211,76827.07832,106175.5517,33402.17227,19203.05291,3553.781296,9298.8119,4401.28545,10364.69545,20593.15511,21853.48181,17792.12561,16959.20596,6116.484741,16264.13484,23757.42295,2519.069826,6495.667815,8915.330842
BFA,330112.9679,397158.4277,405521.284,581578.837,330334.2901,225251.3502,566295.4442,163797.1611,145027.9114,183789.582,132284.8612,437591.1936,275520.0687,100698.8955,121973.1266,353133.4663,94707.40275,238489.4385,140803.4445,98461.33247,96672.23333,4970.825266,53162.22456,34238.146,10252.54726,16644.06374,17204.00389,7440.605489,136593.6527,74244.83906,46219.1996,14093.98877,26759.93632,35792.92251,1050.204192,11539.1417,18806.28224
BGD,2711256.421,4747261.651,2774275.066,3193679.846,3186511.851,3801278.604,3650981.453,3135620.166,2337524.976,967152.5424,2259612.128,1651606.934,1497693.412,2354941.794,1487378.495,1396480.829,2528966.73,1831419.219,1584506.064,1436094.162,1267197.559,1116697.814,1168369.32,2298948.378,2228221.474,1633712.143,155584.9088,459716.0849,358523.1308,346597.5902,552009.2568,259306.2287,250610.3706,538262.1261,3463.532382,54416.69312,350738.3087
BGR,93070.63723,79151.00989,66798.10224,73174.26837,69891.65149,71507.61467,70526.28383,70434.43473,69856.54331,69365.46816,69175.9511,141237.6156,31105.15765,76854.17971,60696.34228,67744.35031,63662.21016,64428.64755,62356.28341,64701.72699,62347.67923,63113.55546,60581.22394,61156.70638,59961.67718,59808.65854,59155.32103,58784.80181,58821.25938,141241.2143,16679.65887,60102.78252,55718.41628,57409.02543,56237.3551,56261.68011,55521.22677
BHR,1645,5735,2190,5670,9550,485,110,25,905,295,35,60,10,0,15,370,20,20,190,30,25,40,60,55,20,15,35,10,15,0,0,0,0,3960,0,0,0
BHS,225,250,14340,180,130,425,210,110,295,360,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15803.73105,16884.14192,18179.5711,18593.87261,18758.56784,17535.87497,16813.29731,15720.8817,14044.92717,12792.23717,11632.03569,10701.46993,9994.587319,9344.570158,8744.566956,8392.860626,7860.384856,7438.122826,7040.012597,6678.505723,6372.46126,6052.080401,5761.065871,5885.350116,5980.271371,5742.582842,5514.842761
