ISO3,WHO_REGION,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,EMRO,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.65502183,56.21678322,66.54054054,89.67700139,73.45684211,31.40568099,35.47789951,65.23239437,56.99811676,58.74766355,62.24451411,52.59357278
AGO,AFRO,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.87301587,40.45084996,58.91970803,69.86506346,36.21859655,36.90114004,78.1875,63.42857143,136
AIA,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,EURO,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.29411765,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,EURO,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANT,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,EMRO,United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.6808511,121.7142857,254.0869565,123.3333333,182.9142857,106.5063291,142.0931174,171.2862745,199.708,149.2105263,201.8823529
ARG,AMRO,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.6666667,420,NA,396,NA,NA,334.5
ARM,EURO,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.6666667,152.8,NA,NA,NA,348,NA,NA,284.4545455,127.5384615,201.8,13.5,NA
ATG,AMRO,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,WPRO,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.2857143,180,207.6923077,182.2857143,248.4155844,238.5176471,238.0540541,274.7368421,216.9
AUT,EURO,Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.7142857,298.5882353,235.7261146,245.0769231,237.9230769,221.2,255.2,265.2352941,213.7,212.6666667,227.1428571,212.4705882
AZE,EURO,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,213.6,NA,NA,NA,NA,266.4,NA,NA,NA,216,241.5609756,NA,NA,NA,NA
BDI,AFRO,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.10526316,45.35714286,43.4516129,32.20408163,NA,NA,NA,21.85714286,NA
BEL,EURO,Belgium,NA,NA,NA,NA,NA,NA,NA,131.1428571,219.7894737,48,200,80.14,95.55172414,169.7692308,167.34375,171.2633833,160.5217391,192,107.6307692,160.8461538,151.3846154,NA
BEN,AFRO,Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.75073314,47.00904977,44.93861893,52.1797235,58.71451876,56.3767507,54.96875,70.08571429,55.66666667
BFA,AFRO,Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.0764331,128.2975207,102.5805085,125.0452555,139.0269542,117.0379009,142,151.8359788,50.4
BGD,SEARO,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.412,56.37899073,67.98398719
BGR,EURO,Bulgaria,NA,NA,NA,NA,NA,126,NA,NA,NA,246,312,NA,456,111.5126582,115.7691594,123,48,132,NA,NA,288,NA
BHR,EMRO,Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,39,274.3333333,NA,NA,NA,NA,NA,NA,NA,NA
BHS,AMRO,Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,EURO,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.8571429,364.5663717,NA,NA
BLR,EURO,Belarus,NA,NA,NA,NA,NA,NA,129,354.9473684,192,540,300.5490196,300,NA,NA,540,308.9411765,214.8,363.875,368.234375,334.5,219.2857143,412
BLZ,AMRO,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMU,AMRO,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,AMRO,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRB,AMRO,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,WPRO,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,220.5,232,NA
BTN,SEARO,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.3333333,120,NA
BWA,AFRO,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.649789,155.8035714,110.5,79.14285714,96,86,NA,NA,NA
CAF,AFRO,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.33333333,75.5,77.93055556,60.34848485,55.81132075,55.70935961,95.77227723,69.78911565,91.66666667
CAN,AMRO,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343
CHE,EURO,Switzerland,NA,NA,NA,NA,NA,NA,NA,198.5027933,215.2941176,250.5714286,220.4651163,192.6563636,232.7488839,244.8125,263.6,255.5583333,350.7727273,211.5789474,263.25,293.625,264.3870968,257.0769231
CHL,AMRO,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,371.6666667,NA,NA,NA,277.6666667,NA,NA
CIV,AFRO,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.23602484,41.65668203,48.15428571,68.71323529,37.42222222,55.65116279,76.02631579,90.71111111,150.9
CMR,AFRO,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.11494253,63.77729258,59.86792453,52.00656814,44.71756757,68.72713643,60.60684705,71.65540541,58.36842105
COD,AFRO,"Congo, Democratic Republic of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.66666667,40.69273743,59.04871626,62.99912011,76.26171244,61.79337349,41.89391796,52.96165192,48.2641369
COG,AFRO,Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,17.25,77.78195489,73.4125,61.31896552,90.40298507,52.44436256,48.50787402,42.58064516
COL,AMRO,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.8333333,420,684,NA,276,NA,NA
COM,AFRO,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,NA
CPV,AFRO,Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,AMRO,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,AMRO,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,EURO,Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,NA,143,NA,151.125,NA,0,NA,220.8,NA,NA,NA
CZE,EURO,Czech Republic,NA,NA,NA,NA,NA,NA,306,154.5517241,176.8235294,NA,408,78,422.5,323.8,NA,367.3333333,336,366.4,366.3783784,262.5,296.5714286,201.5172414
DEU,EURO,Germany,NA,NA,NA,NA,NA,NA,NA,174.6865672,209.9016393,227.1807229,211.0665054,177.1237113,161.2387677,182.2664165,196.1723202,181.3855503,239.9166667,219.511811,221.6528926,204.6747891,192.1553398,176.0816327
DJI,EMRO,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,159.3333333,108,110.4,NA,169.7142857,NA,NA,177.8333333,141.6,NA,NA
DMA,AMRO,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,EURO,Denmark,NA,NA,NA,NA,NA,NA,102,NA,NA,186,133.3333333,192,205.8333333,103.625,187,171,276,184.2352941,242.0689655,138.6666667,96,300
DOM,AMRO,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA
DZA,AFRO,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.2727273,209.1025641,66,NA,NA,157.5967742,224.6041667,NA
ECU,AMRO,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,NA,NA,60.54545455,109.0714286,NA,NA,NA,192,NA
EGY,EMRO,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.2590799,125.7296173,183.2731629,196.2519685,103.8571429,146.375,126.0746888,88.30582524,96.86103352,97.42110434,210.5632184,113.6923077
ERI,AFRO,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.6666667,261.4,230.9285714,285.2666667,303.4545455,37,300.5393258,260,77.35714286
ESP,EURO,Spain,NA,NA,NA,NA,NA,NA,NA,195.9661017,222.2727273,89.6,138.5714286,173.8498024,190.7709251,148.9428571,164.6217228,208.1080259,221.8644068,268.7804878,312.3221477,214.6285714,230.7428571,319.7142857
EST,EURO,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,152.8888889,24,NA,NA,NA,317.1428571,384,48,NA,465,558,NA
ETH,AFRO,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.32299084,88.78024868,139.0897372,96.74463172,105.6413296,131.5260404,104.5416051,87.56343985,136.5568862
FIN,EURO,Finland,NA,NA,NA,NA,480,480,NA,NA,NA,480,NA,NA,228.4,88.33333333,328.4,210.2068966,384,498,324,360,254.4,NA
FJI,WPRO,Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2,NA
FRA,EURO,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,299.6818182,172.1657459,178.0789474,202.0946237,212.6824147,214.2967742,232.3308271,195.7460317,187.2653061,269.6603774,169.4716981
FSM,WPRO,"Micronesia, Federated States of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.9801587,NA,NA,NA
GAB,AFRO,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,13,15.5,64.40163934,42.15151515,52.18518519,51.48731642,58.14044944
GBR,EURO,United Kingdom,NA,NA,NA,NA,NA,NA,NA,182.9494949,113.8787879,128,139,115.0845624,134.8994452,116.624892,166.9974747,175.5235457,146.2890173,158.3052632,181.2262774,177.3913043,229.4921191,135.75
GEO,EURO,Georgia,NA,NA,NA,NA,NA,NA,201.8181818,222,224.6428571,183.75,244.5,114,24,54,114,200.7272727,12,251.4076555,231.2620424,190.0566038,278.6,NA
GHA,AFRO,Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.83157895,81.11111111,95.6446281,81.05194805,61.74418605,67.05785124,72.39130435,51.64285714,65
GIN,AFRO,Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.88732394,105.7307692,62.42857143,12.5,42.63157895,38.91428571,54.78571429,49.28455285,58.76923077
GMB,AFRO,Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,36,41.91304348,92.02631579,NA
GNB,AFRO,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.55555556,NA,NA,NA,NA,NA,NA,NA
GNQ,AFRO,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,18.8,24.25,114.2791069,33.13844326,346
GRC,EURO,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.7692308,262.8837209,NA,10,289,161.8984375,334.6666667,140,344,504,360,NA,NA
GRD,AMRO,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,AMRO,Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUM,WPRO,Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
GUY,AMRO,Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKG,WPRO,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.9411765,131.35,169.6923077,145.8571429,147.6666667,47.33333333,231.9117647,203.4130435,258.8333333,323.6666667,480
HND,AMRO,Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,EURO,Croatia,NA,NA,NA,NA,NA,NA,NA,379.2857143,407.1111111,NA,NA,NA,241.3181818,459,277.5714286,231.3333333,148,NA,230,211.3576642,534,298.2857143
HTI,AMRO,Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,EURO,Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,276,NA,NA,409,NA,153.6,336,12,NA,NA,NA,461.6
IDN,SEARO,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.60808081,102.8393064,125.7333333
