"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Belize",8.08549123995864,8.47136031194739,8.58628799010874,8.77417419833459,9.12274053415674,9.48922344382413,9.87663327399562,10.2828718967483,10.7401483569372,11.1570342634488,11.721646811993,13.6711127629891,14.2060619585012,14.7646627485452,15.4301438252443,10.8984144445701,11.2555346097715,11.6016098151637,11.9682194624342,12.8106675755847,13.1533164441709,13.6041114253108,13.9552078122234,14.3173758548644,14.6868859101762,14.985474515209,15.1157022428293,15.2641380334135
"Benin",6.40331880656056,6.8322587439851,7.1528665651964,7.46000565884507,7.82600782929339,8.0752725326888,7.99256541526494,7.92554981902784,7.8972243247619,7.88617742947241,7.94739023352603,8.01011273600141,12.1923205093589,9.50311015673345,12.1801484976108,9.37971341525292,12.6858575868548,10.2675524884389,8.99326289636168,13.5233778096717,11.0223269310896,9.63856084118957,13.9457110418498,11.2418042997828,9.6190515621557,8.70325461986176,8.13619755780165,7.8352637598403
"Bhutan",7.86681705784883,8.53819513814918,9.04432740180253,9.43042915383285,9.70079039406143,9.84029369250043,10.1408100977257,10.3976152770155,10.423997506313,10.411496968311,10.3607348303988,14.5196419149171,12.3746023810458,11.4008802860472,11.1161127928925,11.1588075902676,11.2247267162704,8.06265084780691,7.80309219163789,7.68617931429259,7.72047558203031,7.96099727642479,8.25345207746718,8.55188344675937,8.86217395886238,9.20627179830265,9.48358936207542,9.78224831403652
"Bolivia",7.3054276586757,7.36165146805558,7.44183003626637,7.35156905593479,7.10748122239747,6.64480024821265,6.4686069365786,6.39072765753621,6.50527811001069,6.89642675116217,7.39942677320557,6.7046121332244,6.43065493060665,6.68054323539634,7.40768867225963,7.29284693350093,7.27549916647492,6.66045232984861,7.22434186705055,7.52757489891394,7.75461402310191,8.08895150913732,8.59138216271806,9.09151591858971,9.58921752056484,10.0812071507558,10.527062196913,10.9694364711921
"Bosnia and Herzegovina",6.91114469011102,7.00200565325825,7.33880252513583,7.83050198725248,8.18367070192079,8.63441291544725,9.05876324127958,9.61529485538496,10.1597396045223,10.5769558265538,10.7999942978118,11.2674601034516,11.7958487135575,12.1148105701299,12.4255413953339,12.8498480209226,12.6677325872533,12.5714009702771,12.3601169532887,12.1162536534722,12.0630550618277,12.0349042750934,12.1314343636822,12.3599508495397,12.5505725105923,12.7163982513963,12.8766816434131,13.018608384407
"Botswana",10.0820163828485,10.2370231323638,10.3487550119681,10.5286557681848,10.5638155539912,10.4062105994313,10.2286999805203,10.0793446655572,9.82149940526806,9.58198022443857,9.52425552385825,9.5246674038827,9.57825395673547,9.69449833693613,9.87092617437751,10.0938998210573,12.1985864209468,12.1595159861658,12.1767406491578,12.2390921901275,13.9537469869085,13.7815496500388,13.6787056267543,13.630329920454,14.1629332385574,14.11624983441,14.1127762405081,14.1489559331579
"Brazil",8.78736508053,9.15631169862754,9.63319300048235,10.0435473537053,10.1983522118606,10.3960454710314,10.6428490005485,11.0512504326676,11.6559987171088,12.2270077016044,12.7950566855608,14.3314888662348,9.71947000953233,9.57581323915412,9.97318124499215,10.379483450039,10.8590838106189,11.3524142967567,11.8545152632063,12.3602432452609,12.8655208518853,13.3086065123999,14.9051801649478,15.2580983053613,15.6074077027486,15.9470135227173,16.26592207694,16.598303280944
"Brunei",12.2343545631579,12.5201614539564,12.7491953983223,13.0513284179719,13.4720562082916,13.9023537619927,14.446030334141,15.0169752848755,15.6148072624039,16.1954170580011,16.7894219431373,17.3331041455106,17.8704054394293,18.3981430311499,18.9147544752888,19.4201419241694,19.944626496193,20.4592271527903,20.964604173397,21.4622656929849,21.9340624218159,22.2100021335572,22.5120650601559,22.9143795418735,23.3283222225855,23.7518595534815,24.1298237849917,24.4962034647797
"Bulgaria",13.7433508753672,14.1764049821757,14.4912761118223,14.44376889957,14.4818732288726,14.7219404069271,14.8364719099185,14.880503642013,14.9134224707251,15.0082730590604,14.8250932698068,14.2110045853383,13.7432996745133,13.507784400588,13.3912362369221,13.2633233794653,12.912883196262,12.5519759974596,12.1853781068362,11.8179520518196,11.4517964480014,11.2100409132773,10.9084911060062,10.654562926569,10.4456639448167,10.2742160160149,10.0744091706073,9.9030430430816
"Burkina Faso",6.96431879044744,7.3419746640103,7.49604123064453,7.35834420377705,6.97728149195796,6.6184392669338,6.40606195886943,6.21072284574488,5.94323075203149,5.78227799650358,5.84490336464147,6.12110953229485,10.6119916587562,8.81824431085434,8.17750507278361,12.6180341290551,11.3637791744385,10.9835622366531,13.8224113883195,13.2524871511736,13.9983142118195,12.8728868814168,13.8035504796633,12.1248718769398,10.88530453708,10.1072081683856,9.5603655849942,9.22704768457172
