ISO 3 code,Country,WHO Region,MCV2_Intro_Year,MCV2_Intro_part_of_country
AFG,Afghanistan,EMR,2004,n/a
ALB,Albania,EUR,2001,n/a
DZA,Algeria,AFR,1997,1997
AND,Andorra,EUR,1991,n/a
AGO,Angola,AFR,n/a,n/a
ATG,Antigua and Barbuda,AMR,1997,n/a
ARG,Argentina,AMR,1998,n/a
ARM,Armenia,EUR,1986,n/a
AUS,Australia,WPR,1994,n/a
AUT,Austria,EUR,1973,n/a
AZE,Azerbaijan,EUR,2001,n/a
BHS,"Bahamas, The",AMR,2001,n/a
BHR,Bahrain,EMR,1994,1985
BGD,Bangladesh,SEAR,2012,n/a
BRB,Barbados,AMR,1997,n/a
BLR,Belarus,EUR,1987,n/a
BEL,Belgium,EUR,1994,n/a
BLZ,Belize,AMR,2005,n/a
BEN,Benin,AFR,n/a,n/a
BTN,Bhutan,SEAR,2006,n/a
BOL,Bolivia,AMR,n/a,n/a
BIH,Bosnia and Herzegovina,EUR,1971,n/a
BWA,Botswana,AFR,2011,n/a
BRA,Brazil,AMR,2004,1992
BRN,Brunei,WPR,1988,n/a
BGR,Bulgaria,EUR,1983,n/a
BFA,Burkina Faso,AFR,2014,n/a
BDI,Burundi,AFR,2013,n/a
KHM,Cambodia,WPR,2012,n/a
CMR,Cameroon,AFR,n/a,n/a
CAN,Canada,AMR,1997,1996
CPV,Cabo Verde,AFR,2010,n/a
CAF,Central African Republic,AFR,n/a,n/a
TCD,Chad,AFR,n/a,n/a
CHL,Chile,AMR,1992,n/a
CHN,China,WPR,1986,n/a
COL,Colombia,AMR,1997,n/a
COM,Comoros,AFR,n/a,n/a
COG,"Congo, Republic of the",AFR,n/a,n/a
COK,Cook Islands,WPR,1982,1982
CRI,Costa Rica,AMR,1992,n/a
CIV,Cote d'Ivoire,AFR,n/a,n/a
HRV,Croatia,EUR,1968,n/a
CUB,Cuba,AMR,2004,n/a
CYP,Cyprus,EUR,1989,n/a
CZE,Czech Republic,EUR,1975,n/a
PRK,"Korea, North",SEAR,2008,n/a
COD,"Congo, Democratic Republic of the",AFR,n/a,n/a
DNK,Denmark,EUR,1987,n/a
DJI,Djibouti,EMR,2011,n/a
DMA,Dominica,AMR,2001,n/a
DOM,Dominican Republic,AMR,n/a,n/a
ECU,Ecuador,AMR,2009,n/a
EGY,Egypt,EMR,1999,n/a
SLV,El Salvador,AMR,2000,n/a
GNQ,Equatorial Guinea,AFR,n/a,n/a
ERI,Eritrea,AFR,2012,n/a
EST,Estonia,EUR,1994,n/a
ETH,Ethiopia,AFR,n/a,n/a
FJI,Fiji,WPR,2003,n/a
FIN,Finland,EUR,1982,n/a
FRA,France,EUR,1996,n/a
GAB,Gabon,AFR,n/a,n/a
GMB,"Gambia, The",AFR,2012,n/a
GEO,Georgia,EUR,1997,n/a
DEU,Germany,EUR,1991,1986
GHA,Ghana,AFR,2012,n/a
GRC,Greece,EUR,1994,n/a
GRD,Grenada,AMR,2000,n/a
GTM,Guatemala,AMR,n/a,n/a
GIN,Guinea,AFR,n/a,n/a
GNB,Guinea-Bissau,AFR,n/a,n/a
GUY,Guyana,AMR,2001,n/a
HTI,Haiti,AMR,n/a,n/a
HND,Honduras,AMR,n/a,n/a
HUN,Hungary,EUR,1989,n/a
ISL,Iceland,EUR,1976,n/a
IND,India,SEAR,2011,2010
IDN,Indonesia,SEAR,2005,2004
IRN,Iran,EMR,1963,n/a
IRQ,Iraq,EMR,1989,n/a
IRL,Ireland,EUR,1992,n/a
ISR,Israel,EUR,1994,n/a
ITA,Italy,EUR,2004,1998
JAM,Jamaica,AMR,2002,n/a
JPN,Japan,WPR,2006,n/d
JOR,Jordan,EMR,1995,n/a
KAZ,Kazakhstan,EUR,1995,n/a
KEN,Kenya,AFR,2013,n/a
KIR,Kiribati,WPR,2007,n/a
KWT,Kuwait,EMR,1996,n/a
KGZ,Kyrgyzstan,EUR,1986,n/a
LAO,Laos,WPR,n/a,n/a
LVA,Latvia,EUR,1986,n/a
LBN,Lebanon,EMR,1995,n/a
LSO,Lesotho,AFR,1981,n/a
LBR,Liberia,AFR,n/a,n/a
LBY,Libya,EMR,1994,n/a
LTU,Lithuania,EUR,1992,n/a
LUX,Luxembourg,EUR,1997,n/a
MDG,Madagascar,AFR,n/a,n/a
MWI,Malawi,AFR,2015,n/a
MYS,Malaysia,WPR,2002,2002
MDV,Maldives,SEAR,2007,n/a
MLI,Mali,AFR,n/a,n/a
MLT,Malta,EUR,1989,1989
MHL,Marshall Islands,WPR,1998,n/a
MRT,Mauritania,AFR,n/a,n/a
MUS,Mauritius,AFR,2003,n/a
MEX,Mexico,AMR,1993,n/a
FSM,"Micronesia, Federated States of",WPR,1995,1995
MCO,Monaco,EUR,1996,n/a
MNG,Mongolia,WPR,1989,1987
MNE,Montenegro,EUR,1994,n/a
MAR,Morocco,EMR,2014,n/a
MOZ,Mozambique,AFR,2015,n/a
MMR,Burma,SEAR,2012,2008
NAM,Namibia,AFR,2015,n/a
NRU,Nauru,WPR,2005,n/a
NPL,Nepal,SEAR,2015,n/a
NLD,Netherlands,EUR,1987,n/a
NZL,New Zealand,WPR,1992,n/a
NIC,Nicaragua,AMR,n/a,n/a
NER,Niger,AFR,2014,n/a
NGA,Nigeria,AFR,n/a,n/a
NIU,Niue,WPR,1975,n/a
NOR,Norway,EUR,1983,1983
OMN,Oman,EMR,1994,n/a
PAK,Pakistan,EMR,2009,n/a
PLW,Palau,WPR,1994,n/a
PAN,Panama,AMR,1992,n/a
PNG,Papua New Guinea,WPR,2016,n/a
PRY,Paraguay,AMR,2004,n/a
PER,Peru,AMR,2007,n/a
PHL,Philippines,WPR,2010,2009
POL,Poland,EUR,1991,n/a
PRT,Portugal,EUR,1990,n/a
QAT,Qatar,EMR,1996,n/a
KOR,"Korea, South",WPR,1997,n/a
MDA,Moldova,EUR,2002,n/a
ROU,Romania,EUR,1979,n/a
RUS,Russia,EUR,1987,n/a
RWA,Rwanda,AFR,2014,n/a
KNA,Saint Kitts and Nevis,AMR,1997,n/a
LCA,Saint Lucia,AMR,1991,n/a
VCT,Saint Vincent and the Grenadines,AMR,1997,n/a
WSM,Samoa,WPR,2005,n/a
SMR,San Marino,EUR,2001,n/a
STP,Sao Tome and Principe,AFR,2013,n/a
SAU,Saudi Arabia,EMR,1991,n/a
SEN,Senegal,AFR,2014,n/a
SRB,Serbia,EUR,1994,n/a
SYC,Seychelles,AFR,1989,n/a
SLE,Sierra Leone,AFR,2016,n/a
SGP,Singapore,WPR,1998,n/a
SVK,Slovakia,EUR,1977,n/a
SVN,Slovenia,EUR,1974,n/a
SLB,Solomon Islands,WPR,n/a,n/a
SOM,Somalia,EMR,n/a,n/a
ZAF,South Africa,AFR,1994,n/a
SSD,South Sudan,AFR,n/a,n/a
ESP,Spain,EUR,1996,1988
LKA,Sri Lanka,SEAR,2001,2001
SDN,Sudan,EMR,2012,n/a
SUR,Suriname,AMR,2005,n/a
SWZ,Swaziland,AFR,1995,n/a
SWE,Sweden,EUR,1982,n/a
CHE,Switzerland,EUR,1996,n/a
SYR,Syria,EMR,1993,n/a
TJK,Tajikistan,EUR,1986,n/a
THA,Thailand,SEAR,1999,1996
MKD,Macedonia,EUR,1987,n/a
TLS,Timor-Leste,SEAR,n/a,n/a
TGO,Togo,AFR,n/a,n/a
TON,Tonga,WPR,2002,n/a
TTO,Trinidad and Tobago,AMR,2001,n/a
TUN,Tunisia,EMR,1981,n/a
TUR,Turkey,EUR,1997,n/a
TKM,Turkmenistan,EUR,1988,n/a
TUV,Tuvalu,WPR,2005,n/a
UGA,Uganda,AFR,n/a,n/a
UKR,Ukraine,EUR,1986,n/a
ARE,United Arab Emirates,EMR,1985,n/a
GBR,United Kingdom,EUR,1996,n/a
TZA,Tanzania,AFR,2014,n/a
USA,United States,AMR,1989,n/a
URY,Uruguay,AMR,1992,n/a
UZB,Uzbekistan,EUR,1986,n/a
VUT,Vanuatu,WPR,n/a,n/a
VEN,Venezuela,AMR,2009,n/a
VNM,Vietnam,WPR,2006,n/a
YEM,Yemen,EMR,2004,n/a
ZMB,Zambia,AFR,2013,n/a
ZWE,Zimbabwe,AFR,2016,n/a
