"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"BGR",203.527614254255,196.796779923664,192.268260711155,192.957421387267,192.095767854308,193.043612739424,193.040623873838,192.015486130132,192.541444013107,191.360374647797,191.981337092771,166.044573846904,167.831184473881,194.200219747975,187.195857322822,190.087374218877,188.931875372919,188.326593030143,187.187546676946,189.11864844454,186.66823458321,187.01161591965,185.461964159307,186.593614077098,185.215232906691,185.424531170149,184.918583567469,183.509835672887,184.970019681179,168.717953154645,157.666443679283,186.341303897374
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1312485928429,31.7296779635221,42.7381346757388,126.546135516064,33.2996288411027,62.2339750056897,30.7368412932636,15.7593596881035,24.0095374907436,17.5358191028745,33.1483358026364,18.0776903229477,14.3166134321712,15.830282778169,15.7983945052323,15.3123719757816,29.9512138245546,12.2765446465843,14.1341701191788,16.8323758592098,14.0781142884672,15.8818660412376
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",131.904608776167,216.239832951708,160.41835265093,156.880525462353,100.801889813875,114.911982385874,84.7223726982031,54.5700868777281,71.2896909273947,25.9618191024932,49.0398555705728,21.3244939482995,55.8734100244823,72.473839815523,24.9062690547072,9.74235403284644,23.8272449158945,18.7234370354693,138.195372024082,46.7893852093761,79.1290784170416,17.510721284079,11.7717839424297,10.9124834938923,10.6450816322507,8.6609792838964,19.4801689917528,19.2073150739912,12.509155047948,13.0156583842664,10.1887976401808,9.21609499713055
"BWA",850.809562435742,698.165205473419,1861.67289908996,895.134806565191,717.949557444291,604.624120553743,457.802945991958,552.466032174914,1212.5383210763,618.443748244259,509.188592604248,511.325542874784,1543.6682941939,818.261679819557,503.057889994958,577.942887007667,1397.32521518811,491.026786470757,445.072805883731,973.28966303402,426.657318729552,415.538668085908,434.054363130753,434.671253031476,441.679920333816,348.17967646682,479.128996961252,505.769325864469,533.726633417064,415.568313186525,467.609155728757,474.747700196434
"CAF",6673.23471039783,4198.67254960794,2815.61707619779,11149.0885988379,4015.41341818223,3108.32542926806,3613.34283374927,3269.16605488582,1230.61556963327,2673.80446008668,6515.36519052252,4136.45163450757,2550.93068761185,6313.60748195443,1951.61868118938,1169.24066832565,1034.50779823135,980.65992794881,1500.86682736466,5612.11382609518,4562.54616178408,2108.86641034813,1635.38875940318,2360.73291585556,1404.0084675462,823.695186771481,812.409303546054,703.946789992276,831.836618131902,681.775619425994,1634.69548442344,944.498676108657
"CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
