,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,32455,31107,20320,18808,16199,14457,8107,10357,4561,1170,1609,792,,,,,,,2205,3609,6532,8762,2486,798,466,1296,1990,1141,1599,2861,1989,3013,2787
AGO,29656,19714,30067,22589,22685,22822,15580,13368,21009,19820,29069,18382,16772,9273,5480,635,251,8183,2576,350,2219,9046,11945,1196,29,258,765,1014,265,2807,1190,1449,4458
ALB,,,3,17,0,0,0,0,0,136034,,0,0,7,29,15,1204,2386,1901,797,662,18,16,8,7,6,68,22,,0,10,,0
AND,,,,,,,,,,,,,,,,,,5,,2,2,5,1,0,0,0,0,0,0,0,0,0,0
ARE,2796,2820,1691,2105,1749,2400,2158,2913,1187,1068,1187,1148,1063,745,518,671,425,243,296,117,69,30,53,42,22,29,,,55,,87,,132
ARG,16102,17582,4432,7106,31751,9240,6448,8024,4751,4009,1967,42093,20551,5087,134,655,59,125,10229,313,6,0,0,0,0,0,0,0,0,3,17,3,2
ARM,,,,,,,,,,,879,192,46,338,149,187,2027,802,52,41,15,69,40,4,1783,2281,137,1,0,0,2,0,0
ATG,2291,247,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,,,,,,,,,248,169,880,1380,1425,4536,4895,1198,498,853,327,235,108,141,32,91,70,10,,11,65,104,70,190,199
AUT,,,,,,,,,,,,,,60,,,,0,0,1,,0,,90,15,9,23,20,448,49,52,68,0
AZE,,,,,,,,,,,2026,6122,535,1321,6478,474,151,678,2891,1081,210,574,4353,1978,827,1238,222,0,5,,0,0,0
BDI,49227,58970,42051,49302,28587,36740,39631,23297,33261,28014,13282,10397,22344,23869,7192,14782,16099,1273,1449,2928,18363,,1016,224,2,0,784,43,173,305,495,129,49
BEL,,,,,,,,,47616,81044,,7216,9565,7373,11346,10650,7221,3869,0,,,83,,44,61,26,15,64,98,33,40,576,0
