,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,13180431,12963788,12634494,12241928,11854205,11528977,11262439,11063107,11013345,11215323,11731193,12612043,13811876,15175325,16485018,17586073,18415307,19021226,19496836,19987071,20595360,21347782,22202806,23116142,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536
AGO,7637141,7901870,8190093,8489864,8784753,9063646,9320678,9561022,9798055,10051133,10333844,10652727,11002758,11372156,11743432,12104952,12451945,12791388,13137542,13510616,13924930,14385283,14886574,15421075,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525
ALB,2734776,2799345,2863902,2930351,3001325,3077930,3162225,3251512,3336434,3404408,3446882,3459763,3446858,3417280,3384367,3357858,3341043,3331317,3325456,3317941,3304948,3286084,3263596,3239385,3216197,3196130,3179573,3166222,3156608,3151185,3150143,3153883,3162083
AND,37328,39226,41390,43636,45702,47414,48653,49504,50236,51241,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165,86165
ARE,1014825,1090660,1155765,1215380,1277300,1347218,1426915,1514798,1609170,1707085,1806498,1908002,2012977,2121143,2232159,2346305,2470810,2608993,2753498,2893648,3026352,3132104,3223969,3369254,3658658,4148883,4875639,5797347,6798635,7718319,8441537,8925096,9205651
ARG,28120135,28550123,28989069,29435404,29886564,30340419,30796481,31254574,31713147,32170407,32624874,33075194,33520803,33961947,34399343,34833168,35264070,35690778,36109342,36514558,36903067,37273361,37627545,37970411,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927
ARM,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3059960,3047002,3036032,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081
ATG,70301,69750,68950,67958,66863,65744,64605,63484,62538,61967,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85349,86300,87233,88152,89069
AUS,14708323,14898018,15101223,15318246,15548585,15791043,16047453,16316143,16588048,16851083,17096869,17321654,17528564,17724669,17920592,18124234,18339037,18563442,18794552,19027438,19259377,19487257,19714625,19953121,20218481,20520736,20865583,21246274,21645095,22037143,22404488,22740536,23050471
AUT,7555154,7549957,7551369,7557842,7566601,7575891,7584216,7592974,7606570,7631039,7670001,7726437,7797197,7872361,7938225,7985372,8009345,8014124,8009051,8007843,8020262,8049440,8091804,8142322,8193157,8238604,8277393,8311463,8342129,8371711,8401924,8432890,8463948
AZE,6163990,6261942,6362289,6464775,6568857,6674107,6779970,6886428,6994139,7104058,7216503,7332519,7450920,7567156,7675128,7770806,7852273,7921745,7984460,8047936,8117742,8195427,8279768,8370169,8465127,8563398,8665006,8770122,8877669,8986266,9094718,9202432,9308959
BDI,4126538,4239795,4359379,4486938,4624850,4774155,4935642,5106707,5280833,5449339,5605873,5749774,5882679,6003704,6112449,6209923,6294482,6369573,6447672,6545273,6674286,6839376,7037727,7264340,7510771,7770392,8042579,8328312,8624280,8926687,9232753,9540362,9849569
BEL,9855747,9865512,9872709,9878636,9885088,9893499,9903895,9916261,9931873,9952253,9978241,10011073,10049941,10091158,10129627,10161914,10186767,10205970,10222896,10242449,10268380,10300775,10338969,10384953,10440977,10508080,10587731,10678058,10772572,10862441,10941288,11006632,11060095
BEN,3718024,3822206,3931355,4045352,4163968,4287263,4414450,4546136,4685375,4836240,5001271,5182525,5378226,5582420,5786794,5985658,6176318,6361301,6546493,6740491,6949366,7174911,7414744,7665681,7922796,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702
BFA,6822840,6985158,7158256,7340907,7531244,7727912,7930690,8140076,8356306,8579825,8811033,9050090,9297116,9552473,9816586,10089876,10372562,10664982,10967836,11281942,11607944,11946080,12296399,12659086,13034258,13421929,13822257,14235075,14659646,15094967,15540284,15995313,16460141
BGD,82498440,84764142,87060582,89399666,91804318,94287722,96851505,99476987,102133217,104779345,107385847,109934590,112430968,114897543,117369492,119869585,122400896,124945315,127478524,129966823,132383265,134729503,137006279,139185986,141235035,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368
BGR,8865235,8891245,8916713,8939007,8954518,8960387,8956741,8943721,8918660,8878348,8821111,8745409,8653532,8552438,8451634,8358116,8274592,8199715,8131424,8065947,8000510,7934973,7870488,7806995,7744575,7683264,7622852,7563141,7504206,7446197,7389175,7333122,7277831
BHR,359902,374125,385950,396447,407223,419425,433491,449006,465254,481142,495944,509645,522751,535711,549170,563730,579697,597400,617537,640913,668239,698749,732541,772058,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827
BHS,210660,215404,220274,225184,230014,234684,239135,243397,247585,251863,256338,261102,266097,271105,275820,280050,283678,286845,289926,293442,297759,303005,309039,315624,322400,329088,335622,342049,348340,354492,360498,366331,371960
BIH,4099903,4138160,4175238,4215148,4263393,4321966,4399257,4489555,4564265,4584734,4526511,4373715,4143068,3882548,3659409,3520996,3485575,3535998,3640821,3752004,3834364,3879353,3897579,3895779,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916
BLR,9658658,9724027,9791955,9861395,9930816,9998629,10065016,10128929,10186074,10230977,10259860,10270813,10265144,10246346,10219676,10189075,10156258,10120556,10080772,10034775,9981460,9920173,9852866,9784111,9719991,9664714,9620359,9585368,9555801,9525785,9491070,9450391,9405097
BLZ,144151,147566,151498,155820,160342,164916,169547,174250,178906,183368,187552,191368,194894,198420,202348,206962,212375,218484,225083,231860,238586,245198,251766,258346,265040,271920,278985,286196,293544,301016,308595,316280,324060
BOL,5368901,5497112,5628347,5762673,5900127,6040757,6184440,6331219,6481463,6635658,6794046,6956736,7123294,7292745,7463773,7635362,7806953,7978521,8150214,8322408,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285
BRA,121740438,124610790,127525420,130455659,133364277,136223043,139023394,141767626,144452622,147078659,149648341,152153539,154597985,157011131,159432909,161890816,164392423,166925457,169472347,172006362,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019
BRB,248784,249696,250780,251979,253193,254354,255450,256500,257497,258443,259336,260175,260963,261714,262441,263165,263884,264606,265370,266220,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221
BRN,193049,199128,205053,210925,216885,223041,229413,235982,242758,249743,256929,264332,271935,279652,287370,295003,302511,309904,317214,324501,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238
BTN,412745,424082,434592,445008,456362,469244,484390,501192,517306,529519,535738,534905,528304,519056,511588,509105,512594,521146,533737,548599,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822
BWA,997534,1034324,1071254,1108461,1146205,1184657,1223738,1263269,1303192,1343440,1383912,1424513,1465072,1505303,1544865,1583453,1620989,1657349,1692148,1724924,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910
CAF,2274089,2340047,2411118,2484402,2555936,2622989,2684214,2740708,2795175,2851604,2912824,2979588,3050789,3125144,3200633,3275695,3350299,3424733,3498140,3569523,3638316,3704045,3767248,3829636,3893595,3960897,4032102,4106897,4185106,4266247,4349921,4436217,4525209
CAN,24511056,24763800,25012782,25267944,25542032,25843476,26176653,26537301,26914365,27291856,27657790,28009467,28349228,28676325,28991240,29294899,29586368,29866502,30140562,30415664,30697425,30986788,31283746,31591631,31914080,32253092,32610984,32985806,33369898,33752618,34126240,34487414,34837978
CHE,6303608,6315799,6341369,6376791,6416275,6455680,6493442,6531160,6571461,6618268,6673920,6739995,6814186,6890300,6959860,7017042,7059633,7090176,7113505,7136813,7165581,7200783,7241511,7289079,7344597,7408608,7482167,7564712,7653062,7742768,7830534,7915200,7997399
CHL,11192384,11363219,11543263,11731654,11926647,12126956,12331704,12541298,12757095,12981032,13213930,13456476,13706485,13958378,14204726,14440103,14662323,14872458,15072409,15265536,15454402,15639289,15819522,15995658,16168241,16337749,16504530,16668892,16831184,16991729,17150760,17308449,17464814
CHN,984015677,998075246,1012533792,1027787912,1044293499,1062299217,1082028485,1103201960,1124927784,1145975504,1165428967,1183008409,1198875063,1213103674,1225921585,1237531429,1247897092,1257021784,1265222536,1272915272,1280428583,1287890449,1295322020,1302810258,1310414386,1318176835,1326146433,1334343509,1342732604,1351247555,1359821465,1368440300,1377064907
