"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"BHS",225,250,14340,180,130,425,210,110,295,360,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17944.7463884784,16960.3847183906,26229.7957127435,110659.268425337,23844.9410311041,19964.054694462,33305.4016721815,21794.1079793567,15399.8602034088,7836.96614866163,7265.61507381852,4535.66167342558,3323.57251329525,3283.22296807149,2983.12878458052,2685.22475504212,13771.7845352821,5020.13392951717,3704.41469847141,4376.98399948031,2787.54530821104,2678.55141264829
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,6755,11620,19370,4100,7580,1975,675,2585,765,105,225,70,105,10,5,745,5,0,0,5,250,50
"BLZ",930,30,55,20,35,620,1120,370,10,125,35,55,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",38270,3600,10170,6350,1085,1730,4935,8965,3345,4100,10540,24685,16955,7205,380,35,35,5020,7205,610,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",306405,196850,291295,404375,379965,645630,330295,130895,114265,307175,212685,39670,30185,175,3965,2900,261420,13905,4540,180,5,5,10,0,30,285,0,0,0,340,215,10
"BRB",205,30,30,25,35,10,10,5,10,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",3875,1215,2790,2705,3085,2200,315,140,195,60,NA,255,250,NA,NA,NA,65,60,115,210,55,NA,120,80,45,NA,NA,15,10,0,20,5
"BTN",14573.5188953635,24661.8666627079,17930.0343171313,17483.010016842,10854.210968471,12528.6433891882,8976.87544335015,5499.89064309478,7341.10541717793,2793.95645014792,5824.9783445695,2219.27738095983,6681.44980699693,9044.47053642576,2627.13857677408,575.903150581669,2337.27828142449,1886.04214529264,19596.2871986328,5585.66127826485,10068.6463989948,1774.18081921988,965.9775505295,822.703166214094,741.803725178537,371.514335396298,11,93.7443987150197,137.935907096051,300.294750598448,258.940833628062,191.228383209586
"BWA",21121.3657386046,18249.1932817925,78181.6077980373,46197.0022870791,22349.5683186086,14102.8784695113,6972.87649514884,8496.20076854366,38767.7195532856,18253.9899714851,10692.0590439635,8829.38456588129,57161.0776025676,30271.346172169,12576.4606639168,12409.0532108516,52106.7353545727,7225.17042742603,3622.8987480191,21698.2493343607,8070.50002077347,5131.79680373539,4150.7905139806,3392.30219778444,3022.86100258518,908.377968406665,1423.06547544019,1750.71017786467,2623.7784248076,1866.70072100273,2135.20372629851,2261.2240405954
"CAF",161949.344912279,98690.2248555655,62257.4722646501,286409.612608181,94251.1179070492,69786.3770171353,82798.8415342571,73216.5128914085,21298.8926824442,50493.1537950482,156126.543896343,116527.183638148,66863.9212224563,67323.307223189,39663.7910990304,20224.5564926867,16198.6976111355,14896.7795931653,26383.301666808,132805.61115518,109237.677162875,45033.1691898985,31501.6962458501,47810.3023335029,25598.8038254406,2110.77273415531,3935.66086261696,6205.53390610079,1447.06703521814,4912.67569920822,26169.0896366531,6442.76433376852
"CAN",11535,5320,4670,20390,14080,74705,11925,3045,55725,5165,30890,13710,1015,2615,11805,1635,2895,60,145,1030,170,30,75,35,30,65,505,310,70,495,3795,60
"CHE",NA,NA,NA,NA,NA,NA,37000,38000,13500,9950,13500,21500,15000,7000,7000,10000,32000,10000,4000,NA,3500,NA,2870,195,300,NA,5075,10110,4790,385,3105,305
"CHL",32635,47190,33760,23925,85505,62815,13115,225395,65040,9790,10490,5,5,0,0,0,290,30,155,0,0,0,5,0,0,0,0,0,5,0,30,0
"CHN",23640335.1125665,21192734.28416,18240593.2521067,19278501.6869933,13270289.0213946,8012808.19834707,5031137.99682127,3905097.20436797,3411549.16191019,3226711.8193658,4079472.43832871,4713727.32956519,4442557.32284227,3612735.60736508,2859615.71368775,2838394.30419564,3033872.93121524,2569373.52965108,2570897.40755003,2734579.1949808,2811631.21854637,2168321.56880041,2216786.41000429,2209817.19747806,2769577.2875946,2345177.48707027,2484217.05309152,3089681.14870512,1789429.04888878,831940.896994588,664353.244524354,534449.623823264
"CIV",332904.458105594,320131.838852846,176297.910082374,135003.057005219,182138.945281133,527946.374551378,724479.112667541,356857.78482725,380604.324743293,362791.302339555,214668.658588781,301470.321215994,172720.082766545,202873.958147497,719744.199624018,428497.17709483,217397.113849081,249748.94718266,130063.58737672,123476.594160792,123094.951555619,124709.925787984,107427.280623056,77483.830702261,32907.9498028635,2153.72811250459,8549.9712769243,14072.9716660604,6948.08180767215,16613.6637344202,28941.2733758775,7673.53258869952
