"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"BHS",900,1000,57360,720,520,1700,840,440,1180,1440,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40312.9593043409,36259.8505119999,48976.7612921551,145244.080940826,38192.8899718132,71624.7199525942,35224.3793654679,23136.1330493262,35072.8622011765,25577.1927248688,48253.0473616986,26374.8607064752,25529.3373335914,28295.3207494246,28197.6018848125,27494.2946297437,53670.5779482892,22028.7926398178,25285.3438316026,30176.3897183905,25145.2774607243,28454.6943232564
"BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,4480,27020,46480,77480,16400,30320,7900,2700,10340,3060,420,900,280,420,40,20,2980,20,0,0,20,1000,200
"BLZ",3720,120,220,80,140,2480,4480,1480,40,500,140,220,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",153080,14400,40680,25400,4340,6920,19740,35860,13380,16400,42160,98740,67820,28820,1520,140,140,20080,28820,2440,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",1225620,787400,1165180,1617500,1519860,2582520,1321180,523580,457060,1228700,850740,158680,120740,700,15860,11600,1045680,55620,18160,720,20,20,40,0,120,1140,0,0,0,1360,860,40
"BRB",820,120,120,100,140,40,40,20,40,1020,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",15500,4860,11160,10820,12340,8800,1260,560,780,240,NA,1020,1000,NA,NA,NA,260,240,460,840,220,NA,480,320,180,NA,NA,60,40,0,80,20
"BTN",15724.5878012081,25822.2909767911,19111.5311167977,18672.3409522974,11995.4952978938,13692.5698484901,10091.7265734522,6498.58441774091,8489.39884682104,3718.20568538543,7026.17099645701,3055.51899211466,7920.00457972237,10272.7740390751,3514.22563919709,1395.95798469462,3411.90367976149,2679.86245231505,19795.0264409148,6700.12909172989,11338.1537488864,2508.4819021181,1686.29937490552,1563.75855107202,1525.32976775235,1225.99332341427,2759.71022864453,2712.61514988214,1768.15649988058,1842.10265692351,1444.95118673403,1307.62246209186
"BWA",55870.9797933422,45952.6993011425,122422.280210392,58870.5335688384,47202.01025594,39744.7661030837,30113.4851450894,37672.3638983881,82507.6500182779,42078.5658997734,34578.052951233,34782.8637089848,105240.009654696,55648.5927601137,34244.9520187282,39276.9523195219,94999.4921481701,33386.5786543655,30378.8155950128,66317.7320186254,29079.169828174,28369.3503822727,29499.9672407525,29570.2347812146,30212.6939043148,23737.076416028,32711.1545693909,34507.204073519,36415.0441575407,28321.9298349039,31855.2133199325,32316.9267655267
"CAF",186935.529440175,117657.90489369,78962.9777057811,312525.077485761,112778.650994057,87159.398782504,101313.081520999,91679.6206517266,34512.4731549658,74734.7461965112,182165.54220339,136049.329524531,83830.7138032745,176974.924451575,54742.9599933642,32781.3050075513,29016.3142635691,27437.1066479951,42020.8677388585,157742.178242988,127890.419046828,59124.8857403913,45856.4059448341,66124.1526657406,39371.7864164839,23066.2182519222,22750.1861388631,19725.4292524044,27335.121735271,19074.4121104757,45849.7673049828,26448.9671485261
"CAN",46140,21280,18680,81560,56320,298820,47700,12180,222900,20660,123560,54840,4060,10460,47220,6540,11580,240,580,4120,680,120,300,140,120,260,2020,1240,280,1980,15180,240
"CHE",NA,NA,NA,NA,NA,NA,148000,152000,54000,39800,54000,86000,60000,28000,28000,40000,128000,40000,16000,NA,14000,NA,11480,780,1200,NA,20300,40440,19160,1540,12420,1220
"CHL",130540,188760,135040,95700,342020,251260,52460,901580,260160,39160,41960,20,20,0,0,0,1160,120,620,0,0,0,20,0,0,0,0,0,20,0,120,0
"CHN",24752406.2246018,22214397.7902196,19404015.4995941,20897728.8130582,14673283.6755656,9131740.83901585,6089403.30953306,5048499.04200699,4561583.43384648,4411958.90132323,5366925.08636658,5985130.01121361,5619578.57124279,4689517.29930935,3911618.61685734,3974283.4770212,4209875.70865471,3655050.72394666,3708076.6038157,3905873.00422279,4097598.40871345,3350742.11661903,3497604.37770298,3488498.67454997,3876724.83836733,3347562.07982507,3525195.23172676,4108814.47664846,2945210.83700343,1911790.34995651,1738159.67607998,1602110.3846781
"CIV",430947.701716581,382732.292045825,225625.971353966,189030.24038552,246952.73695175,618900.233315078,804176.028261898,413541.442129646,449362.195853557,430999.991793015,270271.479974809,374079.243794422,224885.200386195,485583.342686722,824265.439117747,490055.360165919,270419.390969891,317160.775022987,177995.013647151,182113.163175725,183114.311279561,184958.748311965,163526.30604277,136273.563386161,76349.9651087614,72252.0533912979,77003.6426234227,69315.6455219898,77242.2963089807,80663.6177119833,80444.4491774769,73673.876154965
"CMR",NA,580579.82628076,785379.698504717,500295.05764658,623895.913277369,422286.02610565,250566.4826766,322966.970514934,334397.140234431,295688.96659842,223115.766957353,378166.756271663,198575.464302269,98006.2432410292,86115.173222199,188392.904200034,144467.539923352,174330.821076964,177912.050511672,219309.321159551,332417.261851287,74759.9914627837,68912.8169161389,54337.5089344814,57086.9480164942,53451.9334577503,52557.2339111675,60414.0817842318,53417.4828504584,55907.0131609444,57282.0711207026,57271.1458416412
"COD",1851232.97669894,3556767.36628694,4438965.28548061,4345593.26568621,4603538.04374091,4670703.28619616,4476193.17654567,4321996.80939379,4188886.72392833,3893762.82802721,4348089.84038543,3795912.37791035,3666550.86501558,3925162.91718569,3832695.59583205,3968776.23598909,3901738.60726685,4211555.72902866,4255378.81433431,3999657.02893748,3927436.35089692,4593235.1946917,3464828.60951744,4605699.58490938,1555514.38066409,781467.241088889,680231.41645068,1309167.98675144,1530475.06829377,1708808.3243003,1865017.50195562,774840.988197793
"COG",149643.363205843,225723.401120033,249002.98811959,267335.595073236,145363.436136841,129857.800563897,81189.0789040846,69432.8126768706,69744.7919042974,104147.592655729,108010.052049049,107825.280341356,73073.8745700797,66983.0709760536,86765.4836134197,102938.975377833,78593.4099303663,67940.6990952378,67713.6145668099,78988.9321736451,84134.7094780492,90104.3017593288,98453.8691782401,96686.2597728057,39355.8938702218,60894.7390871174,66038.5764831352,32459.9627755049,56157.6719474652,65853.3480112483,40480.1042985648,50081.0280651288
"COK",1759.12773241346,3035.51508373701,3613.30489851503,4024.13222689403,4304.66075267469,4543.50878570494,4704.62338382683,4838.39142816573,5695.16997312577,4899.66921633448,4490.94050389574,4320.62111749364,4251.97896208151,4298.96961696729,4337.77579887977,4456.05196526878,4564.84686056262,4656.51265007868,1214.63661789681,2271.24660696279,3218.58257037591,4026.2105139205,4722.49685247607,5347.72638792222,5922.32090520264,6456.98252116682,1303.65204087856,2228.05042267361,3114.47044380211,3910.96901192485,4663.3014631525,5393.65485265613
"COL",392240,185460,261980,236980,111440,103600,412400,296020,251960,250400,207820,159520,182100,10500,8200,3200,1340,1220,880,20,60,2780,0,0,0,0,0,0,0,0,120,20
"COM",0,0,0,0,0,0,0,0,3400,46560,0,0,0,40,0,0,0,0,0,NA,NA,0,0,0,18240,1700,0,0,20,0,60,20
"CPV",5681.9346576409,28739.3380968549,31324.4257545757,3896.13054050311,5752.96505308744,19823.4180143729,11469.2417340943,2532.0586106575,2063.02179941334,2023.7425137303,2163.0668773184,2014.40787998498,1917.75731544923,2472.36107364388,2143.17967560933,1956.91371388129,23067.4146812092,7928.77677052557,2393.56126438021,2021.65973852992,1903.32737133557,1877.64505753861,1870.08671789304,1869.71370269134,1873.95277183905,2480.7944001852,2048.13642509793,1976.23314669738,1966.42369433188,2639.42580343803,3169.89206138119,3602.98094736794
"CRI",3400,3340,780,220,20,90680,80080,7160,660,1520,125920,47220,5460,0,700,480,520,540,460,0,0,0,20,0,20,NA,0,0,0,0,0,0
"CUB",367740,468160,65740,66300,57480,66240,17160,2420,240,240,340,240,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",60,540,3660,60,20,20,0,0,0,80,20,400,0,0,0,1100,20,20,0,0,NA,0,0,0,20,0,0,20,0,360,0,20
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,48400,16780,8320,280,180,100,200,280,380,40,180,120,80,600,340,0,140,40,40,100,0,340,440
"DEU",105800,40580,195960,235180,11360,3980,3780,340,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120480,93140,15580,2420,15560,46140,11340,18340,11480,15600,32140,3320
"DJI",NA,28043.916463314,56795.5620673275,112282.002655189,29149.1891286739,59523.7320075081,26133.857286151,53429.9904379556,51646.8909040373,28744.2057840814,23978.5371161854,30448.7097281897,25263.2609820369,52510.028635735,23848.2480069068,47282.8811870954,61157.3629514916,34035.6472766386,41672.6553070901,32878.4649423094,27340.5887259706,25763.6415920585,24112.8622742747,24297.6261615324,48259.4634786937,24731.8606172236,26125.252058168,32620.3678283197,23812.0232120513,26113.6564254214,28211.0936022304,69231.5377140089
"DMA",540,40,20,3760,1280,900,1640,200,180,260,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",713020,313120,664840,423760,263740,469800,125360,12360,8100,3600,3240,2580,2300,720,400,2380,1220,NA,NA,280,220,640,0,0,40,540,40,280,120,100,1680,40
"DOM",68200,73420,59200,88580,88340,10020,9980,13840,30100,69540,150240,153000,92740,60,0,0,20,280,5480,5080,2260,0,0,0,0,0,0,0,0,0,40,0
"DZA",1350628.44292901,1993687.82258517,1934750.07060057,1940657.818402,1674849.61245561,1291584.65888386,1151838.97409314,1084950.32575616,1081030.05075133,1030948.62133506,1075313.78872648,1130893.27970778,1044170.62880916,1055088.30985834,1088998.32495382,1311395.8809648,761996.473193246,842895.779757489,865449.283608146,941573.268371165,924488.077977903,949217.73731265,965406.865180971,244828.588435533,450334.867259364,624073.661318425,772169.048766286,898706.46467995,1011445.22928332,1090608.56260209,1141916.05094789,1125436.11101969
"ECU",93560,32940,51120,139580,23660,16780,30740,160080,72980,32920,31700,87120,72540,73360,18380,840,0,0,0,0,40,0,0,0,0,0,0,20,0,0,5260,1440
"EGY",1202785.26515941,1130226.59629133,758347.729530405,2554982.87313067,2349915.23676993,916329.164176466,1062259.33359645,1884227.60566154,1844222.04865655,794802.503667847,870678.464525727,2452877.86725998,1396236.45157813,930418.523675701,1082398.59031242,2252072.08268136,2011121.04953471,2118225.2632962,993104.252229458,1387390.86474573,1169669.30478202,677489.250957958,532175.094387073,579580.778557514,626252.724702354,1129851.30881719,1316277.69640854,676812.564536634,665832.815457304,440741.3054846,622194.183044476,820588.515634379
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89796.8473062744,40656.5523633521,81309.3087520817,119593.353235183,55382.3801220201,53830.1658858146,132736.327685328,39760.9594542412,85415.9252216464,61086.784189854,15638.5169464459,14362.0758198574,33953.4767000356,19507.1254716784,11940.7383004144,24390.4652232532,19781.3224790038,18091.5604952246,43556.8800829006
"ESP",2933780,3191240,6087000,778280,1613260,4402180,702920,454020,658160,433000,488900,489200,239700,135920,176980,99280,36840,8920,4920,3040,NA,1340,5120,520,440,7240,5340,5940,820,6040,76040,24080
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,660,2580,1420,6240,4600,340,380,360,340,240,180,0,0,0,0,40,540,20,0,0,0,140,80
"ETH",279857.612836473,511632.754587857,782298.95155198,708332.908340694,1292548.13206166,1587839.40455126,1828766.17284909,2032311.57139848,2182646.97947943,2271730.45465071,2388387.17953498,2510283.4525357,2585179.9799595,2574875.56545396,2608544.61244325,2604851.11558357,2612601.48153504,2647195.3021114,2714763.85895616,2761421.61628925,800135.674108231,1027536.2833834,1081259.89337484,930188.439350192,706628.460846253,835675.350862667,231386.545218195,369974.066797398,506895.692576878,470207.550506107,159528.331746766,195263.192975555
"FIN",76260,108040,95020,14580,12280,14820,12700,2580,20640,60,160,100,0,20,120,0,0,20,NA,NA,20,0,0,0,20,0,0,100,40,100,540,0
"FJI",25041.9403900867,22617.6134881515,9347.63876282027,20860.0461205673,5706.31708021939,10546.9728983771,27540.338805699,16248.3067161829,3820.84955126649,2771.675687994,18358.5179149602,28418.0990547451,12731.1726625486,2887.61210101213,12804.4420079518,2950.31866245027,23307.7007071827,11048.5118293138,21202.5704235784,23342.4084612375,2814.38127578758,8940.20373204181,8938.45774895414,2695.78913862439,15642.4402544939,4866.20750124427,1554.15149803209,1620.29762055203,1741.63561840016,1880.93678972414,11347.6540124137,1562.16866774471
"FRA",22640,16240,17400,19560,7980,18620,NA,NA,NA,NA,3136980,2190960,1544640,880100,1084780,1320000,1600000,NA,NA,2e+05,NA,103700,NA,88960,720,800,780,12080,30820,100960,298980,0
"FSM",NA,NA,NA,NA,NA,NA,NA,4484.62511594579,5984.35599681592,7035.08386655647,7678.0869799892,7961.04583648832,7984.76715819541,8706.84128876766,7753.66283928618,7477.0843489467,7454.87314526565,7396.34504864628,7724.77744638331,7648.27898069716,7580.84604143682,7520.06860379541,7531.73584713161,7592.90232985745,7599.56434634336,7741.36177682976,7800.73758143436,7954.7322458859,8052.23594490877,8216.00808816645,5675.73010512011,6684.69801064121
"GAB",27757.4043266318,19055.8046823145,40877.2690902658,63609.9327009901,44910.6662045887,60863.5178128676,22924.5470015806,11719.9113600022,20166.7825649837,11624.4209757464,26371.4051156662,15288.4958044836,12984.0644069468,28218.9037825738,36798.9494466943,7602.77291731273,21710.5474707728,31413.3565142458,38362.0635866474,7279.06574540987,9570.89074515091,7827.63019684042,21179.3820119357,6989.68055451317,5456.32075791223,7350.2893849743,6147.47225744503,5591.20721525382,6489.77725736896,6194.6706841065,6148.41466102318,6126.38819402996
"GBR",1235580,2112840,2298960,1352640,2095480,1804280,897000,1765180,603200,564560,234540,246340,240360,470500,180340,137320,96880,1480,NA,2080,1460,6280,9200,3780,1580,15280,20440,28900,24240,8860,22240,41840
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2397.85636086493,4801.26890578866,4483.31036829826,7516.88172081044,10633.1238909243,13360.3539102148,15369.5600389664,16667.5215741367,17144.7937738369,17661.4319039388,19001.2918766344,20047.0380264747,21822.3963068342,30454.236311878,2775.31660736535,4626.22333751247,6376.45077195075,2479.99730284774,4060.01719947806,5647.26095690965,7212.35836992689
"GHA",415909.825106599,827456.233831376,385803.373146202,411014.527587122,651227.490136843,194965.175365036,272265.05361345,427748.861531903,235475.563016146,344585.464587489,210464.412246683,432806.178716,360923.765669878,363706.367756968,417497.370007476,357622.132727234,387781.794679936,260954.282255921,195064.937551099,261147.539295923,175664.372020297,159181.454351378,59269.3550262316,55070.5239864073,54426.7806959388,54297.67953648,53269.9370761233,51752.8940963991,51726.714625237,56265.1246922028,53158.5730253642,71038.5087097319
"GIN",395614.161876258,432471.996007061,253784.857226689,147933.074312624,114088.390969502,104685.513525835,230323.235520185,126691.386912352,140865.530053127,196313.88615438,201872.569825917,90901.3183731273,172654.78228574,102729.653708948,72475.5478739739,365404.456551229,285069.459266754,260631.406060108,508346.812578996,310733.548163948,219857.874093266,109399.311923834,101805.844223339,57332.8490619109,46929.4205770595,44884.7044057305,52803.8773486751,46008.4850324917,50637.2202160322,52186.7630760356,44236.9734229221,45167.1886237222
"GMB",10939.3289536732,48554.4183377654,31166.1080957294,42468.7379692159,39374.3204785763,24330.3120891297,38771.0828315944,39560.999965251,38549.5321274396,37794.7546029576,9201.70200429045,12587.4219153008,24760.0236657387,11672.4181407471,8486.84929458636,6369.11870315353,12723.4554151029,26412.7683499242,22364.3317889165,12589.7673891449,8286.55919304376,6763.4570979056,8030.52950222027,4416.80882045331,7128.97441494674,6527.62797481451,6154.83644871099,5433.1501517895,6367.80455711082,6197.63970103061,6044.2664667884,4935.55796507406
"GNB",72872.365406037,54262.4154976064,108551.334262006,21640.6544992612,49329.7417634491,79227.4749768662,16955.0483580022,44386.7082560089,15116.1327096287,18093.4940848266,96495.312267763,33395.2089747009,62419.4684652246,21801.6914978265,25134.2001019726,14407.5704421239,24677.2264972456,66457.9691840431,23658.4436189905,62894.3014391347,15116.1182547885,19336.7237426237,47816.4705149054,31877.1138228586,13478.7190595182,11689.4416786671,18661.8841423732,14075.9544082115,11701.1298481446,16020.9735070285,11783.9133610369,11582.6113208731
"GNQ",NA,NA,NA,NA,18869.1818019277,20416.5831746349,86979.3488223876,26128.2906769999,18814.779304266,15933.7524396369,16523.4238202026,18290.4590845824,17518.3648238708,18027.317492591,16847.2856025222,16749.193233915,16873.9978321995,27279.3498911894,35883.0268264002,39122.7452351743,21876.8196081871,15940.9820099002,15682.9683747788,15747.8527957474,29625.6378529111,14581.1042609908,15783.4151727933,17359.5187652478,15903.86858562,11336.852774268,16053.0042552208,19993.3755731573
"GRC",27780,68340,474460,24000,29680,21000,37820,102000,10680,4900,27420,68960,10060,3260,2240,121640,2720,1320,1380,1120,240,100,NA,20,2440,NA,40,20,40,2980,800,60
"GRD",180,34260,5360,220,140,400,120,80,40,120,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",69440,79840,55240,61440,45440,33000,8000,3640,48260,176040,4180,1940,340,4080,460,20,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",140,820,400,5880,1740,300,440,18340,220,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",117140,48920,23360,100560,129520,12060,28740,23100,127060,167200,1900,1160,260,60,0,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
