"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",1703068.36547706,819491.832111162,747536.567160336,622291.820446247,540939.285284617,276798.035608444,351461.262524486,142357.242138513,46889.305956286,40726.3805507072,28272.2570457304,3.49259794751866e-07,0.591521938143648,5297.76095160925,16376.3667269823,6119.00770643486,481.771562899968,106318.767654359,122070.759283677,218775.457032076,304982.38417377,132766.433707608,2.08682457314424e-07,2.00840884478914e-07,7702.57729016956,30896.0243689809,1.83076734994181e-07,1.7845139965722e-07,37419.2153962548,14653.7721999996,44264.9012942229,35286.243048736
"AGO",355270.871544195,516393.195339421,370970.045104092,372583.606471228,375430.844820615,246818.552083003,203160.185619486,346512.034810673,319193.525802041,501438.008511518,301560.63607436,266674.025329635,150063.835542807,89050.4352923391,30366.9362314628,9805.2752326905,99370.2376451147,51201.7752694592,22398.080957147,30128.5235320638,115881.801351389,173592.208074293,52777.2939164209,1.82751663801994e-07,140.807859771644,9122.1481165919,1.64839399574568e-07,545.322680920872,16739.0280212903,1.49355607770296e-07,4237.25671062454,12010.1771488208
"ALB",NA,NA,2.72459048966667e-05,2.66016144138126e-05,2.59395492460124e-05,2.52480909531672e-05,2.45547831568826e-05,2.3929799612965e-05,308371.609296833,2.31630289786455e-05,118.112793944382,14.1007339285312,211.949600661454,2.35908843726484e-05,2.37771231352824e-05,2.3896788625466e-05,136.104305473065,309.747200663148,112.363478024252,2.41577743252952e-05,2.42964520702493e-05,2.44638661529573e-05,2.46467056006505e-05,2.48244001622711e-05,2.49802589714632e-05,2.51103371156081e-05,2.52162184732896e-05,2.52930178916699e-05,2.53365451039489e-05,2.5344925785542e-05,2.53148711440998e-05,2.52492247575509e-05
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,5,5,12.5,2.5,0,0,0,0,0,0,0,0,0,0
"ARE",7050,4227.5,5262.5,4372.5,6000,5395,7282.5,2967.5,2670,2967.5,2870,2657.5,1862.5,1295,1677.5,1062.5,607.5,740,292.5,172.5,75,132.5,105,55,72.5,NA,NA,137.5,NA,217.5,NA,330
"ARG",43955,11080,17765,79377.5,23100,16120,20060,11877.5,10022.5,4917.5,105232.5,51377.5,12717.5,335,1637.5,147.5,312.5,25572.5,782.5,15,0,0,0,0,0,0,0,0,7.5,42.5,7.5,5
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34499410275879e-07,1.3693303468898e-07,1.4017683369616e-07,1.43573943622854e-07,1.46548165491645e-07,1.4884551857719e-07,1.5054253599267e-07,1.5173673684199e-07,1.52675362130594e-07,1.53554954529511e-07,1.54364791837835e-07,1.55021259606869e-07,1.55581393102011e-07,1.56115140814705e-07,1.56671008832987e-07,1.57297398328815e-07,1.57982852688754e-07,1.5864046720715e-07,1.59139346256332e-07,1.59389480280936e-07,1.5935592589944e-07,1.59089660112244e-07
"ATG",617.5,0,25,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,620,422.5,2200,3450,3562.5,11340,12237.5,2995,1245,2132.5,817.5,587.5,270,352.5,80,227.5,175,25,NA,27.5,162.5,260,175,475,497.5
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,0,0,2.5,NA,0,NA,225,37.5,22.5,57.5,50,1120,122.5,130,170,0
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249145.098076839,13424.9627170588,37775.5948190714,272922.439794987,8139.98731109662,3799.6155462809,11765.9155021143,96618.8232779719,26087.3323358209,5187.99095424463,2739.38922658114,202175.698837879,52784.5902360071,12393.5445112914,22162.6105761291,1236.70055904649,5.31559115901636e-06,5.25119650973682e-06,5.18773714763832e-06,5.12587497369932e-06,5.06587701898376e-06,5.00790583979338e-06
"BDI",275725.46845205,170589.644440028,207188.384854638,116579.62198568,147111.286421904,160313.119076572,92848.5281283954,131539.664118196,108599.720780219,52655.5504182708,38060.9364811961,82838.0725555339,90653.8567947542,41232.6851117054,50833.9052461192,57180.0100612892,15291.5115242392,8928.69626876777,9892.81093667445,65629.4453852335,27514.8778841867,898.320089180593,8.54573058206576e-07,8.26534231501697e-07,130.772434124926,638.424221790547,7.45398297752331e-07,148.320814692284,665.416400996534,6.72379063426654e-07,6.50699615190042e-07,14.7345531753885
"BEL",NA,NA,NA,NA,NA,NA,NA,119040,202610,NA,18040,23912.5,18432.5,28365,26625,18052.5,9672.5,0,NA,NA,207.5,NA,110,152.5,65,37.5,160,245,82.5,100,1440,0
