,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BRA,359720,343665.8,327611.6,311557.4,295503.2,279449,266832.8,254216.6,241600.4,228984.2,216368,207416.4,198464.8,189513.2,180561.6,171610,164954.6,158299.2,151643.8,144988.4,138333,131749.4,125165.8,118582.2,111998.6,105415,100602.6,95790.2,90977.8,86165.4,81353,78031.2,74709.4
BRB,177,170.2,163.4,156.6,149.8,143,136.8,130.6,124.4,118.2,112,106.6,101.2,95.8,90.4,85,81,77,73,69,65,62.6,60.2,57.8,55.4,53,51.4,49.8,48.2,46.6,45,43.8,42.6
BRN,167,162,157,152,147,142,138.6,135.2,131.8,128.4,125,119.2,113.4,107.6,101.8,96,90.6,85.2,79.8,74.4,69,65.2,61.4,57.6,53.8,50,47.4,44.8,42.2,39.6,37,35.2,33.4
BTN,3679,3615.2,3551.4,3487.6,3423.8,3360,3232.2,3104.4,2976.6,2848.8,2721,2563,2405,2247,2089,1931,1826.2,1721.4,1616.6,1511.8,1407,1337.8,1268.6,1199.4,1130.2,1061,1012.8,964.6,916.4,868.2,820,781.4,742.8
BWA,4154,4067.8,3981.6,3895.4,3809.2,3723,3637,3551,3465,3379,3293,3312.6,3332.2,3351.8,3371.4,3391,3403.4,3415.8,3428.2,3440.6,3453,3334.8,3216.6,3098.4,2980.2,2862,2726.2,2590.4,2454.6,2318.8,2183,2100.2,2017.4
CAF,18629,18965.4,19301.8,19638.2,19974.6,20311,20700,21089,21478,21867,22256,22693.4,23130.8,23568.2,24005.6,24443,24829.8,25216.6,25603.4,25990.2,26377,26341,26305,26269,26233,26197,25887.4,25577.8,25268.2,24958.6,24649,24292.8,23936.6
CAN,4779,4581,4383,4185,3987,3789,3682,3575,3468,3361,3254,3129,3004,2879,2754,2629,2526.8,2424.6,2322.4,2220.2,2118,2115,2112,2109,2106,2103,2106,2109,2112,2115,2118,2088.2,2058.4
CHE,791,772.8,754.6,736.4,718.2,700,690.6,681.2,671.8,662.4,653,632,611,590,569,548,525,502,479,456,433,423,413,403,393,383,378.4,373.8,369.2,364.6,360,356.8,353.6
CHL,10386,9742.2,9098.4,8454.6,7810.8,7167,6915.4,6663.8,6412.2,6160.6,5909,5610.8,5312.6,5014.4,4716.2,4418,4142,3866,3590,3314,3038,2888.2,2738.4,2588.6,2438.8,2289,2223.8,2158.6,2093.4,2028.2,1963,1894.4,1825.8
CHN,1312303,1322230.2,1332157.4,1342084.6,1352011.8,1361939,1320604.4,1279269.8,1237935.2,1196600.6,1155266,1070133,985000,899867,814734,729601,678534.4,627467.8,576401.2,525334.6,474268,455131.2,435994.4,416857.6,397720.8,378584,370921.4,363258.8,355596.2,347933.6,340271,330320.2,320369.4
