iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
COD,2004,10055523,8604754,86,Meas,AFRO,DRCongo,CatchUp,Rollover,0.5,15,8604754,1.01E+07,85,27416616,14.5,2.65E+07,32.5
COG,2004,1753846,1356625,78,Meas,AFRO,Congo,CatchUp,National,0.5,14,1356625,1753846,77,1384673,13.5,1246206,78
DOM,2004,1375980,1297351,94,MR,AMRO,Dominican Republic,FollowUp,National,1,9,1297351,1375980,94,3137024,8,1673080,77.5
ETH,2004,8835802,7422074,84,Meas,AFRO,Ethiopia,CatchUp,Rollover,0.5,14,7422074,8835802,84,32799571,13.5,2.95E+07,25.1
GAB,2004,625472,502959,80,Meas,AFRO,Gabon,CatchUp,National,0.75,14,502959,625472,80,525887,13.25,464533.5,80
HND,2004,759794,714207,94,MR,AMRO,Honduras,FollowUp,National,1,4,714207,759794,94,2728491,3,545698.2,94
HTI,2004,1306022,799325,61,Meas,AMRO,Haiti,FollowUp,National,0.75,4.92,799325,1306022,61,3559059,4.17,989418.4,80.8
IDN,2004,2180918,2062556,94,Meas,SEARO,Indonesia,CatchUp,Rollover,6,12,2062556,2180918,94,62221842,6,2.49E+07,8.3
IRQ,2004,5153580,5123983,99,MMR,EMRO,Iraq,CatchUp,Rollover,6,12,5123983,5153580,99,11577807,6,4631123,99
JAM,2004,28000,1800,6,MMR,AMRO,Jamaica,FollowUp,National,0.5,5,1800,28000,6,842754,4.5,252826.2,0.7
LBR,2004,1495314,1569807,99,Meas,AFRO,Liberia,CatchUp,Rollover,0.5,14,1569807,1495314,104,1408660,13.5,1267794,99
MDG,2004,7626090,7546229,99,Meas,AFRO,Madagascar,CatchUp,National,0.75,14,7546229,7626090,98,7629035,13.25,6738981,99
MLI,2004,2062662,2426497,99,Meas,AFRO,Mali,FollowUp,National,0.75,4.92,2426497,2062662,117,5165324,4.17,1435960,99
MMR,2004,1374648,1085359,79,Meas,SEARO,Myanmar,FollowUp,Rollover,0.75,5,1085359,1374648,78,13618223,4.25,3858497,28.1
MRT,2004,1143532,1167307,99,Meas,AFRO,Mauritania,CatchUp,National,0.75,14,1167307,1143532,102,1189611,13.25,1050823,99
MYS,2004,4500000,4320000,96,Meas,WPRO,Malaysia,SpeedUp,National,7,15,4320000,4500000,96,7997328,8,4265242,96
NER,2004,5128821,5071149,99,Meas,AFRO,Niger,CatchUp,Rollover,0.75,14,5071149,5128821,98,6164138,13.25,5444989,93.1
NIC,2004,539710,542044,99,MR,AMRO,Nicaragua,FollowUp,National,1,4,542044,539710,100,2069612,3,413922.4,99
NPL,2004,5344765,5490931,99,Meas,SEARO,Nepal,CatchUp,Rollover,0.75,15,5490931,5344765,102,10534471,14.25,1.00E+07,54.9
PHL,2004,18394880,17291555,94,Meas,WPRO,Philippines,FollowUp,National,0.75,7,1.73E+07,1.84E+07,94,30218765,6.25,1.26E+07,94
PNG,2004,909379,876071,96.3,Meas,WPRO,Papua New Guinea,CatchUp,Rollover,0.5,10,876071,909379,96,2440069,9.5,1545377,56.7
SAU,2004,1114203,1079431,97,MMR,EMRO,Saudi Arabia,FollowUp,National,6,8,1079431,1114203,96,8106500,2,1080867,97
SDN,2004,8881178,8530956,96,Meas,EMRO,Sudan,CatchUp,Rollover,0.5,15,8530956,8881178,96,15558777,14.5,1.50E+07,56.7
TGO,2004,884253,887998,99,Meas,AFRO,Togo,FollowUp,National,0.75,4.92,887998,884253,100,2432433,4.17,676216.4,99
TJK,2004,2932846,2893843,98,Meas,EURO,Tajikistan,CatchUp,National,1,14,2893843,2932846,98,2587010,13,2242075,98
TUR,2004,1258214,995946,79,Meas,EURO,Turkey,CatchUp,Rollover,0.75,6,995946,1258214,79,20303201,5.25,7106121,14
ZAF,2004,3791127,3501447,92,Meas,AFRO,South Africa,FollowUp,National,0.75,4.92,3501447,3791127,92,15201436,4.17,4226000,82.9
ARG,2005,2694879,2093314,78,MR,AMRO,Argentina,FollowUp,National,1,4,2093314,2694879,77,10152999,3,2030600,78
BEN,2005,1058201,1137163,99,Meas,AFRO,Benin,FollowUp,National,0.75,4.92,1137163,1058201,107,3440667,4.17,956505.4,99
BGD,2005,1481321,1374390,93,Meas,SEARO,Bangladesh,CatchUp,Rollover,0.75,10,1374390,1481321,92,51812252,9.25,3.20E+07,4.3
BOL,2005,82000,44749,59,MR,AMRO,Bolivia,FollowUp,Rollover,1,1.92,44749,82000,54,3497746,0.92,214528.4,20.9
BWA,2005,180450,179587,99,Meas,AFRO,Botswana,FollowUp,National,0.75,4.92,179587,180450,99,646845,4.17,179822.9,99
CAF,2005,1302531,1183583,91,Meas,AFRO,CAR,CatchUp,Rollover,0.75,15,1183583,1302531,90,1703202,14.25,1618042,73.1
CHL,2005,989823,922430,93,MR,AMRO,Chile,FollowUp,National,1,5,922430,989823,93,4054085,4,1081089,85.3
CHN,2005,19826098,15422267,77,Meas,WPRO,China,CatchUp,Subnational,0.67,25,1.54E+07,1.98E+07,77,289784982,15,2.90E+08,5.3
CIV,2005,8997667,7894327,85,Meas,AFRO,C’‚te d'Ivoire,CatchUp,National,0.75,14,7894327,8997667,87,7951340,13.25,7023684,85
COD,2005,7817076,6957653,89,Meas,AFRO,DRCongo,CatchUp,Rollover,0.5,15,6957653,7817076,89,28157764,14.5,2.72E+07,25.6
CPV,2005,50471,46887,92.9,Meas,AFRO,Cape Verde,FollowUp,National,0.75,4.92,46887,50471,92,187780,4.17,52202.84,89.8
DJI,2005,219197,186317,85,Meas,EMRO,Djibouti,CatchUp,National,0.75,15,186317,219197,84,309426,14.25,293954.7,63.4
ETH,2005,1271522,1124156,88,Meas,AFRO,Ethiopia,FollowUp,Subnational,0.5,14,1124156,1271522,88,33459876,13.5,3.01E+07,3.7
GEO,2005,69327,64828,93.5,MMR,EURO,Georgia,SpeedUp,National,13,14,64828,69327,93,822715,1,54847.67,93.5
GNQ,2005,271080,119462,44,Meas,AFRO,Equatorial Guinea,CatchUp,National,0.75,15,119462,271080,44,257215,14.25,244354.3,48.9
IDN,2005,5515324,5258227,95,Meas,SEARO,Indonesia,CatchUp,Rollover,0.5,15,5258227,5515324,95,62241007,14.5,6.02E+07,8.7
IRQ,2005,3634541,3550000,97,Meas,EMRO,Iraq,CatchUp,Rollover,1,4.92,3550000,3634541,97,11807805,3.92,3085773,97
KAZ,2005,1565997,1554465,99,MR,EURO,Kazakhstan,SpeedUp,National,15,25,1554465,1565997,99,3687493,10,2458329,63.2
LBY,2005,2750000,2695000,98,MR,EMRO,Libya,CatchUp,National,0.75,20,2695000,2750000,98,1796434,15,1796434,98
MDV,2005,144997,123642,85,MR,SEARO,Maldives,CatchUp,National,6,34,123642,144997,85,95904,15,95904,85
MOZ,2005,8476450,8189378,97,Meas,AFRO,Mozambique,CatchUp,National,0.75,15,8189378,8476450,96,9181987,14.25,8722888,93.9
MWI,2005,1851176,2137152,99,Meas,AFRO,Malawi,FollowUp,National,0.75,4.92,2137152,1851176,115,6387349,4.17,1775683,99
NER,2005,325281,332318,99,Meas,AFRO,Niger,CatchUp,Rollover,0.75,15,332318,325281,102,6413315,14.25,6092649,5.5
NGA,2005,29500000,28538974,95.2,Meas,AFRO,Nigeria,CatchUp,Rollover,0.75,15,2.85E+07,2.95E+07,96,60699041,14.25,5.77E+07,49.5
NIC,2005,4109603,4068506,99,MR,AMRO,Nicaragua,FollowUp,National,6,39,4068506,4109603,98,2060751,15,2060751,99
NPL,2005,4326348,4494230,99,Meas,SEARO,Nepal,CatchUp,Rollover,0.75,15,4494230,4326348,103,10614480,14.25,1.01E+07,44.6
PAK,2005,1600000,1232000,77,Meas,EMRO,Pakistan,CatchUp,Rollover,1,4.92,1232000,1600000,77,63921500,3.92,1.67E+07,7.4
PNG,2005,1357922,1312740,76,Meas,WPRO,Papua New Guinea,CatchUp,Rollover,0.5,10,1312740,1357922,96,2490879,9.5,1577557,83.2
SDN,2005,4686823,4358089,92,Meas,EMRO,Sudan,FollowUp,Subnational,0.5,15,4358089,4686823,92,15753113,14.5,1.52E+07,28.6
SOM,2005,384725,319321,83,Meas,EMRO,Somalia,CatchUp,Rollover,0.75,15,319321,384725,82,3728934,14.25,3542487,9
SUR,2005,36000,30600,86,MR,AMRO,Suriname,FollowUp,National,1,6,30600,36000,85,148901,5,49633.67,61.7
SYR,2005,,14304,99,MMR,EMRO,Syria,CatchUp,,0.83,15,14304,0,,7052041,14.17,6661828,0.2
TCD,2005,2359943,1937240,82,Meas,AFRO,Chad,CatchUp,Rollover,0.75,14,1937240,2359943,82,4608618,13.25,4070946,47.6
TUR,2005,8976587,8643075,96,Meas,EURO,Turkey,CatchUp,Rollover,0.75,6,8643075,8976587,96,20278666,5.25,7097533,96
TUV,2005,5708,5469,96,MR,WPRO,Tuvalu,,National,1,34,5469,5708,95,3337,15,3337,96
TZA,2005,6425000,5783751,90,Meas,AFRO,Tanzania,FollowUp,National,0.75,4.92,5783751,6425000,90,17390286,4.17,4834500,90
AFG,2006,2706945,2873823,99,Meas,EMRO,Afghanistan,FollowUp,Rollover,0.75,4.92,2873823,2706945,106,11847668,4.17,3293652,87.3
AGO,2006,3218676,3210160,99,Meas,AFRO,Angola,FollowUp,National,0.75,4.92,3210160,3218676,99,7853334,4.17,2183227,99
AZE,2006,2473399,2355618,95,MR,EURO,Azerbaijan,SpeedUp,National,7,23,2355618,2473399,95,2204320,15,2204320,95
BDI,2006,1123365,1226689,99,Meas,AFRO,Burundi,FollowUp,National,0.75,4.92,1226689,1123365,109,3081039,4.17,856528.9,99
BGD,2006,34199590,34637764,99,Meas,SEARO,Bangladesh,CatchUp,Rollover,0.75,10,3.46E+07,3.42E+07,101,51676009,9.25,3.19E+07,99
BHS,2006,12000,1648,14,MMR,AMRO,Bahamas,CatchUp,National,4,40,1648,12000,13,89041,15,89041,1.9
BTN,2006,338040,332041,98,MR,SEARO,Bhutan,CatchUp,National,0.75,44,332041,338040,98,219529,15,219529,98
CAF,2006,545183,515956,96,Meas,AFRO,CAR,CatchUp,Rollover,0.75,15,515956,545183,94,1727793,14.25,1641403,31.4
CMR,2006,1262330,1249041,99,Meas,AFRO,Cameroon,FollowUp,Rollover,0.75,4.92,1249041,1262330,98,7565780,4.17,2103287,59.4
COD,2006,9353884,9124529,97,Meas,AFRO,DRCongo,FollowUp,Subnational,0.5,15,9124529,9353884,97,28857415,14.5,2.79E+07,32.7
COK,2006,6145,5554,90,MR,WPRO,Cook Islands,CatchUp,National,1,35,5554,6145,90,6550,15,6550,84.8
CYP,2006,10341,938,9,MMR,EURO,Cyprus,SpeedUp,National,11,12,938,10341,9,162738,1,10849.2,8.6
ERI,2006,406873,387479,95.2,Meas,AFRO,Eritrea,FollowUp,National,0.5,4.92,387479,406873,95,1928595,4.42,568292.7,68.2
ETH,2006,11688720,10169187,87,Meas,AFRO,Ethiopia,FollowUp,Rollover,0.75,4.92,1.02E+07,1.17E+07,87,34113224,4.17,9483476,87
FJI,2006,91595,89747,98,MR,WPRO,Fiji,CatchUp,National,0.5,6,89747,91595,97,271300,5.5,99476.66,90.2
GHA,2006,5065661,3994052,78.8,Meas,AFRO,Ghana,FollowUp,National,0.75,4.92,3994052,5065661,78,8809016,4.17,2448907,78.8
GIN,2006,1755122,1707633,97,Meas,AFRO,Guinea,FollowUp,National,0.75,4.92,1707633,1755122,97,4070091,4.17,1131485,97
GNB,2006,646977,590602,91,Meas,AFRO,Guinea-Bissau,CatchUp,National,0.5,14,590602,646977,91,641771,13.5,577593.9,91
HTI,2006,5041,2026,40,MR,AMRO,Haiti,FollowUp,National,1,4,2026,5041,40,3593769,3,718753.8,0.3
IDN,2006,7139419,6711319,94,Meas,SEARO,Indonesia,CatchUp,Rollover,0.5,12,6711319,7139419,94,62241448,11.5,4.77E+07,14.1
IRQ,2006,4940941,4520382,91,MMR,EMRO,Iraq,FollowUp,,1,5,4520382,4940941,91,12030257,4,3208069,91
KOR,2006,601694,601115,99,MMR,WPRO,Republic of Korea,CatchUp,National,5,7,601115,601694,99,8859348,2,1181246,50.9
MEX,2006,21327921,10237402,48,MR,AMRO,Mexico,FollowUp,National,1,4,1.02E+07,2.13E+07,48,32099680,3,6419936,48
NGA,2006,31630011,26353793,83,Meas,AFRO,Nigeria,CatchUp,Rollover,0.75,15,2.64E+07,3.16E+07,83,61970876,14.25,5.89E+07,44.8
NIC,2006,34876,36814,95,MMR,AMRO,Nicaragua,FollowUp,National,0.5,5,36814,34876,105,2050274,4.5,615082.2,6
PAN,2006,12369,11280,91,MR,AMRO,Panama,FollowUp,National,0.5,4.92,11280,12369,91,989025,4.42,291432.7,3.9
RWA,2006,1296197,1380870,99,Meas,AFRO,Rwanda,FollowUp,National,0.75,4.92,1380870,1296197,106,3892538,4.17,1082126,99
SDN,2006,6215231,4744713,76,Meas,EMRO,Sudan,CatchUp,Rollover,0.5,14,4744713,6215231,76,15951973,13.5,1.44E+07,33
SEN,2006,1843665,1833931,99,Meas,AFRO,Senegal,FollowUp,National,0.75,4.92,1833931,1843665,99,5119497,4.17,1423220,99
SLB,2006,61858,60137,97,Meas,WPRO,Solomon Islands,FollowUp,National,1,4,60137,61858,97,195310,3,39062,97
SLE,2006,748209,751107,99,Meas,AFRO,Sierra Leone,FollowUp,National,0.75,4.92,751107,748209,100,2261673,4.17,628745.1,99
SOM,2006,2266917,2019717,89,Meas,EMRO,Somalia,CatchUp,Rollover,0.75,15,2019717,2266917,89,3820574,14.25,3629545,55.6
SWZ,2006,153504,140143,91,Meas,AFRO,Swaziland,FollowUp,National,0.75,4.92,140143,153504,91,469084,4.17,130405.4,91
TCD,2006,2712011,2735760,99,Meas,AFRO,Chad,CatchUp,Rollover,0.75,15,2735760,2712011,100,4745148,14.25,4507891,60.7
TLS,2006,390687,157673,40,Meas,SEARO,Timor-Leste,CatchUp,National,0.5,15,157673,390687,40,470475,14.5,454792.5,34.7
UZB,2006,620000,620130,99,MR,EURO,Uzbekistan,SpeedUp,Rollover,10,29,620130,620000,100,8481769,15,8481769,7.3
VEN,2006,9253759,9161221,99,MR,AMRO,Venezuela,FollowUp,National,1,4,9161221,9253759,98,8404032,3,1680806,99
VUT,2006,79063,78296,99,Meas,WPRO,Vanuatu,CatchUp,National,1,12,78296,79063,99,88206,11,64684.4,99
YEM,2006,9471417,9322918,98,Meas,EMRO,Yemen,CatchUp,Rollover,0.75,15,9322918,9471417,98,9776218,14.25,9287407,98
ZWE,2006,1479957,1407510,95,Meas,AFRO,Zimbabwe,FollowUp,National,0.75,4.92,1407510,1479957,95,5078348,4.17,1411781,95
AFG,2007,1964379,2085479,99,Meas,EMRO,Afghanistan,FollowUp,Rollover,0.75,4.92,2085479,1964379,106,12222730,4.17,3397919,61.4
ARM,2007,942767,912510,96.8,MR,EURO,Armenia,CatchUp,National,6,27,912510,942767,96,642046,15,642046,96.8
BFA,2007,3092934,3145255,99,Meas,AFRO,Burkina Faso,FollowUp,National,0.75,4.92,3145255,3092934,101,6770902,4.17,1882311,99
BHS,2007,12000,2502,2,MMR,AMRO,Bahamas,CatchUp,National,4,40,2502,12000,20,88473,15,88473,2.8
CMR,2007,1884269,1763167,94,Meas,AFRO,Cameroon,FollowUp,Rollover,0.75,4.92,1763167,1884269,93,7703550,4.17,2141587,82.3
COD,2007,3736672,3768794,99,Meas,AFRO,DRCongo,FollowUp,National,0.5,4.92,3768794,3736672,100,29525337,4.42,8700133,43.3
COG,2007,711232,677390,95,Meas,AFRO,Congo,FollowUp,National,0.75,4.92,677390,711232,95,1450474,4.17,403231.8,95
COM,2007,258782,231263,89,Meas,AFRO,Comoros,CatchUp,National,0.75,15,231263,258782,89,246786,14.25,234446.7,98.6
GAB,2007,228177,190035,83,Meas,AFRO,Gabon,FollowUp,National,0.75,4.92,190035,228177,83,531530,4.17,147765.3,83
GMB,2007,252427,241214,96,Meas,AFRO,Gambia,FollowUp,National,0.75,4.92,241214,252427,95,688684,4.17,191454.2,96
GUY,2007,6170,5860,95,MR,AMRO,Guyana,FollowUp,National,0.5,5,5860,6170,94,233512,4.5,70053.6,8.4
IDN,2007,20178854,19071144,94,Meas,SEARO,Indonesia,FollowUp,Rollover,0.5,12,1.91E+07,2.02E+07,94,62224617,11.5,4.77E+07,40
IRN,2007,313479,310859,99,MR,EMRO,Iran,FollowUp,Subnational,1,4.92,310859,313479,99,18088570,3.92,4727147,6.6
IRQ,2007,3874667,3560538,92,MMR,EMRO,Iraq,FollowUp,National,1,4.92,3560538,3874667,91,12243568,3.92,3199653,92
KHM,2007,1464670,1526530,99,Meas,WPRO,Cambodia,FollowUp,National,0.75,4.92,1526530,1464670,104,5021937,4.17,1396099,99
KOR,2007,606314,605649,99,MMR,WPRO,Republic of Korea,CatchUp,National,5,7,605649,606314,99,8622710,2,1149695,52.7
LAO,2007,2175342,2086190,96,Meas,WPRO,Laos,CatchUp,National,0.75,14,2086190,2175342,95,2367762,13.25,2091523,96
LBR,2007,650000,629676,97,Meas,AFRO,Liberia,FollowUp,National,0.75,4.92,629676,650000,96,1564724,4.17,434993.3,97
LSO,2007,212800,196416,92,Meas,AFRO,Lesotho,FollowUp,National,0.75,4.92,196416,212800,92,802145,4.17,222996.3,88.1
MDG,2007,3123163,3053702,99,Meas,AFRO,Madagascar,FollowUp,National,0.75,4.92,3053702,3123163,97,8118275,4.17,2256881,99
MDV,2007,29529,16462,56,MMR,SEARO,Maldives,CatchUp,National,4,6,16462,29529,55,90765,2,12102,56
MLI,2007,2547819,2562537,99,Meas,AFRO,Mali,FollowUp,National,0.75,4.92,2562537,2547819,100,5499467,4.17,1528852,99
MMR,2007,6056000,5706351,94,Meas,SEARO,Myanmar,FollowUp,National,0.75,5,5706351,6056000,94,13451516,4.25,3811263,94
MNG,2007,413673,401575,97,Meas,WPRO,Mongolia,CatchUp,National,2,10,401575,413673,97,709080,8,378176,97
PAK,2007,31944464,31266942,97,Meas,EMRO,Pakistan,CatchUp,Rollover,0.75,15,3.13E+07,3.19E+07,97,65234379,14.25,6.20E+07,50.5
PHL,2007,8648864,8201862,95,Meas,WPRO,Philippines,FollowUp,National,0.75,4,8201862,8648864,94,30788646,3.25,6670874,95
PRK,2007,16123376,16109432,99,Meas,SEARO,DPRKorea,CatchUp,National,0.5,45,1.61E+07,1.61E+07,99,5405624,15,5405624,99
QAT,2007,35000,32437,93,MMR,EMRO,Qatar,FollowUp,National,1,4.92,32437,35000,92,187927,3.92,49111.59,66
SAU,2007,7011743,6887885,98,Meas,EMRO,Saudi Arabia,CatchUp,National,0.5,18,6887885,7011743,98,8243539,15,8243539,83.6
SDN,2007,3922664,3189670,81,Meas,EMRO,Sudan,FollowUp,Rollover,0.5,14,3189670,3922664,81,16152406,13.5,1.45E+07,21.9
SLV,2007,711358,701041,98.5,MR,AMRO,El Salvador,FollowUp,National,1,6,701041,711358,98,2061822,5,687274,98.5
SOM,2007,3191161,2774178,87,Meas,EMRO,Somalia,CatchUp,Rollover,0.75,15,2774178,3191161,86,3911656,14.25,3716073,74.7
STP,2007,64081,64487,99,Meas,AFRO,Sao Tome & Principe,CatchUp,National,0.75,14,64487,64081,100,64954,13.25,57376.04,99
SYR,2007,3066850,3172840,99,MMR,EMRO,Syria,CatchUp,National,0.83,7,3172840,3066850,103,7337558,6.17,3018182,99
TKM,2007,1671000,1623000,97,MR,EURO,Turkmenistan,SpeedUp,National,7,40,1623000,1671000,97,1533091,15,1533091,97
UZB,2007,8143635,8129804,99,MR,EURO,Uzbekistan,CatchUp,Rollover,1,29,8129804,8143635,99,8326904,15,8326904,97.6
ZAF,2007,4349921,3880585,89,Meas,AFRO,South Africa,FollowUp,National,0.75,4.92,3880585,4349921,89,15264519,4.17,4243537,91.4
ZMB,2007,2018520,2204553,99,Meas,AFRO,Zambia,FollowUp,National,0.75,4.92,2204553,2018520,109,5690804,4.17,1582044,99
BEN,2008,1250559,1272621,99,Meas,AFRO,Benin,FollowUp,National,0.75,4.92,1272621,1250559,101,3743072,4.17,1040574,99
CAF,2008,669017,683302,99,Meas,AFRO,CAR,FollowUp,National,0.5,4.92,683302,669017,102,1775036,4.42,523043.9,99
CHN,2008,47548208,46554324,97,Meas,WPRO,China,FollowUp,Subnational,0.67,14,4.66E+07,4.75E+07,97,275538334,13.33,2.45E+08,19
CIV,2008,3229541,3081499,95,Meas,AFRO,C’‚te d'Ivoire,FollowUp,National,0.75,4.92,3081499,3229541,95,8413465,4.17,2338943,95
COD,2008,2852430,2811092,99,Meas,AFRO,DRCongo,FollowUp,Rollover,0.5,4.92,2811092,2852430,98,30171520,4.42,8890541,31.6
DJI,2008,215322,184638,86,Meas,EMRO,Djibouti,CatchUp,National,0.75,15,184638,215322,85,311186,14.25,295626.7,62.5
ECU,2008,1726240,1742370,99,MR,AMRO,Ecuador,FollowUp,National,1,6,1742370,1726240,100,4243033,5,1414344,99
GEO,2008,978136,493734,50,MR,EURO,Georgia,CatchUp,Rollover,6,27,493734,978136,50,736040,15,736040,67.1
GTM,2008,2098251,1868161,89,MR,AMRO,Guatemala,FollowUp,,1,7,1868161,2098251,89,5781201,6,2312481,80.8
HND,2008,711219,688170,97,MR,AMRO,Honduras,FollowUp,National,1,4,688170,711219,96,2780661,3,556132.2,97
HTI,2008,4544220,4676353,99,MR,AMRO,Haiti,CatchUp,Rollover,1,19,4676353,4544220,102,3628657,15,3628657,99
KOR,2008,532786,532137,99,MMR,WPRO,Republic of Korea,,National,5,7,532137,532786,99,8366689,2,1115559,47.7
MAR,2008,4712500,4665375,99,MR,EMRO,Morocco,CatchUp,National,0.75,14,4665375,4712500,99,9098484,13.25,8036994,58
MOZ,2008,3253760,3340829,99,Meas,AFRO,Mozambique,FollowUp,National,0.75,4.92,3340829,3253760,102,9861084,4.17,2741382,99
MWI,2008,2120557,2087375,98,Meas,AFRO,Malawi,FollowUp,National,0.75,4.92,2087375,2120557,98,6892273,4.17,1916052,98
NER,2008,2933514,2942563,99,Meas,AFRO,Niger,FollowUp,National,0.75,4.92,2942563,2933514,100,7307982,4.17,2031619,99
NGA,2008,29828229,28848102,97,Meas,AFRO,Nigeria,FollowUp,National,0.75,4.92,2.88E+07,2.98E+07,96,64545362,4.17,1.79E+07,97
NIC,2008,539710,542044,99,MR,AMRO,Nicaragua,FollowUp,National,1,4,542044,539710,100,2027060,3,405412,99
NPL,2008,3903515,3634277,93,Meas,SEARO,Nepal,FollowUp,National,0.75,5,3634277,3903515,93,10718191,4.25,3036821,93
PAK,2008,34123305,35315375,99,Meas,EMRO,Pakistan,CatchUp,Rollover,0.75,13,3.53E+07,3.41E+07,103,65980583,12.25,5.39E+07,65.5
PAN,2008,278500,260245,94,MR,AMRO,Panama,FollowUp,National,1,4,260245,278500,93,1004284,3,200856.8,94
SDN,2008,3158899,3021141,95,Meas,EMRO,Sudan,FollowUp,Subnational,0.5,14,3021141,3158899,95,16348583,13.5,1.47E+07,20.5
SOM,2008,388355,280859,72,Meas,EMRO,Somalia,,Subnational,0.75,15,280859,388355,72,4003922,14.25,3803726,7.4
TCD,2008,1856967,1782689,96,Meas,AFRO,Chad,FollowUp,National,0.75,4.92,1782689,1856967,96,4999058,4.17,1389738,96
TGO,2008,929050,906692,98,Meas,AFRO,Togo,FollowUp,National,0.75,4.92,906692,929050,97,2599403,4.17,722634.1,98
UKR,2008,8000000,113000,1,MMR,EURO,Ukraine,SpeedUp,National,15,29,113000,8000000,1,6412069,14,5984598,1.9
WSM,2008,25119,22864,91,MR,WPRO,Samoa,,National,1,4.92,22864,25119,91,71588,3.92,18708.33,91
AFG,2009,9061892,3688402,40,Meas,EMRO,Afghanistan,FollowUp,National,0.25,3,3688402,9061892,40,12975575,2.75,2378856,40
AGO,2009,3430913,3469806,99,Meas,AFRO,Angola,FollowUp,National,0.75,4.92,3469806,3430913,101,8315777,4.17,2311786,99
ARG,2009,2808368,2748107,98,MR,AMRO,Argentina,FollowUp,National,1,4,2748107,2808368,97,10123830,3,2024766,98
ARM,2009,252450,168202,67,Meas,EURO,Armenia,,National,2.33,3.75,168202,252450,66,626025,1.42,59263.7,67
BDI,2009,1393050,1321915,95,Meas,AFRO,Burundi,FollowUp,National,0.5,4.92,1321915,1393050,94,3186538,4.42,938966.6,95
BGR,2009,,77557,99,MMR,EURO,Bulgaria,,National,1.08,20,77557,0,,1013518,15,1013518,7.7
BWA,2009,171038,195841,99,Meas,AFRO,Botswana,FollowUp,National,0.75,4.92,195841,171038,114,649029,4.17,180430.1,99
CHN,2009,1.02E+08,99175984,97,Meas,WPRO,China,CatchUp,Subnational,0.67,14,9.92E+07,1.02E+08,97,272630192,13.33,2.42E+08,40.9
CMR,2009,3435547,3315076,96,Meas,AFRO,Cameroon,FollowUp,National,0.75,4.92,3315076,3435547,96,7988440,4.17,2220786,96
COD,2009,2593478,2412168,93,Meas,AFRO,DRCongo,FollowUp,Rollover,0.5,4.92,2412168,2593478,93,30812406,4.42,9079389,26.6
CPV,2009,47667,41703,87,Meas,AFRO,Cape Verde,FollowUp,National,0.75,4.92,41703,47667,87,182982,4.17,50869,82
EGY,2009,17156944,17843885,99,MR,EMRO,Egypt,CatchUp,Rollover,2,11,1.78E+07,1.72E+07,104,26816268,9,1.61E+07,99
ERI,2009,342030,281063,82,Meas,AFRO,Eritrea,FollowUp,National,0.75,3.92,281063,342030,82,2106565,3.17,445187.4,63.1
ETH,2009,1401160,1250685,89,Meas,AFRO,Ethiopia,FollowUp,Subnational,0.5,4.92,1250685,1401160,89,36042194,4.42,1.06E+07,11.8
GIN,2009,1964471,1977225,99,Meas,AFRO,Guinea,FollowUp,National,0.75,4.92,1977225,1964471,100,4308635,4.17,1197801,99
GNB,2009,206517,208608,99,Meas,AFRO,Guinea-Bissau,FollowUp,National,0.75,4.92,208608,206517,101,686856,4.17,190946,99
GNQ,2009,81400,70500,80,Meas,AFRO,Equatorial Guinea,FollowUp,National,1,4.92,70500,81400,86,276995,3.92,72388.03,97.4
IDN,2009,2124572,1954333,91,Meas,SEARO,Indonesia,FollowUp,Subnational,0.75,4.92,1954333,2124572,91,62121911,4.17,1.73E+07,11.3
IRQ,2009,10764349,10112752,93,Meas,EMRO,Iraq,FollowUp,Subnational,0.5,12,1.01E+07,1.08E+07,93,12632457,11.5,9684884,93
KEN,2009,6717404,5525400,82,Meas,AFRO,Kenya,FollowUp,National,0.75,4.92,5525400,6717404,82,17037865,4.17,4736527,82
KIR,2009,9230,9865,99,MMR,WPRO,Kiribati,CatchUp,National,1,4.92,9865,9230,106,30012,3.92,7843.136,99
KOR,2009,466804,466432,99,MMR,WPRO,Republic of Korea,FollowUp,National,5,7,466432,466804,99,8108794,2,1081173,43.1
LBY,2009,760000,748345,98,MR,EMRO,Libya,FollowUp,National,1,6,748345,760000,98,1934319,5,644773,98
MKD,2009,,60000,99,MMR,EURO,"Macedonia, TFYR",CatchUp,National,1.08,26,60000,0,,367581,15,367581,16.3
NAM,2009,246501,256006,99,Meas,AFRO,Namibia,FollowUp,National,0.75,4.92,256006,246501,103,800103,4.17,222428.6,99
PHL,2009,787693,459682,58,Meas,WPRO,Philippines,CatchUp,,1.25,23,459682,787693,58,31156769,15,3.12E+07,1.5
PNG,2009,1148685,945582,86,Meas,WPRO,Papua New Guinea,FollowUp,Rollover,0.5,7,945582,1148685,82,2677933,6.5,1160438,81.5
PRY,2009,1166828,973980,83,MR,AMRO,Paraguay,FollowUp,National,1,8,973980,1166828,83,2157517,7,1006841,96.7
RWA,2009,1333910,1350125,99,Meas,AFRO,Rwanda,FollowUp,National,0.75,4.92,1350125,1333910,101,4226302,4.17,1174912,99
SLB,2009,66340,60025,90,Meas,WPRO,Solomon Islands,FollowUp,National,1,4,60025,66340,90,204317,3,40863.4,90
