"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CAF",9550,6407.5,3910,15987.5,6115,4462.5,5370,4745,827.5,3187.5,9110,7555,4235,NA,2255,620,485,365,1500,8017.5,7092.5,2345,1630,3082.5,1177.5,7.5,122.5,30,27.5,5,1697.5,352.5
"CAN",5767.5,2660,2335,10195,7040,37352.5,5962.5,1522.5,27862.5,2582.5,15445,6855,507.5,1307.5,5902.5,817.5,1447.5,30,72.5,515,85,15,37.5,17.5,15,32.5,252.5,155,35,247.5,1897.5,30
"CHE",NA,NA,NA,NA,NA,NA,18500,19000,6750,4975,6750,10750,7500,3500,3500,5000,16000,5000,2000,NA,1750,NA,1435,97.5,150,NA,2537.5,5055,2395,192.5,1552.5,152.5
"CHL",16317.5,23595,16880,11962.5,42752.5,31407.5,6557.5,112697.5,32520,4895,5245,2.5,2.5,0,0,0,145,15,77.5,0,0,0,2.5,0,0,0,0,0,2.5,0,15,0
"CHN",2526887.5,2232175,1953687.5,1549272.5,1045397.5,496845,262312.5,242485,212622.5,214262.5,308570,350120,294627.5,190510,133080,171010,199052.5,132575,154600,177732.5,222405,145852.5,179697.5,176372.5,310547.5,249005,272557.5,328602.5,131152.5,95397.5,24857.5,15457.5
"CIV",36955,39012.5,17847.5,14865,22230,59597.5,85425,42160,46650,44497.5,24755,36912.5,18662.5,NA,75097.5,52145,24162.5,30722.5,12060,14322.5,14475,14705,11925,8665,287.5,27.5,12.5,30,457.5,1102.5,1570,342.5
"CMR",26365,84690,147260,96450,117945,79840,41635,58017.5,60785,52875,36555,68605,27230,3870,6157.5,29425,18760,26827.5,27235,36572.5,59835,3620,2247.5,895,1512.5,490,250,1237.5,627.5,600,1260,1522.5
"COD",95355,76937.5,52642.5,28462.5,48770,48575,37165,33035,27945,11410,NA,157.5,6872.5,31432.5,13607.5,23865,14415,38177.5,30337.5,20705,20180,76165,54890,112335,456212.5,200307.5,138942.5,31152.5,142.5,13517.5,334505,180072.5
"COG",24170,32327.5,41605,46537.5,19000,16060,3550,1135,1245,9020,10105,10755,1732.5,565,5952.5,9742.5,3167.5,435,782.5,4195,5380,6970,9280,8810,365,315,210,5,2.5,10,787.5,650
"COK",142.5,35,10,2.5,125,12.5,40,37.5,1727.5,90,152.5,22.5,7.5,0,17.5,0,485,22.5,0,5,0,0,42.5,0,0,15,2.5,0,0,0,0,0
"COL",49030,23182.5,32747.5,29622.5,13930,12950,51550,37002.5,31495,31300,25977.5,19940,22762.5,1312.5,1025,400,167.5,152.5,110,2.5,7.5,347.5,0,0,0,0,0,0,0,0,15,2.5
"COM",0,0,0,0,0,0,0,0,425,5820,0,0,0,5,0,0,0,0,0,NA,NA,0,0,0,2280,212.5,0,0,2.5,0,7.5,2.5
"CPV",375,3205,3462.5,122.5,7620,NA,1125,17.5,2.5,0,17.5,2.5,0,75,25,0,21460,722.5,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",425,417.5,97.5,27.5,2.5,11335,10010,895,82.5,190,15740,5902.5,682.5,0,87.5,60,65,67.5,57.5,0,0,0,2.5,0,2.5,NA,0,0,0,0,0,0
"CUB",45967.5,58520,8217.5,8287.5,7185,8280,2145,302.5,30,30,42.5,30,5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",7.5,67.5,457.5,7.5,2.5,2.5,0,0,0,10,2.5,50,0,0,0,137.5,2.5,2.5,0,0,NA,0,0,0,2.5,0,0,2.5,0,45,0,2.5
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,6050,2097.5,1040,35,22.5,12.5,25,35,47.5,5,22.5,15,10,75,42.5,0,17.5,5,5,12.5,0,42.5,55
"DEU",13225,5072.5,24495,29397.5,1420,497.5,472.5,42.5,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15060,11642.5,1947.5,302.5,1945,5767.5,1417.5,2292.5,1435,1950,4017.5,415
"DJI",11332.5,77.5,NA,3237.5,270,NA,130,1182.5,1225,260,32.5,322.5,92.5,NA,20,1025,NA,495,852.5,457.5,197.5,125,92.5,177.5,745,122.5,60,357.5,120,17.5,122.5,1772.5
"DMA",67.5,5,2.5,470,160,112.5,205,25,22.5,32.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",89127.5,39140,83105,52970,32967.5,58725,15670,1545,1012.5,450,405,322.5,287.5,90,50,297.5,152.5,NA,NA,35,27.5,80,0,0,5,67.5,5,35,15,12.5,210,5
"DOM",8525,9177.5,7400,11072.5,11042.5,1252.5,1247.5,1730,3762.5,8692.5,18780,19125,11592.5,7.5,0,0,2.5,35,685,635,282.5,0,0,0,0,0,0,0,0,0,5,0
"DZA",52122.5,73960,55315,56382.5,50285,9937.5,6250,6585,10422.5,4490,14922.5,22057.5,7852.5,14782.5,20510,52507.5,48932.5,8252.5,6257.5,NA,6715,14655,38435,8222.5,5755,2360,0,542.5,267.5,257.5,280,0
"ECU",11695,4117.5,6390,17447.5,2957.5,2097.5,3842.5,20010,9122.5,4115,3962.5,10890,9067.5,9170,2297.5,105,0,0,0,0,5,0,0,0,0,0,0,2.5,0,0,657.5,180
"EGY",4442.5,18412.5,2032.5,12245,13885,2940,4512.5,9180,10142.5,2217.5,3077.5,11007.5,7185,3610,4582.5,11007.5,11515,12170,3867.5,6582.5,5375,1632.5,410,200,192.5,2382.5,4210,1670,1520,40,65,612.5
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667.5,1352.5,462.5,4457.5,1942.5,790,800,1972.5,510,1150,940,60,47.5,320,137.5,0,205,127.5,120,485
"ESP",366722.5,398905,760875,97285,201657.5,550272.5,87865,56752.5,82270,54125,61112.5,61150,29962.5,16990,22122.5,12410,4605,1115,615,380,NA,167.5,640,65,55,905,667.5,742.5,102.5,755,9505,3010
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,322.5,177.5,780,575,42.5,47.5,45,42.5,30,22.5,0,0,0,0,5,67.5,2.5,0,0,0,17.5,10
"ETH",24460,26317.5,14665,24607.5,166360,9400,12080,18937.5,10422.5,4590,1242.5,12037.5,2880,2832.5,1405,3965,2782.5,4007.5,13322.5,4150,5915,8330,570,182.5,892.5,3627.5,3615,8777.5,2940,10587.5,8137.5,10867.5
"FIN",9532.5,13505,11877.5,1822.5,1535,1852.5,1587.5,322.5,2580,7.5,20,12.5,0,2.5,15,0,0,2.5,NA,NA,2.5,0,0,0,2.5,0,0,12.5,5,12.5,67.5,0
"FJI",2507.5,2255,782.5,2067.5,380,962.5,2687.5,1525,132.5,80,NA,2422.5,1062.5,97.5,1035,97.5,2070,NA,NA,NA,42.5,760,762.5,92.5,NA,340,0,0,2.5,0,NA,0
"FRA",2830,2030,2175,2445,997.5,2327.5,NA,NA,NA,NA,392122.5,273870,193080,110012.5,135597.5,165000,2e+05,NA,NA,25000,NA,12962.5,NA,11120,90,100,97.5,1510,3852.5,12620,37372.5,0
"FSM",NA,NA,NA,NA,NA,NA,2.5,0,0,2.5,0,102.5,0,2325,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0
"GAB",5765,4367.5,10810,18085,13055,17065,5185,1637.5,4450,1845,NA,3112.5,2395,NA,NA,175,NA,NA,NA,37.5,12822.5,275,NA,157.5,0,225,0,7.5,0,2.5,5,5
"GBR",154447.5,264105,287370,169080,261935,225535,112125,220647.5,75400,70570,29317.5,30792.5,30045,58812.5,22542.5,17165,12110,185,NA,260,182.5,785,1150,472.5,197.5,1910,2555,3612.5,3030,1107.5,2780,5230
