"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"AFG",155535,101600,94040,80995,72285,40535,51785,22805,5850,8045,3960,NA,NA,NA,NA,NA,NA,11025,18045,32660,43810,12430,3990,2330,6480,9950,5705,7995,14305,9945,15065,13935
"AGO",98570,150335,112945,113425,114110,77900,66840,105045,99100,145345,91910,83860,46365,27400,3175,1255,40915,12880,1750,11095,45230,59725,5980,145,1290,3825,5070,1325,14035,5950,7245,22290
"ALB",NA,15,85,0,0,0,0,0,680170,NA,0,0,35,145,75,6020,11930,9505,3985,3310,90,80,40,35,30,340,110,NA,0,50,NA,0
"AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0
"ARE",14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660
"ARG",87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10
"ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,4395,960,230,1690,745,935,10135,4010,260,205,75,345,200,20,8915,11405,685,5,0,0,10,0,0
"ATG",1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995
"AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,0
"AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,10130,30610,2675,6605,32390,2370,755,3390,14455,5405,1050,2870,21765,9890,4135,6190,1110,0,25,NA,0,0,0
